"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: Stroke (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 17:10:50",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0,0,0,0,0,0,0,0,0,0,1.5
2,0,0,0,0,0,0,0,0,0,0,0,2.5
3,0,0,0,0,0,0,0,0,0,0,0,3.5
4,0,0,0,0,0,0,0,0,0,0,0,4.5
5,0,0,0,0,0,0,0,0,0,0,0,5.5
6,0,0,0,0,0,0,0,0,0,0,0,6.5
7,0,0,0,0,0,0,0,0,0,0,0,7.5
8,0,0,0,0,0,0,0,0,0,0,0,8.5
9,0,0,0,0,0,0,0,0,0,0,0,9.5
10,0.000003,0,0,0,0.000003,0.0000015,0,0,41.2687729318,0,0,10.5
11,0.000006,0,0,0,5.9999E-06,6.0899E-06,0,0,40.2745751428,0,0,11.5
12,0.000009,0,0,0,8.9994E-06,1.38622E-05,0,0,39.2803785328,0,0,12.5
13,0.000012,0,0,0,1.19982E-05,2.49117E-05,0,0,38.2866489216,0,0,13.5
14,0.000015,0,0,0,1.49956E-05,3.93354E-05,0,0,37.2940341151,0,1,14.5
15,0.000018,0,0,0,0,4.82378E-05,0,0,0,0,1,0
16,0.000021,0,0,0,0,4.96849E-05,0,0,0,0,1,0
17,0.000024,0,0,0,0,5.11755E-05,0,0,0,0,0,0
18,0.000027,0,0,0,0,5.27107E-05,0,0,0,0,0,0
19,0.00003,0,0,0,0,0.000054292,0,0,0,0,1,0
20,0.000033,0,0,0,0,5.59207E-05,0,0,0,0,1,0
21,0.000036,0,0,0,0,5.75982E-05,0,0,0,0,1,0
22,0.000039,0,0,0,0,5.93261E-05,0,0,0,0,0,0
23,0.000042,0,0,0,0,6.11059E-05,0,0,0,0,0,0
24,0.000045,0,0,0,0,0.000062939,0,0,0,0,0,0
25,0.000048,0,0,0,4.78977E-05,8.87738E-05,0,0,26.4808523147,0,0,25.5
26,0.000051,0,0,0,5.08162E-05,0.0001415065,0,0,25.4992366529,0,1.0000000025,26.5
27,0.000054,0,0,0,5.37105E-05,0.0001987678,0,0,24.5174820285,0,1.0000000023,27.5
28,0.000057,0,0,0,5.65768E-05,0.0002606665,0,0,23.5357066848,0,1,28.5
29,0.00006,0,0,0,5.94111E-05,0.0003273105,0,0,22.5540194761,0,1.0000000023,29.5
