"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 04/06/2016, 17:14:11",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0,0,0,0,0,0,0,0,0,0,1.5
2,0,0,0,0,0,0,0,0,0,0,0,2.5
3,0,0,0,0,0,0,0,0,0,0,0,3.5
4,0,0,0,0,0,0,0,0,0,0,0,4.5
5,0,0,0,0,0,0,0,0,0,0,0,5.5
6,0,0,0,0,0,0,0,0,0,0,0,6.5
7,0,0,0,0,0,0,0,0,0,0,0,7.5
8,0,0,0,0,0,0,0,0,0,0,0,8.5
9,0,0,0,0,0,0,0,0,0,0,0,9.5
10,0.000003,0,0,0,0.000003,0.0000015,0,0,50.3755224954,0,0,10.5
11,0.000006,0,0,0,5.9993E-06,6.0896E-06,0,0,49.3802786815,0,0,11.5
12,0.000009,0,0,0,8.9964E-06,0.00001386,0,0,48.3849642858,0,1,12.5
13,0.000012,0,0,0,1.19884E-05,2.49029E-05,0,0,47.3898935704,0,0,13.5
14,0.000015,0,0,0,1.49715E-05,3.93093E-05,0,0,46.3954659224,0,1.0000000006,14.5
15,0.000018,0,0,0,0,4.81986E-05,0,0,0,0,1,0
16,0.000021,0,0,0,0,4.96445E-05,0,0,0,0,0,0
17,0.000024,0.000363174,0,0,2.81995E-05,6.52324E-05,0,6.1427E-06,43.4190676087,4E-10,1.0276441126,17.5
18,0.000027,0.000363174,0,0,3.17377E-05,9.75778E-05,0,6.1424E-06,42.4292896564,6E-10,1.0253890184,18.5
19,0.00003,0.0006408953,0,0,3.35883E-05,0.0001336394,0,6.1422E-06,41.4398524224,8E-10,1.0246070363,19.5
20,0.000033,0.0006408953,0,0,3.69973E-05,0.0001734383,0,6.1417E-06,40.4503196804,1.1E-09,1.024628586,20.5
21,0.000036,0.0009186166,0,0,3.94737E-05,0.0002174225,0,6.1427E-06,39.4604721389,1.3E-09,1.0249196696,21.5
22,0.000039,0.0009186166,0,0,4.27962E-05,0.0002656596,0,6.1414E-06,38.4703136483,1.6E-09,1.0249301574,22.5
23,0.000042,0.0011963379,0,0,4.54915E-05,0.0003183987,0,6.1413E-06,37.4800279972,0.000000002,1.0242703152,23.5
24,0.000045,0.0011963379,0,0,4.87474E-05,0.0003757317,0,6.1418E-06,36.4898535699,2.3E-09,1.0230798304,24.5
