"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
38,0.00018,0.0006599895,0,2.93908E-05,0.0001240623,0.000700285,6.1421E-06,0.0423244747,25.7224796015,2.96533E-05,61.1955241129,38.5
39,0.0001933333,0.0007780333,0,3.26649E-05,0.0001430988,0.0008184854,0.000006142,0.0406484981,25.809938694,3.32854E-05,53.3974092913,39.5
40,0.0002066667,0.0009169949,0,3.59391E-05,0.0001642374,0.0009559427,6.1419E-06,0.038457759,25.8521597897,3.67792E-05,45.8058249213,40.5
41,0.00022,0.0010805051,0,3.92133E-05,0.0001882863,0.0011155443,6.1418E-06,0.0363781384,25.8419888936,4.05978E-05,39.3357999242,41.5
42,0.0002333333,0.0012727958,0,4.24874E-05,0.0002152454,0.0013004097,6.1417E-06,0.0344096363,25.7805079519,4.47636E-05,33.93987245,42.5
43,0.0002466667,0.0014987879,0,4.73085E-05,0.0002451147,0.0015137088,6.1416E-06,0.0325522527,25.6690489658,4.92921E-05,29.500382829,43.5
44,0.00026,0.0017641879,0,5.21295E-05,0.0002778942,0.0017586666,6.1414E-06,0.0308059876,25.5092080755,5.41953E-05,25.7952416184,44.5
45,0.0002733333,0.0020755921,0,5.69506E-05,0.000313584,0.0020385644,6.1412E-06,0.0291708411,25.3028874593,5.94849E-05,22.6380014605,45.5
46,0.0002866667,0.0024405956,0,6.17716E-05,0.0003563369,0.0023587651,0.000006141,0.0276596766,25.0524589713,6.52615E-05,19.9041598121,46.5
47,0.0003,0.0028679037,0,6.65927E-05,0.0004061528,0.0027267691,6.1409E-06,0.0262724943,24.7607525186,7.16586E-05,17.4966762546,47.5
48,0.0003553333,0.0033674396,0,7.65248E-05,0.0004630319,0.0031501225,6.1407E-06,0.0250092942,24.430866175,7.88027E-05,15.357498026,48.5
