"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: CHD (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 16:57:22",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
50,0.002368389,0.0405483151,0,0.0007296158,0.0024889068,0.0354835481,6.1416E-06,0.020554811,20.1823638231,0.0007294267,6.6475057248,50.5
51,0.0025290282,0.0493111508,0,0.0008133883,0.0026843458,0.0389535382,6.1416E-06,0.0208706419,19.6559055091,0.0008130615,6.1965825836,51.5
52,0.0026959611,0.0580739866,0,0.0008971608,0.0028807478,0.0426764401,6.1415E-06,0.0210105299,19.127243949,0.000896737,5.7584217198,52.5
53,0.0028692294,0.0648232638,0,0.001001993,0.0030792122,0.0466625089,6.1416E-06,0.0214606595,18.5971332756,0.0010014986,5.4436187753,53.5
54,0.0030488749,0.0678627676,0,0.0011068251,0.0032795912,0.05090109,6.1416E-06,0.0217326422,18.0662937453,0.0011063126,5.1294099726,54.5
55,0.003234939,0.0724220233,0,0.0011904537,0.0034916215,0.0554083071,6.1418E-06,0.021473883,17.52825801,0.0011899331,4.7502875398,55.5
56,0.0034274636,0.076981279,0,0.0012934513,0.0037129638,0.060196865,6.1415E-06,0.0214763328,16.980643268,0.0012929155,4.4456584258,56.5
57,0.0036264903,0.0792609069,0,0.0013964489,0.0039380903,0.0652685857,6.1415E-06,0.0213861934,16.4251099353,0.0013959595,4.143881209,57.5
58,0.0038320609,0.0845800385,0,0.0015742648,0.0041807089,0.0706050615,6.1415E-06,0.0222873449,15.8688008819,0.0015737252,3.9894639391,58.5
59,0.0040442169,0.0860997904,0,0.0017520807,0.004421863,0.076176941,6.1416E-06,0.0229923813,15.3179390077,0.0017516267,3.8039397759,59.5
60,0.004263,0.0898991702,0,0.0019428653,0.0046798744,0.0819830912,6.1417E-06,0.0236917309,14.7709744187,0.0019424711,3.6204796537,60.5
61,0.0044884725,0.0921787981,0,0.0021218761,0.0049418304,0.0880346203,6.1417E-06,0.0240981939,14.2258330588,0.0021216355,3.4144567769,61.5
62,0.0047207785,0.09369855,0,0.0023008868,0.0052091749,0.0943368912,6.1417E-06,0.0243887496,13.6797406245,0.0023009286,3.213243605,62.5
63,0.0049600828,0.0959781778,0,0.0025767533,0.0054894496,0.1008494245,6.1417E-06,0.0255524266,13.1371022714,0.0025771335,3.1020291946,63.5
64,0.0052065501,0.0974979297,0,0.0028526197,0.0057741256,0.1075105253,6.1418E-06,0.0265400784,12.6016760552,0.0028535386,2.9809392526,64.5
65,0.005460345,0.1012973095,0,0.0031162695,0.0060855303,0.1143167993,6.1418E-06,0.0272694871,12.070297779,0.0031175758,2.8481756749,65.5
66,0.0057216324,0.1028170614,0,0.0033910587,0.0063900527,0.1212587961,6.1417E-06,0.0279810592,11.5408483533,0.0033931782,2.7230672606,66.5
67,0.0059905769,0.1058565652,0,0.0036658479,0.0067186342,0.1283189349,6.1419E-06,0.0285882785,11.0121649262,0.0036686602,2.6003385648,67.5
68,0.0062673431,0.1073763171,0,0.0041195077,0.0070431358,0.1354105695,6.1419E-06,0.0304521003,10.4890089131,0.0041237969,2.5499901429,68.5
69,0.0065520959,0.1096559449,0,0.0045731676,0.0073859207,0.1423866053,0.000006142,0.0321571683,9.9756687969,0.0045790266,2.4875155155,69.5
70,0.006845,0.1142152006,0,0.0049789,0.0077702243,0.1492612934,6.1418E-06,0.0334005513,9.4685106878,0.0049857034,2.4022461959,70.5
71,0.0071474144,0.1187744563,0,0.0054282346,0.008170928,0.1560489404,6.1421E-06,0.0348339114,8.9656716627,0.005436106,2.3243580695,71.5
72,0.0074654759,0.1235140997,0,0.0058775692,0.0085976537,0.1627282364,6.1417E-06,0.0361717052,8.4671031306,0.0058864873,2.2415980604,72.5
73,0.0078065157,0.1261451605,0,0.0067107504,0.0090265013,0.1691326175,6.1418E-06,0.039747077,7.9797985153,0.0067228535,2.2274129271,73.5
