agegroup,sex,fatality30
30-34,1,0.08
35-39,1,0.08
40-44,1,0.08
45-49,1,0.08
50-54,1,0.08
55-59,1,0.08
60-64,1,0.08
65-69,1,0.06
70-74,1,0.06
75-79,1,0.08
80-84,1,0.08
85+,1,0.2
30-34,2,0.1
35-39,2,0.1
40-44,2,0.1
45-49,2,0.1
50-54,2,0.1
55-59,2,0.1
60-64,2,0.1
65-69,2,0.08
70-74,2,0.08
75-79,2,0.11
80-84,2,0.11
85+,2,0.25
