"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Females, Disease: CHD (Rates * ), sex: Females",,,,,,,,,,,,
"Written 04/06/2016, 17:02:06",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0,0,0,0,0,0,0,0,0,0,0.5
1,0,0,0,0,0,0,0,0,0,0,0,1.5
2,0,0,0,0,0,0,0,0,0,0,0,2.5
3,0,0,0,0,0,0,0,0,0,0,0,3.5
4,0,0,0,0,0,0,0,0,0,0,0,4.5
5,0,0,0,0,0,0,0,0,0,0,0,5.5
6,0,0,0,0,0,0,0,0,0,0,0,6.5
7,0,0,0,0,0,0,0,0,0,0,0,7.5
8,0,0,0,0,0,0,0,0,0,0,0,8.5
9,0,0,0,0,0,0,0,0,0,0,0,9.5
10,0,0,0,0,0,0,0,0,0,0,0,10.5
11,0,0,0,0,0,0,0,0,0,0,0,11.5
12,0,0,0,0,0,0,0,0,0,0,0,12.5
13,0,0,0,0,0,0,0,0,0,0,0,13.5
14,0,0,0,0,0,0,0,0,0,0,0,14.5
15,0,0,0,0,0,0,0,0,0,0,0,15.5
16,1.91111E-05,0,0,0,1.90996E-05,9.5497E-06,0,0,50.0154620697,0,0,16.5
17,3.82222E-05,0,0,0,0,1.96724E-05,0,0,0,0,0,0
18,5.73333E-05,0.0005139319,0,0,7.63656E-05,0.000058443,0,6.1414E-06,48.0371010897,4E-10,1.0253849268,18.5
19,7.64444E-05,0.0010278638,0,0,9.28334E-05,0.0001459314,0,6.1411E-06,47.0490778748,9E-10,1.0246024778,19.5
20,9.55556E-05,0.0015417958,0,0,0.0001121903,0.0002541906,0,6.1412E-06,46.060980484,1.6E-09,1.0246266568,20.5
21,0.0001146667,0.0020557277,0,0,0.0001321596,0.0003856304,0,0.000006141,45.0725600221,2.4E-09,1.0249127752,21.5
22,0.0001337778,0.0025696596,0,0,0.0001523199,0.0005413478,0,0.000006141,44.0838203935,3.3E-09,1.0249284458,22.5
23,0.0001528889,0.0023910683,0,0,0.0001759163,0.0007238749,0,6.1417E-06,43.0949726687,4.4E-09,1.024271743,23.5
24,0.000172,0.002212477,0,0,0.0001981047,0.0009350664,0,6.1407E-06,42.1062918235,5.7E-09,1.0230754392,24.5
25,0.0001911111,0.0020338858,0,0,0.0002168749,0.0011733334,0,6.1414E-06,41.117990837,7.2E-09,1.0216267235,25.5
