"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Males, Disease: Stroke (Rates * ), sex: Males",,,,,,,,,,,,
"Written 10/09/2015, 15:21:17",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
44,0.00026,0.0072050285,0,6.49864E-05,0.0004080326,0.0049282746,6.1379E-06,0.013076649,26.44247979,6.44504E-05,7.6951572947,44.5
45,0.0002733333,0.0079957426,0,0.000072577,0.0004317391,0.0054011863,6.1377E-06,0.0133128216,25.8385916156,7.19105E-05,7.3679829066,45.5
46,0.0002866667,0.0088689686,0,8.01676E-05,0.0004670374,0.0059057135,6.1375E-06,0.0135266916,25.2348080892,7.98909E-05,7.0299263343,46.5
47,0.0003,0.0098323416,0,8.77582E-05,0.0005139276,0.0064534298,6.1373E-06,0.013718259,24.6305802148,8.85367E-05,6.6737682278,47.5
48,0.0003553333,0.0108939827,0,9.88628E-05,0.0005724096,0.0070558804,6.1372E-06,0.0138875238,24.0255238346,9.79966E-05,6.2975530595,48.5
49,0.0004106667,0.0120624781,0,0.0001099673,0.0006424834,0.007724581,6.1372E-06,0.0140344859,23.4193664024,0.0001084197,5.9112521481,49.5
50,0.000466,0.0133468435,0,0.0001210718,0.000724149,0.0084710182,6.1372E-06,0.0141591454,22.8118781793,0.000119953,5.5259185548,50.5
51,0.0005213333,0.0147564706,0,0.0001321764,0.0008063432,0.0093011585,6.1372E-06,0.0142732722,22.2029823395,0.00013277,5.1539128921,51.5
52,0.0005766667,0.0163010528,0,0.0001432809,0.0008890659,0.010215412,6.1372E-06,0.0143768662,21.5927376771,0.0001468792,4.8011396016,52.5
53,0.000632,0.0179904864,0,0.0001622861,0.0009723171,0.0112142056,6.1372E-06,0.0144699274,20.9811856352,0.0001622838,4.4715904002,53.5
54,0.0006873333,0.0198347448,0,0.0001812914,0.0010560969,0.0122979836,6.1373E-06,0.0145524558,20.3683387322,0.0001789825,4.1672905582,54.5
55,0.0007426667,0.021843723,0,0.0002002966,0.0011404051,0.0134672071,6.1374E-06,0.0146244515,19.754166988,0.0001969686,3.8890932462,55.5
56,0.000798,0.0240270499,0,0.0002193018,0.0012269217,0.0147232907,6.1374E-06,0.0146700111,19.1384238941,0.0002160105,3.6341927626,56.5
57,0.0008533333,0.0263938676,0,0.0002383071,0.0013156467,0.0160686618,6.1373E-06,0.0146891346,18.5206314541,0.0002360559,3.4027974042,57.5
58,0.0009086667,0.0289525791,0,0.0002573525,0.0014065799,0.0175058483,6.1372E-06,0.0146818221,17.9002291463,0.0002570403,3.1939495137,58.5
59,0.000964,0.0317105644,0,0.000276398,0.0014997215,0.019037492,0.000006137,0.0146480734,17.2766272153,0.0002788866,3.0044035048,59.5
60,0.0010193333,0.0346738719,0,0.0002954435,0.0015950714,0.0206663638,6.1368E-06,0.0145878887,16.6492794287,0.000301504,2.8309940439,60.5
61,0.0010746667,0.0378468908,0,0.0003144889,0.0017161141,0.022404904,6.1367E-06,0.0146725524,16.019069041,0.0003287649,2.6909139541,61.5
62,0.00113,0.0412320146,0,0.0003335344,0.0018628496,0.0242749994,6.1366E-06,0.0149020645,15.3881757377,0.0003617788,2.5773016639,62.5
63,0.001273913,0.04482931,0,0.0003907595,0.0020352779,0.0262976787,6.1366E-06,0.015276425,14.7586067884,0.0004017704,2.4843738588,63.5
64,0.0014178261,0.0486362053,0,0.0004479845,0.002233399,0.0284929167,6.1367E-06,0.0157956339,14.1322421014,0.0004501058,2.4068967286,64.5
65,0.0015617391,0.0526472175,0,0.0005052096,0.002457213,0.0308794054,6.1368E-06,0.0164596912,13.5108892405,0.0005083158,2.3403566636,65.5
66,0.0017056522,0.056853738,0,0.0005624347,0.0026812363,0.0334617187,6.1369E-06,0.0172923827,12.8964791995,0.000578693,2.2826748875,66.5
67,0.0018495652,0.0612438955,0,0.0006196598,0.0029054691,0.0362291956,6.1369E-06,0.0182937083,12.2911043325,0.0006628384,2.2300865681,67.5
68,0.0019934783,0.065802514,0,0.0007603283,0.0031299113,0.0391686273,6.1369E-06,0.0194636682,11.6968635833,0.0007624513,2.180052182,68.5
69,0.0021373913,0.0705111827,0,0.0009009968,0.003354563,0.0422641651,6.1368E-06,0.0208022622,11.1156506469,0.0008792931,2.1329958458,69.5
70,0.0022813043,0.075348445,0,0.0010416654,0.0035794241,0.0454972768,6.1366E-06,0.0223094904,10.5488756324,0.0010151434,2.0899766833,70.5
71,0.0024252174,0.080290111,0,0.0011823339,0.0038034084,0.0488464512,6.1365E-06,0.023976655,9.9972917686,0.0011713192,2.0516336426,71.5
72,0.0025691304,0.0853096883,0,0.0013230024,0.0040265159,0.0522876773,6.1364E-06,0.0258037559,9.4608931718,0.0013493884,2.0190971201,72.5
73,0.0027130435,0.0903789173,0,0.001576856,0.0042487467,0.0557949165,6.1364E-06,0.0277907933,8.9389176987,0.0015507829,1.9928519292,73.5
74,0.0028569565,0.0954683907,0,0.0018307096,0.0044701006,0.059340274,6.1364E-06,0.0299377671,8.430157332,0.0017767435,1.9709492763,74.5
75,0.0030008696,0.1005482284,0,0.0020845632,0.0046905779,0.0628942302,6.1364E-06,0.0322446772,7.9333574178,0.0020282647,1.9511210458,75.5
76,0.0031447826,0.1055887755,0,0.0023384168,0.0049178987,0.0664193992,6.1364E-06,0.0350419979,7.4485356403,0.002327766,1.940239683,76.5
77,0.0032886957,0.1105612898,0,0.0025922704,0.0051520631,0.0698689194,6.1364E-06,0.0383297292,6.9768978375,0.0026783944,1.934099378,77.5
78,0.0034326087,0.1154385843,0,0.0031637385,0.005393071,0.0731923649,6.1363E-06,0.042107871,6.5196038373,0.0030823523,1.9289734242,78.5
79,0.0035765217,0.1201955949,0,0.0037352066,0.0056409225,0.0763367967,6.1362E-06,0.0463764234,6.0779440989,0.0035406404,1.9213714389,79.5
80,0.0037204348,0.124809851,0,0.0043066748,0.0058956176,0.0792480766,0.000006136,0.0511353863,5.6535630035,0.004052817,1.9082097854,80.5
81,0.0038643478,0.1292618303,0,0.0048781429,0.0061480908,0.0818581296,6.1359E-06,0.0566652637,5.2494414422,0.0046389454,1.8913600973,81.5
82,0.0040082609,0.1335351924,0,0.005449611,0.0063983421,0.0840853711,6.1359E-06,0.0629660557,4.8702602921,0.0052949075,1.8673087729,82.5
83,0.0041521739,0.13761689,0,0.006477135,0.0066463715,0.085852045,6.1358E-06,0.0700377622,4.5217971058,0.0060131461,1.8358279898,83.5
84,0.004296087,0.1414971652,0,0.0075046591,0.006892179,0.0870879143,6.1358E-06,0.0778803832,4.2089044883,0.0067824733,1.8062924852,84.5
85,0.00444,0.1451694444,0,0.0085321831,0.0071357646,0.0877341475,6.1359E-06,0.0864939187,3.9323114277,0.0075881323,1.7893702931,85.5
86,0.00444,0.1486301492,0,0.0095597071,0.0073656407,0.0877220335,6.1359E-06,0.0964063753,3.6871993395,0.0084560155,1.7997803418,86.5
87,0.00444,0.1518784421,0,0.0105872311,0.0075818072,0.0869782073,6.1358E-06,0.1076177531,3.4610200718,0.0093585183,1.8492705324,87.5
88,0.00444,0.1549159262,0,0.0123554992,0.0077842642,0.0854579431,6.1357E-06,0.120128052,3.2310320304,0.0102626704,1.9576778385,88.5
89,0.00444,0.1577463197,0,0.0141237673,0.0079730116,0.0831506642,6.1355E-06,0.1339372721,2.9652076477,0.0111319106,2.1625009819,89.5
90,0.00444,0.160375119,0,0.0158920353,0.0081480494,0.0800837673,6.1352E-06,0.1490454132,2.7096742727,0.0119286714,1.9777746008,90.5
91,0.00444,0.1628092672,0,0.0176603034,0.008324457,0.0763539919,6.1351E-06,0.164724027,2.5002459765,0.0125671878,1.9905607804,91.5
92,0.00444,0.1650568372,0,0.0194285714,0.0085022342,0.0721185692,6.1352E-06,0.1809731134,2.3000729827,0.0130384846,1.9991449686,92.5
93,0.00444,0.167126739,0,0.0212460317,0.0086813812,0.0675479049,6.1355E-06,0.1977926725,2.1030839879,0.0133445328,2.0042646161,93.5
94,0.00444,0.1690284553,0,0.0230634921,0.0088618979,0.0628143791,0.000006136,0.2151827041,1.8997434718,0.0134978634,2.0065832058,94.5
95,0.00444,0.1707718097,0,0.0248809524,0.0090437842,0.0580808847,6.1366E-06,0.2331432084,1.6738805794,0.0135200221,2.0066951766,95.5
96,0.00444,0.1723667671,0,0.0266984127,0.0089123151,0.0524341748,6.1375E-06,0.2940491746,1.4316273814,0.0153702362,2.1743671495,96.5
97,0.00444,0.1738232671,0,0.028515873,0.0084674905,0.0444998149,6.1385E-06,0.3979006026,1.2023489274,0.0175838415,2.4729543486,97.5
98,0.00444,0.175151088,0,0.0303333333,0.0077093103,0.0343834812,6.1398E-06,0.5446974926,1.0036595732,0.018460152,2.8731279549,98.5
99,0.00444,0.1763597385,0,0.0303333333,0.0066377747,0.0236123542,6.1413E-06,0.7344398445,0.849356038,0.0168811164,3.3516599478,99.5
100,0.00444,0.1774583751,0,0.0303333333,0.0052528836,0.0142273879,6.1429E-06,0.9671276583,0.7760450405,0.0131499629,3.8903894045,102.488531159
,,,,,,,,,,,,
All ages,NA,0.0208936912,NA,0.0005497976,0.0010265198,0.0125815505,6.1344E-06,0.038486925,12.0750493765,0.0004836166,2.8711509233,68.8959344756
