"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Males, Disease: CHD (Rates * ), sex: Males",,,,,,,,,,,,
"Written 10/09/2015, 15:12:03",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.0001825557,0,1.6763E-06,0.0003641971,0.0001812269,6.1417E-06,0.0092342785,60.1836281187,1.6762E-06,2.8420479523,0.5
1,0,0.000203188,0,1.6763E-06,0.000002334,0.000373596,1.39976E-05,0.0045089487,59.8138654708,1.6845E-06,3.0432844648,1.5
2,0,0.0002261507,0,1.6763E-06,2.6663E-06,0.0003855166,0.000010949,0.0043642019,59.1566655391,1.6825E-06,11.5153240264,2.5
3,0,0.0002517065,0,0.000001341,0.000003035,0.0003982635,8.4064E-06,0.0033745429,58.4000842929,0.000001344,32.8437715694,3.5
4,0,0.0002801478,0,1.0058E-06,3.4381E-06,0.0004120766,6.3617E-06,0.0024436505,57.5740545874,0.000001007,42.7255203716,4.5
5,0,0.0003117999,0,6.705E-07,3.8738E-06,0.0004270275,6.1442E-06,0.0015710469,56.6924616203,6.709E-07,29.0359610306,5.5
6,0,0.0003470244,0,3.353E-07,4.3377E-06,0.0004431878,6.1432E-06,0.0007566002,55.7619473025,3.353E-07,11.4987716013,6.5
7,0,0.0003862238,0,0,4.8239E-06,0.0004606253,6.1423E-06,6.1429E-06,54.7881414252,2.8E-09,1.0635246757,7.5
8,0,0.0004298455,0,1.199E-07,5.3249E-06,0.0004791794,6.1422E-06,0.0002502029,53.8010243695,1.199E-07,3.2557109265,8.5
9,0,0.0004783871,0,2.398E-07,5.8313E-06,0.0004986563,6.1418E-06,0.0004808581,52.8266957177,2.398E-07,5.3500695964,9.5
10,0,0.0005324018,0,3.597E-07,3.10658E-05,0.0005314374,6.1417E-06,0.0006767824,51.8628510973,3.597E-07,7.5921666201,10.5
11,0,0.0005925046,0,4.796E-07,0.000055738,0.0005903615,6.1416E-06,0.0008123065,50.9064709933,4.796E-07,9.5222415816,11.5
12,0,0.0006593792,0,5.994E-07,4.32019E-05,0.0006573219,6.1416E-06,0.0009119494,49.9550102811,5.994E-07,10.6107594209,12.5
13,0,0.0007337855,0,5.902E-07,6.38003E-05,0.0007300227,6.1417E-06,0.0008084306,49.0028480585,5.902E-07,8.5818463471,13.5
14,0,0.0008165678,0,5.809E-07,5.75978E-05,0.0008123605,6.1417E-06,0.0007150811,48.04588357,5.809E-07,6.4140467557,14.5
15,0,0.0009086642,0,5.716E-07,7.37447E-05,0.0009019935,6.1416E-06,0.0006337445,47.0854871885,5.716E-07,4.6665042951,15.5
16,7.3406E-06,0.0010111166,0,5.624E-07,7.3679E-06,0.0009694146,6.1415E-06,0.0005801009,46.1233913855,5.624E-07,3.5327802385,16.5
17,1.65559E-05,0.0011250823,0,5.531E-07,1.68017E-05,0.0010093681,6.1415E-06,0.0005479415,45.161333106,5.531E-07,2.8604430211,17.5
18,2.77991E-05,0.0012518459,0,1.0677E-06,2.86892E-05,0.0010609969,6.1413E-06,0.001006257,44.2107389923,1.0676E-06,3.8298004934,18.5
19,4.12237E-05,0.0013928333,0,1.5824E-06,4.33995E-05,0.0011270328,6.1416E-06,0.0014037896,43.2802302663,1.5821E-06,4.4659374966,19.5
20,0.000056983,0.0015496264,0,0.000002097,6.12425E-05,0.0012109016,6.1408E-06,0.0017314103,42.3656114082,2.0966E-06,4.9221537109,20.5
21,7.52305E-05,0.0017239801,0,2.6117E-06,8.27492E-05,0.0012979733,6.1406E-06,0.002011547,41.4632038697,0.000002611,5.3074661541,21.5
22,9.61195E-05,0.0019178396,0,3.1263E-06,0.0001079096,0.0014107345,0.000006141,0.0022153701,40.5695430539,3.1253E-06,5.5550519171,22.5
23,0.0001198035,0.0021333608,0,0.000004904,0.0001367385,0.0015529901,0.000006141,0.0031562838,39.6971595707,4.9018E-06,7.2539736575,23.5
24,0.0001464358,0.0023729316,0,6.6817E-06,0.0001691467,0.0017285441,6.1407E-06,0.0038632767,38.8551063312,6.6781E-06,8.3804866301,24.5
25,0.0001761698,0.0026391952,0,8.4594E-06,0.0002049582,0.001941818,6.1409E-06,0.0043536323,38.0334263744,8.4543E-06,9.0158063,25.5
26,0.0002091589,0.0029350759,0,1.02371E-05,0.0002439351,0.0021971433,6.1409E-06,0.0046561888,37.223610323,1.02308E-05,9.2510716354,26.5
27,0.0002455565,0.0032638068,0,1.20148E-05,0.0002858361,0.0024987249,6.1405E-06,0.0048052044,36.4188041708,1.20074E-05,9.1770159519,27.5
28,0.0002855159,0.003628959,0,1.60162E-05,0.0003305359,0.0028495851,6.1413E-06,0.0056164296,35.6277533456,1.60054E-05,10.1487951465,28.5
29,0.0003291907,0.0040344744,0,2.00176E-05,0.000377974,0.0032526773,6.1415E-06,0.0061496254,34.8567542007,2.00039E-05,10.5494676179,29.5
30,0.0003767341,0.0044846992,0,0.000024019,0.0004281401,0.0037121234,6.1411E-06,0.0064658047,34.0964360775,2.40034E-05,10.5229791656,30.5
31,0.0004282996,0.0049844206,0,2.80203E-05,0.0004811686,0.0042309545,6.1411E-06,0.0066182844,33.3399194371,2.80034E-05,10.1895613358,31.5
32,0.0004840405,0.0055389051,0,3.20217E-05,0.0005373092,0.0048125207,6.1414E-06,0.006649831,32.5823420075,3.20045E-05,9.6442024961,32.5
33,0.0005441102,0.0061539384,0,4.55538E-05,0.0005970884,0.0054577861,0.000006141,0.0083409899,31.8482381921,4.55268E-05,11.0754374715,33.5
34,0.0006086622,0.0068358673,0,5.90859E-05,0.0006612394,0.0061663275,6.1414E-06,0.0095754611,31.1559679856,5.90503E-05,11.6847602791,34.5
35,0.0006778498,0.0075916424,0,7.26179E-05,0.0007300589,0.0069444159,6.1414E-06,0.010450078,30.4914599949,7.25761E-05,11.7296250813,35.5
36,0.0007518264,0.0084288606,0,0.00008615,0.0008039719,0.0077977403,6.1415E-06,0.0110410929,29.8440276683,8.61034E-05,11.4114822138,36.5
37,0.0008307454,0.0093558078,0,9.96821E-05,0.0008830897,0.0087363258,6.1416E-06,0.011403347,29.2054500453,9.96325E-05,10.8768455925,37.5
38,0.0009147602,0.0103814999,0,0.0001168284,0.0009679233,0.0097652613,6.1415E-06,0.0119568891,28.5746672787,0.0001167731,10.5298736934,38.5
39,0.0010040242,0.011515721,0,0.0001339746,0.0010590135,0.0108900469,6.1415E-06,0.0122958432,27.9509305759,0.000133915,10.0395867265,39.5
40,0.0010986907,0.0127690561,0,0.0001511209,0.0011567158,0.0121184568,6.1415E-06,0.012463833,27.3284390871,0.0001510566,9.474526573,40.5
