"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: CHD (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:15:23",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
39,0.0004586667,0.0017132305,0,2.47303E-05,0.0002727435,0.0019979782,6.1426E-06,0.0123934652,30.3815610491,2.47651E-05,16.9756324795,39.5
40,0.0004777778,0.0019967221,0,3.01665E-05,0.0003108999,0.002317153,6.1423E-06,0.0130353923,29.78792476,3.02091E-05,16.187091449,40.5
41,0.0004968889,0.0023264701,0,3.56028E-05,0.0003511324,0.0026784541,6.1424E-06,0.0133085882,29.2022602385,3.56512E-05,15.0247795977,41.5
42,0.000516,0.0027097891,0,0.000041039,0.0003930188,0.0030846932,6.1421E-06,0.0133186956,28.615021988,4.10894E-05,13.7498045109,42.5
43,0.0005626667,0.0031550679,0,4.78869E-05,0.0004509488,0.0035450343,6.1422E-06,0.0135212198,28.0249270481,4.79395E-05,12.8381957504,43.5
44,0.0006093333,0.0036718975,0,5.47349E-05,0.0005113999,0.0040694016,6.1423E-06,0.0134612859,27.4308258106,5.47865E-05,11.8347715226,44.5
45,0.000656,0.0042712045,0,6.15828E-05,0.0005744869,0.0046618435,6.1421E-06,0.0132184707,26.8264785541,6.16302E-05,10.8050408358,45.5
46,0.0007026667,0.0049653844,0,6.84307E-05,0.0006400194,0.0053264116,0.000006142,0.0128534143,26.2079158283,6.84708E-05,9.7847374592,46.5
47,0.0007493333,0.0057684288,0,7.52787E-05,0.0007076037,0.006066941,6.1418E-06,0.0124114885,25.5728881469,7.53083E-05,8.7932572814,47.5
48,0.000796,0.0066960377,0,8.89833E-05,0.0007771287,0.0068836387,6.1418E-06,0.0129281131,24.9329452111,8.90026E-05,8.4218551291,48.5
49,0.0008426667,0.0077657046,0,0.0001026879,0.0008481432,0.007776103,6.1417E-06,0.0132042237,24.2972954136,0.0001026889,7.903983462,49.5
50,0.0008893333,0.0089967585,0,0.0001163925,0.0009197074,0.0087466597,6.1416E-06,0.0133028331,23.6607620262,0.000116368,7.3214514579,50.5
51,0.000936,0.0104103423,0,0.0001300971,0.0009910263,0.0097967495,6.1414E-06,0.013272525,23.0197521683,0.0001300412,6.7297697655,51.5
52,0.0009826667,0.012029303,0,0.0001438017,0.0010614725,0.010927053,6.1415E-06,0.0131504497,22.371816808,0.0001437099,6.1642735918,52.5
53,0.0010293333,0.0138779646,0,0.0001686959,0.001130786,0.0121322264,6.1412E-06,0.0138910507,21.7253587372,0.0001685461,5.9754146177,53.5
54,0.001076,0.015981751,0,0.0001935902,0.0011987318,0.0134060741,6.1411E-06,0.0144227174,21.0871469774,0.0001933709,5.7221967273,54.5
55,0.0011226667,0.0183666257,0,0.0002184845,0.0012648682,0.0147474525,6.1409E-06,0.0147935975,20.452709666,0.0002181886,5.4340963286,55.5
56,0.0011693333,0.0210583168,0,0.0002433787,0.00132893,0.0161547336,6.1413E-06,0.0150405986,19.8187623073,0.0002429991,5.1296821947,56.5
57,0.001216,0.024081303,0,0.000268273,0.0013912885,0.017626179,6.1405E-06,0.0151941691,19.1829438765,0.0002678387,4.8211033173,57.5
58,0.0012626667,0.0274575537,0,0.0003055909,0.0014508849,0.0191535285,6.1413E-06,0.0159224125,18.5495519155,0.0003049967,4.6648876514,58.5
59,0.0013093333,0.0312050374,0,0.0003429089,0.0015091057,0.0207280735,6.1403E-06,0.0165067036,17.922263247,0.000342181,4.4754595386,59.5
60,0.001356,0.0353360471,0,0.0003802268,0.0015660495,0.0223477089,6.1407E-06,0.0169741151,17.2982731121,0.0003793636,4.268623776,60.5
61,0.0015538,0.0398554324,0,0.0004175448,0.0018163369,0.0241051389,6.1404E-06,0.0172790261,16.6747942737,0.0004165517,4.0437885275,61.5
62,0.0017516,0.0447588726,0,0.0004548627,0.0020666683,0.0260986957,6.1407E-06,0.0173845833,16.0484882063,0.0004537602,3.8030712652,62.5
63,0.0019494,0.0500313661,0,0.0005381321,0.0023162157,0.0283092677,6.1411E-06,0.0189561071,15.4286104218,0.0005366931,3.7997325564,63.5
64,0.0021472,0.0556461405,0,0.0006214014,0.0025650845,0.030714774,6.1403E-06,0.020171194,14.8227872356,0.0006196277,3.7288840172,64.5
65,0.002345,0.0615641879,0,0.0007046707,0.0028132238,0.0333153518,6.1417E-06,0.0210855309,14.2250641124,0.0007025601,3.6102268327,65.5
66,0.0025428,0.067734602,0,0.00078794,0.0030604624,0.0361109018,6.1407E-06,0.0217501051,13.6308217309,0.0007855176,3.4587540864,66.5
67,0.0027406,0.0740958189,0,0.0008712094,0.0033073357,0.0391013893,6.1405E-06,0.0222080952,13.0365796031,0.0008684818,3.2856539558,67.5
68,0.0029384,0.0805777611,0,0.0010382692,0.0035543778,0.0422473997,6.1415E-06,0.0244874803,12.4518969406,0.0010346755,3.2858838824,68.5
69,0.0031362,0.0871047622,0,0.001205329,0.0038018895,0.0455068186,6.1415E-06,0.0263844838,11.8848549025,0.0012008451,3.2262440625,69.5
70,0.003334,0.0935990298,0,0.0013723888,0.0040504036,0.0488780805,6.1395E-06,0.0279636036,11.3302655749,0.0013670056,3.1266048901,70.5
71,0.0036959,0.099984318,0,0.0015394486,0.0045266922,0.0524671518,6.1416E-06,0.0292166956,10.7837175308,0.0015331601,2.998029209,71.5
72,0.0040578,0.1061894477,0,0.0017065085,0.0050043899,0.0563853942,6.1404E-06,0.0301335171,10.2410106779,0.0016993783,2.8499388471,72.5
73,0.0044197,0.1121513349,0,0.0020485247,0.0054839267,0.0605546135,6.1406E-06,0.0336663459,9.7119959574,0.0020390258,2.8532357385,73.5
74,0.0047816,0.1178172713,0,0.0023905409,0.0059651428,0.0648909144,6.1404E-06,0.0366476166,9.2050195508,0.0023785571,2.8073491862,74.5
75,0.0051435,0.1231463115,0,0.0027325571,0.0064476271,0.0693925156,6.1403E-06,0.039160985,8.7136874109,0.002718025,2.7292933895,75.5
76,0.0055054,0.128109749,0,0.0030745734,0.0069307018,0.074057182,6.1406E-06,0.0412780209,8.2327810135,0.0030575639,2.6316701345,76.5
77,0.0058673,0.1326907691,0,0.0034165896,0.0074129621,0.0788817627,6.1402E-06,0.0430584906,7.7579144547,0.0033972413,2.5236071062,77.5
78,0.0062292,0.1368834449,0,0.0040576063,0.0078966753,0.0837284845,6.1405E-06,0.0481516303,7.2977737516,0.0040325111,2.5247293819,78.5
79,0.0065911,0.1406912797,0,0.004698623,0.0083795735,0.0884508182,6.1409E-06,0.0527572462,6.8605438312,0.004667392,2.4904972269,79.5
80,0.006953,0.1441255014,0,0.0053396398,0.0088637031,0.0930396905,6.1413E-06,0.0569766764,6.4421351754,0.0053021709,2.4272103427,80.5
81,0.0075483077,0.1472032916,0,0.0059806565,0.0096844187,0.0976378489,6.1407E-06,0.0607950228,6.0403346637,0.0059371867,2.3373654363,81.5
82,0.0081436154,0.1499460886,0,0.0066216732,0.0105003096,0.1023888171,6.1403E-06,0.0641780103,5.6546028336,0.0065726187,2.2240065371,82.5
83,0.0087389231,0.1523780626,0,0.0076845806,0.0113109264,0.1070959959,6.1412E-06,0.0711725813,5.2962664109,0.0076240206,2.1618320048,83.5
84,0.0093342308,0.154524817,0,0.008747488,0.0121185804,0.1115534528,6.1409E-06,0.077752852,4.9766840596,0.0086754975,2.0865903852,84.5
85,0.0099295385,0.1564123357,0,0.0098103954,0.0129224185,0.1157458447,6.1411E-06,0.0840214691,4.6938622009,0.0097271689,2.0219536816,85.5
86,0.0105248462,0.1580661712,0,0.0108733028,0.0137223777,0.1196591842,6.1411E-06,0.0900636818,4.4400949116,0.0107790695,1.9852382608,86.5
