sex,Area,Age,2014,2015,2016,2017,2018,2019,2020,2021
2,England,14,292930,286565,278646,284132,293788,299193,312845,318436
2,England,15,302618,293723,287345,279409,284895,294551,299956,313607
2,England,16,307455,303789,294875,288474,280540,286026,295682,301087
2,England,17,318082,309785,306080,297124,290725,282794,288280,297935
2,England,18,319467,321635,313268,309491,300538,294141,286212,291698
2,England,19,325149,324976,327034,318559,314784,305834,299439,291513
2,England,20,341574,332755,332443,334361,325889,322116,313169,306777
2,England,21,351140,350401,341423,340951,342870,334401,330630,321686
2,England,22,371673,360636,359715,350557,350087,352007,343541,339772
2,England,23,380974,381367,370131,369009,359855,359387,361308,352845
2,England,24,377677,389719,389903,378461,377341,368190,367724,369646
2,England,25,379930,384600,396437,396419,384982,383863,374716,374252
2,England,26,386440,385214,389701,401352,401336,389903,388786,379643
2,England,27,378926,390388,389008,393337,404987,404973,393544,392429
2,England,28,376825,381796,393127,391619,395948,407596,407584,396160
2,England,29,376790,378822,383684,394902,393396,397725,409371,409360
2,England,30,369480,378640,380573,385330,396546,395041,399370,411014
2,England,31,374484,371527,380589,382424,387180,398393,396890,401219
2,England,32,375667,376161,373122,382095,383930,388686,399895,398394
2,England,33,377376,376466,376892,373785,382756,384591,389347,400552
2,England,34,376427,377760,376792,377157,374053,383022,384857,389613
2,England,35,359374,376924,378202,377178,377545,374444,383410,385246
2,England,36,334879,360072,377560,378783,377762,378130,375033,383996
2,England,37,329752,335302,360434,377865,379089,378070,378440,375347
2,England,38,336507,329971,335479,360554,377975,379200,378184,378556
2,England,39,342697,336633,330065,335529,360588,377998,379225,378212
2,England,40,348811,342673,336579,329980,335442,360483,377882,379111
2,England,41,363225,348608,342446,336326,329736,335196,360218,377605
2,England,42,378050,362942,348314,342132,336022,329441,334900,359902
2,England,43,392918,377949,362835,348200,342029,335929,329359,334817
2,England,44,383057,392825,377854,362738,348125,341966,335878,329320
2,England,45,392995,382828,392571,377603,362512,347923,341777,335702
2,England,46,391916,392712,382548,392267,377327,362263,347700,341568
2,England,47,396084,391640,392428,382271,391986,377076,362041,347506
2,England,48,398591,395804,391363,392145,382014,391725,376847,361843
2,England,49,400214,398153,395369,390933,391726,381623,391329,376486
2,England,50,395702,399534,397478,394699,390285,391089,381016,390717
2,England,51,386873,394900,398728,396680,393921,389530,390346,380305
2,England,52,377117,385864,393879,397705,395678,392940,388574,389402
2,England,53,363388,375875,384608,392612,396447,394442,391727,387386
2,England,54,348492,362050,374513,383232,391233,395077,393095,390404
2,England,55,340305,347182,360711,373149,381863,389861,393714,391756
2,England,56,332641,339085,345953,359451,371871,380579,388573,392435
2,England,57,320968,331238,337675,344534,358007,370407,379108,387098
2,England,58,309442,319386,329632,336061,342918,356364,368742,377435
2,England,59,298842,307817,317734,327953,334380,341234,354651,367005
2,England,60,300594,297246,306194,316080,326278,332703,339553,352938
2,England,61,296349,298740,295426,304345,314208,324383,330805,337651
2,England,62,289374,294131,296528,293251,302148,311986,322136,328554
2,England,63,290909,287000,291750,294155,290923,299795,309606,319729
2,England,64,298235,288363,284504,289245,291661,288477,297322,307103
2,England,65,305102,295470,285697,281890,286624,289051,285918,294734
2,England,66,323174,302025,292503,282834,279086,283813,286251,283172
2,England,67,350748,319849,298926,289521,279967,276281,281000,283449
2,England,68,271463,347075,316525,295843,286565,277133,273513,278223
2,England,69,264522,268464,343354,313174,292750,283607,274304,270754
2,England,70,264072,261496,265453,339571,309787,289637,280637,271471
2,England,71,247303,260829,258350,262321,335616,306254,286395,277547
2,England,72,222199,243893,257302,254926,258913,331326,302413,282865
2,England,73,201074,218705,240138,253420,251155,255157,326622,298188
2,England,74,209268,197573,214975,236125,249271,247123,251139,321583
2,England,75,208089,205254,193859,211014,231861,244859,242833,246861
2,England,76,202002,203665,200983,189907,206797,227317,240153,238254
2,England,77,192985,197194,198926,196404,185667,202270,222436,235094
2,England,78,184164,187844,192065,193866,191511,181132,197424,217207
2,England,79,175398,178634,182348,186577,188446,186264,176264,192219
2,England,80,163402,169437,172732,176475,180706,182642,180639,171039
2,England,81,156072,157146,163145,166493,170260,174486,176486,174668
2,England,82,152416,149389,150633,156583,159978,163761,167973,170033
2,England,83,146252,145064,142430,143839,149727,153160,156951,161139
2,England,84,136848,138218,137370,135131,136700,142509,145971,149758
2,England,85,123437,128257,129833,129319,127472,129192,134903,138381
2,England,86,111134,114629,119399,121163,120971,119508,121365,126958
2,England,87,100588,102196,105684,110376,112306,112418,111327,113304
2,England,88,91082,91497,93210,96664,101249,103319,103713,102975
2,England,89,80674,81855,82457,84247,87637,92084,94264,94912
2,England,90,342447,353127,364014,374612,386084,399870,416783,434547
