"age","sex","qimd","year","pop"
68,"1","2","2002",46071.7999999998
69,"1","2","2002",46071.7999999998
70,"1","2","2002",39136.5999999996
71,"1","2","2002",39136.6000000006
72,"1","2","2002",39136.5999999996
73,"1","2","2002",39136.6000000006
74,"1","2","2002",39136.5999999996
75,"1","2","2002",29684.2000000002
76,"1","2","2002",29684.2000000002
77,"1","2","2002",29684.1999999993
78,"1","2","2002",29684.2000000002
79,"1","2","2002",29684.2000000002
80,"1","2","2002",18875.5999999996
81,"1","2","2002",18875.6000000006
82,"1","2","2002",18875.5999999996
83,"1","2","2002",18875.6000000006
84,"1","2","2002",18875.5999999996
85,"1","2","2002",8571.59999999963
86,"1","2","2002",8571.60000000056
87,"1","2","2002",8571.59999999963
88,"1","2","2002",8571.60000000056
89,"1","2","2002",8571.59999999963
90,"1","2","2002",3550.40000000037
91,"1","2","2002",3550.39999999944
92,"1","2","2002",3550.40000000037
93,"1","2","2002",3550.39999999944
94,"1","2","2002",3550.40000000037
95,"1","2","2002",3550.40000000037
96,"1","2","2002",3550.39999999944
97,"1","2","2002",3550.40000000037
98,"1","2","2002",3550.39999999944
99,"1","2","2002",3550.40000000037
100,"1","2","2002",3550.44520126097
0,"1","3","2002",52685
1,"1","3","2002",54235
2,"1","3","2002",54235
3,"1","3","2002",54235
4,"1","3","2002",54235
5,"1","3","2002",58571.4
6,"1","3","2002",58571.4
7,"1","3","2002",58571.4
8,"1","3","2002",58571.4
9,"1","3","2002",58571.4
10,"1","3","2002",62322
11,"1","3","2002",62322
12,"1","3","2002",62322
13,"1","3","2002",62322
14,"1","3","2002",62322
15,"1","3","2002",60012.4
16,"1","3","2002",60012.4
17,"1","3","2002",60012.3999999999
18,"1","3","2002",60012.4000000001
19,"1","3","2002",60012.3999999999
20,"1","3","2002",61550.6000000001
21,"1","3","2002",61550.5999999999
22,"1","3","2002",61550.6000000001
23,"1","3","2002",61550.5999999999
24,"1","3","2002",61550.6000000001
25,"1","3","2002",66263.8
26,"1","3","2002",66263.8
27,"1","3","2002",66263.7999999998
28,"1","3","2002",66263.8
29,"1","3","2002",66263.8
30,"1","3","2002",76538.8
31,"1","3","2002",76538.8
32,"1","3","2002",76538.8
33,"1","3","2002",76538.8
34,"1","3","2002",76538.7999999998
35,"1","3","2002",79019.7999999998
36,"1","3","2002",79019.8000000003
37,"1","3","2002",79019.7999999998
38,"1","3","2002",79019.8000000003
39,"1","3","2002",79019.7999999998
40,"1","3","2002",71121.2000000002
41,"1","3","2002",71121.1999999997
42,"1","3","2002",71121.2000000002
43,"1","3","2002",71121.1999999997
44,"1","3","2002",71121.2000000002
45,"1","3","2002",62834.2000000002
46,"1","3","2002",62834.1999999997
47,"1","3","2002",62834.2000000002
48,"1","3","2002",62834.1999999997
49,"1","3","2002",62834.2000000002
50,"1","3","2002",64934.2000000002
51,"1","3","2002",64934.1999999997
52,"1","3","2002",64934.2000000002
53,"1","3","2002",64934.1999999997
54,"1","3","2002",64934.2000000002
55,"1","3","2002",62954.2000000002
56,"1","3","2002",62954.1999999997
57,"1","3","2002",62954.2000000002
58,"1","3","2002",62954.1999999997
59,"1","3","2002",62954.2000000002
60,"1","3","2002",48833.3999999999
61,"1","3","2002",48833.3999999999
62,"1","3","2002",48833.4000000004
63,"1","3","2002",48833.3999999999
64,"1","3","2002",48833.3999999999
65,"1","3","2002",43633
66,"1","3","2002",43633
67,"1","3","2002",43633
68,"1","3","2002",43633
69,"1","3","2002",43633
70,"1","3","2002",37614.7999999998
71,"1","3","2002",37614.7999999998
72,"1","3","2002",37614.8000000007
73,"1","3","2002",37614.7999999998
74,"1","3","2002",37614.7999999998
75,"1","3","2002",28914
76,"1","3","2002",28914
77,"1","3","2002",28914
78,"1","3","2002",28914
79,"1","3","2002",28914
80,"1","3","2002",19031.2000000002
81,"1","3","2002",19031.2000000002
82,"1","3","2002",19031.1999999993
83,"1","3","2002",19031.2000000002
84,"1","3","2002",19031.2000000002
85,"1","3","2002",8554.40000000037
86,"1","3","2002",8554.39999999944
87,"1","3","2002",8554.40000000037
88,"1","3","2002",8554.39999999944
89,"1","3","2002",8554.40000000037
90,"1","3","2002",3425.20000000019
91,"1","3","2002",3425.20000000019
92,"1","3","2002",3425.19999999925
93,"1","3","2002",3425.20000000019
94,"1","3","2002",3425.20000000019
95,"1","3","2002",3425.20000000019
96,"1","3","2002",3425.20000000019
97,"1","3","2002",3425.19999999925
98,"1","3","2002",3425.20000000019
99,"1","3","2002",3425.20000000019
100,"1","3","2002",3425.24617407098
0,"1","4","2002",59228
1,"1","4","2002",59225.25
2,"1","4","2002",59225.25
3,"1","4","2002",59225.25
4,"1","4","2002",59225.25
5,"1","4","2002",62785.8
6,"1","4","2002",62785.8
7,"1","4","2002",62785.8
8,"1","4","2002",62785.7999999999
9,"1","4","2002",62785.8
10,"1","4","2002",65309
11,"1","4","2002",65309
12,"1","4","2002",65309
13,"1","4","2002",65309
14,"1","4","2002",65309
15,"1","4","2002",62848.8
16,"1","4","2002",62848.8
17,"1","4","2002",62848.7999999998
18,"1","4","2002",62848.8
19,"1","4","2002",62848.8
20,"1","4","2002",68804.3999999999
21,"1","4","2002",68804.4000000001
22,"1","4","2002",68804.3999999999
23,"1","4","2002",68804.4000000001
24,"1","4","2002",68804.3999999999
