"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Males, Disease: Lung cancer (Rates * ), sex: Males",,,,,,,,,,,,
"Written 18/02/2016, 20:31:36",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
36,3.09893E-05,0.1906236016,0.314521595,1.49906E-05,3.16265E-05,6.92601E-05,0.1578015482,0.2016530479,2.7365228597,1.40066E-05,191.1539223455,36.5
37,3.62284E-05,0.1765014921,0.3243155558,1.80318E-05,3.66852E-05,7.73298E-05,0.1570270809,0.219995704,2.7476823436,1.70635E-05,191.5461260769,37.5
38,4.23468E-05,0.1625242422,0.3340665776,2.05437E-05,0.000042532,8.67252E-05,0.153070605,0.2280398174,2.8018063375,1.98445E-05,182.7521801452,38.5
39,4.94896E-05,0.1488638029,0.3437279287,2.26905E-05,4.94183E-05,9.85854E-05,0.1459614606,0.2283240331,2.8776246464,2.25973E-05,168.8579385536,39.5
40,5.78254E-05,0.1356921248,0.3532528773,0.000025093,5.76274E-05,0.0001139602,0.1361728354,0.22477161,2.953671323,2.57251E-05,153.8288271694,40.5
41,6.75488E-05,0.123181159,0.3625946916,2.83918E-05,6.74255E-05,0.0001337484,0.1243435346,0.2209096563,3.0119885334,2.96798E-05,140.3215512292,41.5
42,7.88851E-05,0.1115028562,0.3717066399,3.32275E-05,0.000079013,0.0001586605,0.1117748339,0.2186806778,3.0401541518,3.48544E-05,129.3317040657,42.5
43,9.20937E-05,0.1008291672,0.3805419905,4.02272E-05,9.25733E-05,0.0001891098,0.0999336266,0.2196310297,3.0333309481,4.17205E-05,121.3010427148,43.5
44,0.0001074728,0.091332043,0.3890540115,0.000049704,0.000108319,0.0002250745,0.0899930279,0.224808708,2.9957707589,5.08175E-05,116.1005632702,44.5
45,0.0001253644,0.0831834344,0.3971959712,6.16571E-05,0.0001265785,0.0002663082,0.0819510393,0.2332682714,2.9363958698,0.00006238,112.5802802919,45.5
46,0.000146159,0.0764994048,0.4049283564,7.60721E-05,0.0001477092,0.0003127162,0.0755118844,0.2435659194,2.862267388,7.64744E-05,109.5767750534,46.5
47,0.0001703004,0.0711724681,0.4122405278,9.29346E-05,0.0001721281,0.0003644938,0.0703942424,0.2545788561,2.7767548267,9.31587E-05,106.2918906575,47.5
48,0.0001982912,0.0670392508,0.4191290648,0.0001122652,0.0002004904,0.0004220598,0.0663746157,0.2664683049,2.6810463753,0.0001129044,102.647349732,48.5
49,0.0002306962,0.0639363793,0.4255905466,0.0001348871,0.0002335109,0.0004858677,0.0632439627,0.2797164936,2.5761967623,0.0001364338,98.884471137,49.5
50,0.0002681465,0.0617004801,0.4316215525,0.0001624262,0.0002719038,0.0005562238,0.0608141845,0.2948847114,2.4635925844,0.0001646614,95.2588092097,50.5
51,0.0003113403,0.0601681797,0.4372186618,0.0001965434,0.0003163802,0.0006330321,0.0589809535,0.3128504934,2.3455390662,0.0001988192,92.0480569404,51.5
52,0.0003610433,0.0591761044,0.4423784538,0.0002388996,0.0003676509,0.0007155381,0.0576608851,0.3345704358,2.2260831518,0.0002403353,89.4580074044,52.5
53,0.0004180838,0.0585608809,0.4470975077,0.0002910806,0.0004263992,0.0008023591,0.0567660108,0.3605379863,2.1111466711,0.00029041,87.4994121986,53.5
54,0.0004833448,0.0581591356,0.4513724029,0.0003529454,0.0004931997,0.0008922839,0.0561900282,0.3893939974,2.0068613288,0.0003488062,85.7502268439,54.5
55,0.0005577501,0.0578074949,0.4551997186,0.0004226261,0.0005686,0.0009852244,0.0558220511,0.419316173,1.917859398,0.0004147528,83.8368519807,55.5
56,0.0006422427,0.057370264,0.4585902116,0.0004981797,0.00065318,0.0010825341,0.0555577074,0.4483857659,1.847481705,0.0004873708,81.5135410196,56.5
57,0.0007377562,0.0568224629,0.4616113481,0.0005776633,0.0007476495,0.0011872212,0.0553186814,0.4742982261,1.7979467457,0.000565519,78.5840495062,57.5
58,0.0008451764,0.0561667903,0.4643447722,0.0006592112,0.000852751,0.0013040809,0.0550331711,0.4946525528,1.7699197314,0.0006480585,74.9174418415,58.5
59,0.0009652938,0.0554059449,0.4668721275,0.0007427317,0.0009692523,0.0014394204,0.0546381607,0.5075721103,1.7619404427,0.000734301,70.4548209574,59.5
60,0.001098747,0.0545426254,0.469275058,0.0008299076,0.0010980226,0.0015998036,0.0541057766,0.5132777239,1.7710440761,0.000825623,65.4238843579,60.5
61,0.0012459602,0.0535795305,0.4716352073,0.0009224986,0.0012399565,0.0017911183,0.053416931,0.5125145845,1.793784211,0.000923281,60.0638928166,61.5
62,0.0014070767,0.052519359,0.4740342194,0.0010222645,0.0013958244,0.0020188337,0.0525566152,0.5062359258,1.825846696,0.0010281351,54.5822917779,62.5
63,0.0015818947,0.0513648094,0.476553738,0.0011309907,0.0015658996,0.0022874844,0.0515261372,0.4962271546,1.8621551293,0.0011420054,49.2172115936,63.5
64,0.001769813,0.0501185805,0.4792754071,0.0012510512,0.0017503307,0.0025997723,0.0503308842,0.4844817208,1.8977898205,0.0012671133,44.1521617262,64.5
65,0.0019697922,0.0487833711,0.4822808703,0.0013854084,0.0019488865,0.0029561121,0.0489828227,0.4728447449,1.9287714176,0.0014059341,39.5050118822,65.5
66,0.0021803422,0.0473661189,0.4856397612,0.0015370502,0.0021598141,0.0033540631,0.047520236,0.4625680288,1.9524962663,0.0015601087,35.3113153317,66.5
67,0.0023995397,0.0458907187,0.4893736721,0.0017089645,0.0023809802,0.0037877635,0.0459879865,0.4547550452,1.9681579769,0.001731496,31.5781672655,67.5
68,0.0026250815,0.0443853041,0.4934921849,0.0019038493,0.0026098595,0.0042478379,0.0444310433,0.4501213316,1.9774453939,0.0019212902,28.2901621273,68.5
69,0.0028543699,0.0428780091,0.4980048814,0.0021177272,0.0028423575,0.0047236744,0.0428948024,0.4478306867,1.9837089072,0.0021248146,25.3911120555,69.5
70,0.0030846282,0.0413969673,0.5029213437,0.0023399459,0.0030739874,0.005206506,0.0414247663,0.4466589741,1.9902015968,0.0023350199,22.8224557843,70.5
71,0.0033130322,0.0399703126,0.5082511537,0.0025595628,0.0033008246,0.0056908129,0.0400595731,0.4454242191,1.9993613986,0.0025443328,20.5366324007,71.5
72,0.0035368478,0.0386261788,0.5140038933,0.0027656355,0.0035211938,0.0061754945,0.0388104042,0.4431130935,2.012392928,0.002745958,18.5003700467,72.5
73,0.0037535588,0.0373926997,0.5201891444,0.0029476797,0.0037339818,0.0066645063,0.0376815766,0.4387544303,2.0286000817,0.0029336368,16.6749099552,73.5
74,0.0039609735,0.036298009,0.526816489,0.0031057511,0.0039383382,0.0071655895,0.0366753048,0.431790355,2.0446669414,0.0031036641,15.0039346242,74.5
75,0.0041573008,0.0353702406,0.533895509,0.0032504458,0.0041344631,0.0076845123,0.0357853936,0.4233161613,2.0556393412,0.0032626404,13.4865542133,75.5
76,0.0043411919,0.0346253965,0.5414170717,0.0033928177,0.0043228193,0.0082195478,0.0350035452,0.4148404353,2.0569535562,0.003419376,12.130913265,76.5
77,0.004511748,0.0340309514,0.5492971861,0.0035439212,0.004503477,0.0087610056,0.0343181576,0.4077515076,2.0453899733,0.0035816458,10.9369454948,77.5
78,0.0046684984,0.0335422487,0.5574331466,0.0037144763,0.0046749361,0.0092928734,0.0337044108,0.4029566879,2.0192277634,0.0037535445,9.8899306813,78.5
79,0.0048113562,0.0331146312,0.5657222474,0.0039075208,0.0048353043,0.0097944233,0.0331341805,0.4012430308,1.9781760984,0.0039382568,8.9715907753,79.5
80,0.0049405603,0.0327034421,0.574061783,0.0041184098,0.0049829869,0.0102415978,0.0325771323,0.40325175,1.9235751182,0.0041374293,8.1621085117,80.5
81,0.0050566092,0.0322640244,0.5823490478,0.0043421647,0.0051175823,0.0106115054,0.0319940905,0.4090406974,1.8581285033,0.0043469969,7.43432205,81.5
82,0.005160196,0.0317517213,0.590481336,0.0045738065,0.0052389866,0.010886753,0.0313436692,0.4185218843,1.7855741724,0.0045615843,6.7648156284,82.5
83,0.0052521466,0.0311218759,0.5983559421,0.0048081781,0.0053470205,0.0110566259,0.0305855524,0.4315044011,1.7109317947,0.0047748222,6.1495571106,83.5
84,0.0053333666,0.0303298311,0.6058701604,0.0050360159,0.005441202,0.0111189355,0.0296837044,0.4473856557,1.6399709202,0.0049767788,5.6317657612,84.5
85,0.0054047962,0.0293309302,0.6129212853,0.0052439502,0.0055209733,0.0110808451,0.0286031594,0.4654601352,1.5780570222,0.0051584888,5.2479333694,85.5
86,0.0054673752,0.0280805161,0.619406611,0.0054184327,0.0055859818,0.010957771,0.0272992984,0.4848053746,1.5292981496,0.0053117861,5.0219104484,86.5
87,0.0055220164,0.026533932,0.6252234321,0.0055459151,0.0056366946,0.0107750344,0.0256888898,0.5036311006,1.4945312346,0.0054251067,4.9744283885,87.5
88,0.0055695869,0.0246465209,0.6302690429,0.0056134454,0.0056737838,0.0105671816,0.0236790491,0.5199300881,1.4675530386,0.0054924885,5.1449562747,88.5
89,0.0056108959,0.022373626,0.6344407376,0.0056217833,0.0056984287,0.0103710951,0.0212219376,0.531960502,1.4297607811,0.0055160143,5.6171211078,89.5
90,0.0056466882,0.0196705903,0.6376358108,0.0055854004,0.0057138384,0.010217119,0.0184499009,0.5390420691,1.3922270397,0.0055078337,4.5362486674,90.5
91,0.0056776408,0.0165032908,0.6397563136,0.0055193645,0.005723729,0.0101256887,0.0155403304,0.5407599064,1.3754313183,0.0054777429,4.2518362047,91.5
92,0.0057043637,0.0130798855,0.640813709,0.0054387432,0.0057318819,0.010110177,0.0126796569,0.5369947843,1.3627156032,0.0054332772,3.9647256802,92.5
93,0.0057274018,0.0098508136,0.6409288709,0.0053586045,0.0057423391,0.010175871,0.0100904666,0.5288100861,1.3502343139,0.0053870937,3.6849592124,93.5
94,0.0057472386,0.0072770479,0.6402274306,0.005294016,0.0057592075,0.0103192757,0.0080043849,0.5175648486,1.3331073322,0.0053483462,3.421068583,94.5
95,0.0057643008,0.0058195614,0.638835019,0.0052600455,0.0057858883,0.0105271039,0.0067298522,0.5055391871,1.3052211928,0.0053301935,3.1828809203,95.5
96,0.0057789629,0.005939327,0.6368772673,0.0052725555,0.0058229594,0.0107571065,0.0068825687,0.4986975316,1.2618270358,0.0053724754,2.9916872732,96.5
97,0.0057915527,0.0080973178,0.6344798067,0.0053656899,0.0058702928,0.0109231026,0.0091550494,0.5039253908,1.2045445467,0.0055100341,2.8654384809,97.5
98,0.0058023558,0.0127545067,0.6317682682,0.0055918735,0.0059250895,0.0109198926,0.013784103,0.5250544724,1.1440406089,0.0057344341,2.8055787359,98.5
99,0.0058116203,0.0203718666,0.628868283,0.0060043261,0.0059738672,0.0107081268,0.0191837115,0.5537012813,1.095784334,0.0059248764,2.7729391127,99.5
100,0.0058195614,0.0314103705,0.6259054821,0.0066562672,0.0060004722,0.0103631066,0.0233121505,0.5784285211,1.0748593766,0.0059875753,2.7287104287,102.488531159
,,,,,,,,,,,,
All ages,NA,NA,NA,0.0005801607,0.0007363022,0.0013219092,0.0408039275,0.4373256672,1.9139076179,0.0005798747,27.0719419415,72.4877889489
