"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: Gastric cancer (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 15:53:31",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
47,4.90691E-05,0.1342641446,0.3353167786,2.83691E-05,4.90738E-05,9.65359E-05,0.1342641446,0.2930405311,2.4479504729,2.83691E-05,109.274025252,47.5
48,5.62398E-05,0.1342641446,0.3310190074,3.12496E-05,5.62458E-05,0.000106815,0.1342641446,0.2915343069,2.5118524107,3.12496E-05,98.7836377716,48.5
49,6.34105E-05,0.1342641446,0.3267212362,3.41301E-05,6.34181E-05,0.0001199256,0.1342641446,0.2835167122,2.5964051628,3.41301E-05,87.0918493175,49.5
50,6.98462E-05,0.1331387843,0.322423465,3.41281E-05,6.98558E-05,0.0001366365,0.1331387843,0.2487635792,2.6577680737,3.41281E-05,69.3486575608,50.5
51,7.69423E-05,0.1320134239,0.3181256938,3.67843E-05,7.69543E-05,0.0001567641,0.132013424,0.2337677035,2.6637973781,3.67843E-05,59.2058367643,51.5
52,8.40383E-05,0.1320134239,0.3138279226,3.94404E-05,8.40534E-05,0.0001789277,0.1320134239,0.2196755657,2.6251066353,3.94404E-05,50.7516716165,52.5
53,9.79887E-05,0.1320134239,0.3095301514,4.76289E-05,9.80087E-05,0.0002034472,0.132013424,0.2332934043,2.5670899697,4.76289E-05,49.3054562834,53.5
54,0.0001119391,0.1320134239,0.3052323802,5.58173E-05,0.0001119649,0.000230641,0.1320134239,0.2411790479,2.5185688378,5.58173E-05,46.8263268618,54.5
55,0.000129186,0.1320134239,0.300934609,6.83785E-05,0.0001292196,0.0002596785,0.132013424,0.2624435976,2.4922987083,6.83785E-05,46.8342329625,55.5
56,0.0001435017,0.1308880636,0.304253493,7.71263E-05,0.0001435434,0.000290344,0.1308880636,0.2647891664,2.4913186948,7.71263E-05,43.4827194444,56.5
57,0.0001578173,0.1297627033,0.307572377,8.58742E-05,0.0001578683,0.0003230609,0.1297627033,0.2650084005,2.4921710379,8.58742E-05,39.9576075095,57.5
