site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
C45          ,1,,,,,,,,,1,4,11,32,81,210,289,359,376,287,179
C45          ,2,,,,,1,,,,1,5,13,12,24,47,53,58,59,60,49
C46          ,1,,,,,,1,7,13,17,17,9,15,5,6,8,2,4,,1
C46          ,2,,,,,,,3,3,4,1,3,3,1,,3,2,2,1,4
C47          ,1,3,1,1,1,,1,4,5,2,4,5,,2,3,4,2,2,2,3
C47          ,2,,3,,1,1,,,1,1,3,6,2,1,,1,4,1,1,
C48          ,1,,,,1,1,1,1,,1,5,7,6,10,19,21,20,14,11,3
C48          ,2,,1,,,3,1,4,2,2,7,17,20,34,67,80,86,70,46,28
C49          ,1,6,11,7,11,15,16,22,24,28,43,45,53,53,80,77,80,73,69,64
C49          ,2,3,7,5,5,18,11,26,22,24,25,31,56,42,53,51,40,59,59,70
C50          ,1,,,,,,,2,1,4,11,11,19,30,37,47,59,47,48,37
C50          ,2,,,,1,1,23,144,492,1137,2528,4164,4637,4005,5618,5009,3430,3492,3073,3505
C51          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C51          ,2,,,,,1,1,3,9,18,36,57,62,65,78,88,91,147,124,187
C52          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C52          ,2,,2,,,,,1,2,4,8,9,15,20,25,32,25,20,28,47
C53          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C53          ,2,,,,,,45,306,290,290,260,192,165,139,159,94,103,81,88,93
C54          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C54          ,2,,,,,,3,11,28,41,120,229,503,819,1198,997,984,755,520,382
C55          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C55          ,2,,,,,,,1,,3,11,10,23,24,33,32,23,33,15,36
C56          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C56          ,2,,1,1,12,25,53,62,108,137,235,351,393,508,719,673,653,576,515,513
C57          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57          ,2,,,,,,,3,1,3,9,15,31,21,34,47,31,31,25,21
C58          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C58          ,2,,,,,3,,1,1,1,2,,,,,,1,,,
C60          ,1,,,,,,,1,5,3,35,26,26,43,45,56,53,57,31,28
