"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Females, Disease: Gastric cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 04/06/2016, 16:00:00",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
43,1.34076E-05,0.2249454865,0.6972751997,1.10455E-05,1.35456E-05,1.35281E-05,0.2205995857,0.7981496712,1.1091652688,0.000010783,659.771068008,43.5
44,1.57214E-05,0.2219309307,0.6888750161,1.13357E-05,1.58542E-05,1.43998E-05,0.2188021614,0.7667271484,1.3074000408,1.11362E-05,575.786824487,44.5
45,2.16455E-05,0.2193570553,0.6228141674,1.04152E-05,2.14945E-05,1.87715E-05,0.2217045956,0.5494724495,1.5683888548,1.05484E-05,374.3081452212,45.5
46,2.44225E-05,0.2172392238,0.5167583285,1.06751E-05,2.42039E-05,2.62792E-05,0.2209078264,0.4080252586,1.7278717181,1.08805E-05,251.9982433892,46.5
47,2.71997E-05,0.2155015052,0.4163621001,1.09352E-05,2.69781E-05,3.47161E-05,0.2194129413,0.3180112352,1.7521542256,1.11553E-05,178.1990577017,47.5
48,2.77433E-05,0.2140451446,0.3639815566,1.30829E-05,2.76148E-05,4.22516E-05,0.2167068913,0.3122172659,1.6704734548,1.32622E-05,158.8227873921,48.5
49,2.82869E-05,0.2127713873,0.3607897426,1.52306E-05,2.81996E-05,4.71958E-05,0.2147178231,0.3251528588,1.5316398386,1.53845E-05,150.3868901939,49.5
50,2.50662E-05,0.2115814785,0.3972699869,1.93057E-05,2.50865E-05,4.75535E-05,0.2110405204,0.4066246453,1.3721609484,0.00001925,171.1481866279,50.5
51,2.55388E-05,0.2103766636,0.4623297864,2.16916E-05,2.56036E-05,4.39226E-05,0.2087913526,0.4927812857,1.2310887126,2.15011E-05,189.2224775679,51.5
52,2.60115E-05,0.2090581877,0.5437145328,2.40775E-05,2.61497E-05,3.94158E-05,0.206139221,0.6062071949,1.1186667629,2.36682E-05,212.8728387572,52.5
53,3.05379E-05,0.2075272962,0.6260970306,2.61986E-05,3.07918E-05,3.61556E-05,0.2040222208,0.7121188071,1.0564531458,2.56301E-05,229.2961909831,53.5
54,3.50644E-05,0.2056852342,0.6935636818,2.83197E-05,3.53524E-05,0.000035778,0.2027661569,0.7760797756,1.0550580363,2.77857E-05,229.6101272133,54.5
55,4.09473E-05,0.2034332471,0.7309278677,2.95526E-05,4.10567E-05,3.84165E-05,0.2025922709,0.759060525,1.1036229643,2.93895E-05,206.6262480971,55.5
56,4.56288E-05,0.2006969291,0.7282081962,3.16119E-05,4.55994E-05,0.00004356,0.2009138854,0.7203528222,1.1806414138,3.16574E-05,180.4526541907,56.5
57,5.03103E-05,0.1974992706,0.6955172033,3.36711E-05,0.000050201,5.00905E-05,0.1982072495,0.6693505932,1.2856585414,3.38316E-05,154.2037752662,57.5
58,5.97951E-05,0.1938876112,0.6456451541,3.70353E-05,5.96484E-05,5.95562E-05,0.1946550643,0.6177419038,1.4264605576,3.72323E-05,130.6956911,58.5
59,0.00006928,0.1899092902,0.5819993013,4.03996E-05,6.90734E-05,7.32333E-05,0.1908571579,0.548829916,1.6066747164,4.06707E-05,106.5084262984,59.5
60,8.07253E-05,0.1856116472,0.5081770433,4.16934E-05,8.03195E-05,9.22461E-05,0.1872428824,0.4519298628,1.7844160099,4.21827E-05,80.410828983,60.5
61,9.04463E-05,0.1810420217,0.4379193727,4.48985E-05,9.00295E-05,0.0001162528,0.1826541801,0.3871664079,1.9141647684,4.54327E-05,63.071800203,61.5
62,0.0001001671,0.176247753,0.3847618081,4.81036E-05,9.97345E-05,0.0001432299,0.1778559223,0.3374154346,1.9875433498,0.000048694,50.2695372913,62.5
63,0.0001151644,0.1712761807,0.3512743765,5.72469E-05,0.0001149349,0.0001729961,0.1720520288,0.3308036953,2.0227654072,5.76055E-05,44.9190604233,63.5
64,0.0001301618,0.1661746442,0.3357185381,6.63902E-05,0.0001300093,0.0002052457,0.1666627576,0.3229652846,2.0496425182,6.66671E-05,39.9292516009,64.5
65,0.0001476047,0.160990483,0.3300869753,7.95451E-05,0.000147651,0.0002392421,0.1609650613,0.3307507243,2.0797238261,7.95266E-05,37.1548179481,65.5
66,0.0001628547,0.1557618384,0.3264113762,0.000089174,0.0001628481,0.000274736,0.1558672615,0.3234798164,2.1192127449,0.000089265,33.0408944212,66.5
67,0.0001781048,0.1504900589,0.3231482277,9.88029E-05,0.0001780304,0.0003121121,0.150726888,0.3160880384,2.1523787971,9.90439E-05,29.35591996,67.5
68,0.0001976629,0.145167295,0.3200660564,0.0001117091,0.0001976576,0.0003521746,0.1452837619,0.3164200721,2.1838834523,0.0001118529,26.6985935118,68.5
69,0.0002172212,0.1397856969,0.3157567476,0.0001246151,0.0002172681,0.0003956789,0.13983804,0.3140280371,2.2200576555,0.0001246927,24.0634336157,69.5
70,0.0002377909,0.1343374151,0.3092458799,0.0001345733,0.0002377354,0.0004442433,0.1345242399,0.3025913431,2.2477620958,0.0001348951,21.0538579599,70.5
71,0.0002574326,0.1288145999,0.3024704448,0.0001472028,0.0002573782,0.0004979848,0.1290009481,0.2954114824,2.2536323788,0.0001475827,18.6118717666,71.5
