"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Males",,,,,,,,,,,,
"Written 25/08/2015, 13:31:08",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
37,9.9974E-06,0.1590098629,0.262765412,6.9633E-06,1.12719E-05,2.15712E-05,0.1269583595,0.3023895567,2.3427578003,6.5443E-06,262.9103807345,37.5
38,1.18348E-05,0.1528323932,0.2656420286,7.8478E-06,1.29526E-05,2.41325E-05,0.1244455753,0.3055601165,2.3544733638,7.4016E-06,244.5373697714,38.5
39,1.43568E-05,0.1466549234,0.2668810103,8.7517E-06,1.49753E-05,2.73254E-05,0.1244096377,0.3052943586,2.3734235642,0.000008377,225.4445360574,39.5
40,1.73896E-05,0.1404774537,0.2664823571,9.7036E-06,1.73401E-05,3.12403E-05,0.1268505467,0.301592283,2.4006737868,9.4637E-06,206.0614617227,40.5
41,2.07518E-05,0.134299984,0.2647298921,0.000010733,1.99615E-05,3.59277E-05,0.1284700645,0.2967434721,2.4363376852,1.07097E-05,188.1478212203,41.5
42,2.42619E-05,0.1281225143,0.26326125,1.18697E-05,2.28396E-05,4.14202E-05,0.1292681912,0.290747926,2.4787079422,1.20973E-05,171.6240220844,42.5
43,2.77444E-05,0.1219450446,0.2620764309,1.31432E-05,2.59744E-05,4.77718E-05,0.1292449267,0.2836056445,2.5247915273,1.36083E-05,156.34259799,43.5
44,3.11626E-05,0.1157675749,0.2611754348,1.45813E-05,2.93659E-05,5.50608E-05,0.128400271,0.2753166278,2.5696420789,1.52242E-05,141.9602822594,44.5
45,3.46184E-05,0.1095901052,0.2605582617,0.00001621,0.000033014,6.33927E-05,0.1267342241,0.2658808757,2.6055188129,1.69245E-05,128.1800166413,45.5
46,3.82197E-05,0.1134543502,0.2602249116,1.80554E-05,3.71387E-05,7.28645E-05,0.1253985824,0.2584412798,2.6273343675,1.89059E-05,116.2079107691,46.5
47,4.20745E-05,0.1173185952,0.2601753845,2.01434E-05,4.17398E-05,8.35234E-05,0.1243933459,0.2529978401,2.6353660373,2.12114E-05,105.6379943691,47.5
48,4.62951E-05,0.1211828403,0.2604096803,2.25041E-05,4.68173E-05,0.000095364,0.1237185146,0.2495505565,2.6305546705,0.000023884,96.1938832068,48.5
49,0.000051097,0.1250470853,0.2609277991,2.52613E-05,5.23714E-05,0.0001083309,0.1233740885,0.2480994292,2.6145560463,2.69687E-05,87.8203412067,49.5
50,5.67984E-05,0.1289113303,0.261729741,2.86326E-05,5.84019E-05,0.0001223195,0.1233600676,0.2486444579,2.5898264055,3.05121E-05,80.478282924,50.5
51,6.37219E-05,0.1327755753,0.2624249287,3.28394E-05,6.56529E-05,0.0001375142,0.1241961785,0.2502038549,2.5591231135,3.45156E-05,73.8161703787,51.5
52,7.21903E-05,0.1366398203,0.2627295394,3.81033E-05,7.41245E-05,0.0001543067,0.1258824211,0.25277762,2.5254635843,3.91287E-05,67.8325775096,52.5
53,0.000082511,0.1405040654,0.262643573,0.000044627,8.38166E-05,0.0001728822,0.1284187955,0.2563657533,2.4930069479,4.44612E-05,62.5066589649,53.5
54,9.46389E-05,0.1443683104,0.2621670296,5.21741E-05,9.47292E-05,0.0001932635,0.1318053017,0.2609682547,2.4676673475,5.05939E-05,57.7988179932,54.5
55,0.0001081762,0.1482325554,0.2612999091,6.00697E-05,0.0001068624,0.0002153437,0.1360419397,0.2665851243,2.4581950167,5.75848E-05,53.6644902086,55.5
56,0.00012271,0.145425936,0.2600422115,6.76198E-05,0.0001198736,0.0002394002,0.1390106741,0.2689781018,2.4690265775,6.45931E-05,49.2985435221,56.5
57,0.0001378273,0.1426193165,0.2583939369,7.41303E-05,0.0001337627,0.0002661667,0.140711505,0.268147187,2.4969631619,7.15959E-05,44.8625815636,57.5
58,0.0001531335,0.1398126971,0.2563550852,7.89538E-05,0.0001485297,0.0002964105,0.1411444325,0.26409238,2.5371190328,0.000078529,40.4641309948,58.5
59,0.0001686564,0.1370060777,0.2539256564,8.25151E-05,0.0001641746,0.0003309901,0.1403094564,0.2568136809,2.5815613134,8.52766E-05,36.1417027523,59.5
60,0.0001848462,0.1341994582,0.2511056506,8.63112E-05,0.0001806975,0.0003709259,0.1382065768,0.2463110895,2.6176443049,9.16592E-05,31.9156552257,60.5
61,0.0002021718,0.1313928388,0.2489813944,9.18858E-05,0.0001995995,0.0004168557,0.1353856417,0.2392258417,2.6370046598,0.0001000425,28.5691851535,61.5
62,0.0002211017,0.1285862194,0.247943465,0.0001007824,0.0002208805,0.0004687978,0.131846651,0.2355579374,2.6400508545,0.0001107751,25.9325136532,62.5
63,0.000242108,0.1257796,0.2479918622,0.0001144944,0.0002445405,0.0005265362,0.1275896049,0.2353073766,2.6280059381,0.0001242733,23.8642577509,63.5
64,0.0002657409,0.1229729805,0.249126586,0.0001333575,0.0002705796,0.0005896041,0.1226145032,0.2384741593,2.6029491639,0.0001410138,22.2405856518,64.5
65,0.0002926288,0.1201663611,0.2513476366,0.0001565498,0.0002989977,0.0006572734,0.116921346,0.2450582855,2.5679070451,0.0001615158,20.9557514297,65.5
66,0.0003234035,0.1192309487,0.2546550139,0.0001831988,0.0003310041,0.0007293918,0.1124550859,0.2520458795,2.5255158488,0.0001843322,19.695683904,66.5
67,0.0003586967,0.1182955363,0.2590487179,0.0002124325,0.0003665987,0.0008063178,0.1092157229,0.2594369415,2.4775948931,0.0002097338,18.4447898403,67.5
68,0.0003991043,0.1173601239,0.2645287485,0.0002433954,0.0004057817,0.0008879716,0.1072032569,0.2672314713,2.426542738,0.0002378965,17.2018319628,68.5
69,0.0004443934,0.1164247115,0.2710951059,0.0002756243,0.0004485529,0.0009739267,0.106417688,0.275429469,2.3755682797,0.0002689101,16.0012744589,69.5
70,0.0004935032,0.115489299,0.2787477899,0.0003090479,0.0004949124,0.0010634862,0.1068590162,0.2840309346,2.3290983139,0.0003027844,14.8769237175,70.5
71,0.0005453363,0.1145538866,0.2872290973,0.0003436118,0.0005428076,0.0011563652,0.1068096989,0.2917058743,2.2895177738,0.0003380997,13.7944332403,71.5
72,0.0005987958,0.1136184742,0.2954527014,0.0003792617,0.0005922384,0.001252895,0.106269736,0.2984542882,2.2559135855,0.0003747746,12.7871951031,72.5
