site,sex,Under 1,1­-4,5­-9,10-­14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85
C34          ,1,0,0,0,0,3,5,12,21,46,117,276,607,1249,2211,2817,3490,3315,2790,2214
C34          ,2,0,3,0,0,3,6,12,14,31,92,269,568,1013,1834,2392,2470,2408,2341,2219
