"agegroup","mean.rr","ci.rr"
"<1   ",1,1
"01-04",1,1
"05-09",1,1
"10-14",1,1
"15-19",1,1
"20-24",1.08,1
"25-29",1.08,1
"30-34",1.08,1
"35-39",1.08,1
"40-44",1.08,1
"45-49",1.08,1
"50-54",1.08,1
"55-59",1.08,1
"60-64",1.08,1
"65-69",1.08,1
"70-74",1.08,1
"75-79",1.08,1
"80-84",1.08,1
"85+",1.08,1
