"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Females",,,,,,,,,,,,
"Written 25/08/2015, 13:32:50",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
39,6.4612E-06,0.2406467741,0.2262039295,4.6931E-06,0.000006722,1.33145E-05,0.2349381375,0.265742251,1.9765912318,3.5388E-06,343.5515363898,39.5
40,7.5157E-06,0.2362513667,0.2293862499,6.1907E-06,7.9298E-06,1.41187E-05,0.229440617,0.2777786384,1.9728948495,3.9307E-06,324.630428763,40.5
41,9.1121E-06,0.2321438916,0.2323405229,7.6882E-06,9.6836E-06,1.57367E-05,0.2253012411,0.2833307427,1.9777629432,4.4784E-06,299.5779686477,41.5
42,1.13579E-05,0.2283625359,0.2350375004,9.1857E-06,1.21193E-05,1.83833E-05,0.2217595027,0.2867336037,1.9879113792,5.3039E-06,275.4861426215,42.5
43,1.43521E-05,0.2249454865,0.2374479347,1.04005E-05,1.53192E-05,2.22645E-05,0.2187945142,0.2880840287,2.0029296515,6.4619E-06,253.2254045438,43.5
44,1.79961E-05,0.2219309307,0.2395425778,1.16153E-05,1.91267E-05,2.74964E-05,0.2164408468,0.2870174299,2.0217564199,0.000007954,232.0156912053,44.5
45,2.19938E-05,0.2193570553,0.241292182,0.00001283,2.31663E-05,0.000033974,0.2147532385,0.2831550402,2.0416327188,9.6916E-06,211.0353966866,45.5
46,2.60406E-05,0.2172392238,0.2426870781,1.40448E-05,2.71137E-05,4.13896E-05,0.2136427172,0.2770581759,2.057962197,1.15426E-05,190.3569510469,46.5
47,2.98319E-05,0.2155015052,0.2437959123,1.52596E-05,3.07023E-05,4.93305E-05,0.2128885514,0.2699812512,2.0651029451,1.33914E-05,170.5230470915,47.5
48,3.30717E-05,0.2140451446,0.2447069094,1.75454E-05,3.39486E-05,5.72848E-05,0.2115844017,0.2697727506,2.0639976634,1.55213E-05,155.8728926174,48.5
49,3.56639E-05,0.2127713873,0.2455082944,1.98311E-05,3.65601E-05,6.47384E-05,0.2103504199,0.270442561,2.0597658676,1.75656E-05,142.4040698741,49.5
50,3.77123E-05,0.2115814785,0.2462882922,2.21169E-05,3.86594E-05,7.13652E-05,0.2090815176,0.2721976547,2.0531631349,1.94714E-05,130.3472038271,50.5
51,3.93296E-05,0.2103766636,0.2471351277,2.44027E-05,0.000040359,7.70383E-05,0.2077039578,0.2749418195,2.0453319667,2.12154E-05,119.6928131538,51.5
52,4.06281E-05,0.2090581877,0.2481370258,2.66885E-05,4.17642E-05,0.000081767,0.2061571616,0.278464275,2.03752203,2.27927E-05,110.3548685899,52.5
53,4.17228E-05,0.2075272962,0.2493822115,2.88571E-05,4.29667E-05,8.56604E-05,0.2044141817,0.28220143,2.0306400817,2.41878E-05,102.0772438769,53.5
54,4.27808E-05,0.2056852342,0.2509589096,3.10258E-05,0.000044146,8.89135E-05,0.202369521,0.2863789087,2.0254666106,2.54708E-05,94.7644067883,54.5
55,4.40221E-05,0.2034332471,0.252955345,3.31944E-05,4.55187E-05,9.18161E-05,0.1999636017,0.2907960853,2.0231515553,2.67051E-05,88.1605339663,55.5
56,4.56685E-05,0.2006969291,0.2554359806,0.000035363,4.73066E-05,9.47472E-05,0.1971527073,0.2952580174,2.0249542537,2.79826E-05,82.0687001935,56.5
57,4.79423E-05,0.1974992706,0.2583702304,3.75317E-05,4.97304E-05,9.81408E-05,0.193982085,0.2995246552,2.0324098354,2.94112E-05,76.3259125361,57.5
58,0.000051059,0.1938876112,0.2617037467,3.83468E-05,5.28607E-05,0.0001025027,0.1907463718,0.3006950728,2.0446390924,3.08519E-05,70.2114752458,58.5
