"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Lung cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 18/02/2016, 20:41:24",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
38,1.91157E-05,0.1802604054,0.2847756377,0.000009543,1.97834E-05,2.91843E-05,0.1744036434,0.3340972794,1.8102544254,9.8186E-06,476.1662238026,38.5
39,2.28545E-05,0.17006733,0.2929598716,1.22871E-05,2.38341E-05,3.38147E-05,0.1641572747,0.3653900484,1.7302441204,1.24485E-05,472.0012126383,39.5
40,2.77252E-05,0.1602444374,0.3010937943,1.59786E-05,2.90034E-05,3.93189E-05,0.154631069,0.4027648202,1.6494641719,1.59649E-05,470.2475714441,40.5
41,3.41249E-05,0.150860344,0.3091433869,2.07328E-05,3.55702E-05,0.000045863,0.1459631387,0.4438862905,1.5747764461,2.05376E-05,468.7736897501,41.5
42,4.24504E-05,0.1419836662,0.3170746305,2.66649E-05,4.39023E-05,0.000053738,0.1380703598,0.4853761948,1.5113323349,2.63356E-05,465.6439681911,42.5
43,5.30959E-05,0.1336830204,0.324853506,3.38947E-05,5.43901E-05,6.33946E-05,0.1308142997,0.5235955287,1.4616526254,3.35465E-05,459.4221300163,43.5
44,6.63846E-05,0.1260270229,0.3324459946,4.26463E-05,6.74078E-05,7.54122E-05,0.1240831267,0.555591051,1.4253587732,4.23842E-05,448.1862587833,44.5
45,0.000082569,0.1190842901,0.3398180774,0.000053248,8.32652E-05,9.03837E-05,0.1178714142,0.581152573,1.4004305515,5.31751E-05,432.0804820834,45.5
46,0.0001018987,0.1129020037,0.3469387461,6.60328E-05,0.0001022558,0.0001088358,0.1122003365,0.6007556696,1.3850092767,6.62214E-05,411.5898032583,46.5
47,0.0001246231,0.107441607,0.3537890353,8.13336E-05,0.0001246882,0.0001312728,0.1070846633,0.6149081145,1.3776321973,8.17726E-05,387.1049490736,47.5
48,0.0001510011,0.1026431086,0.3603529905,9.94792E-05,0.0001509299,0.0001582421,0.102513545,0.6242464786,1.3771776074,0.0001000724,359.3714723801,48.5
49,0.0001815046,0.0984465171,0.3666146569,0.0001206993,0.0001813633,0.0001903616,0.0984697274,0.629439532,1.3829566603,0.0001213732,330.1098533013,49.5
50,0.0002168184,0.0947918411,0.37255808,0.0001451254,0.0002164096,0.0002283341,0.0949295699,0.6310194593,1.3948050826,0.0001459204,300.8578466914,50.5
51,0.000257637,0.0916190892,0.3781673051,0.0001728845,0.0002566442,0.0002730631,0.0918438877,0.6289721026,1.412783853,0.0001738979,272.5282395935,51.5
52,0.0003046546,0.0888682701,0.3834263775,0.0002041035,0.0003026812,0.0003257579,0.0891571097,0.6231467185,1.4364662388,0.0002054825,245.7140750993,52.5
53,0.0003585306,0.0864793924,0.3883193427,0.0002389151,0.0003549858,0.0003878538,0.0868122778,0.6136631831,1.4643388912,0.000240857,220.798259771,53.5
54,0.0004191246,0.0843924647,0.3928302459,0.0002775841,0.0004134267,0.0004605749,0.0847468842,0.6017238509,1.4939392156,0.0002803372,198.012692664,54.5
55,0.0004854962,0.0825474956,0.3969431326,0.0003205068,0.0004777237,0.0005445768,0.0828970342,0.5888016959,1.5226138698,0.0003241791,177.4819844859,55.5
56,0.0005566703,0.0808894799,0.4006551598,0.0003680855,0.0005475862,0.0006399633,0.0812051205,0.5762797256,1.5479664263,0.0003726382,159.228551133,56.5
