site,sex,Under 1,1ğ4,5ğ9,10ğ14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
C88          ,1,0,0,0,0,0,0,0,0,0,0,2,3,3,13,22,16,17,11,19
C88          ,2,0,0,0,0,0,0,1,0,1,1,0,0,1,4,9,11,14,12,17
C90          ,1,0,0,0,0,0,1,3,6,28,44,66,101,168,252,351,360,393,332,256
C90          ,2,0,0,0,0,1,0,3,4,10,40,50,68,106,196,230,293,307,270,251
C91          ,1,2,91,46,25,21,12,16,11,19,34,69,106,168,276,312,335,291,241,222
C91          ,2,2,71,37,21,12,7,4,5,9,23,33,62,83,104,148,177,179,167,238
C92          ,1,3,9,3,9,18,16,19,38,42,41,62,79,88,160,227,244,277,242,262
C92          ,2,4,11,11,14,22,19,25,24,28,57,66,60,75,119,137,174,176,196,258
C93          ,1,0,0,0,1,0,0,0,1,0,2,0,1,1,3,4,5,1,6,2
C93          ,2,0,0,0,1,0,2,0,1,0,2,0,3,2,4,2,1,3,1,4
C94          ,1,0,0,0,0,0,0,2,0,1,0,0,0,1,4,6,2,5,2,2
C94          ,2,1,0,0,1,0,0,0,0,0,0,1,0,1,2,2,1,2,2,4
C95          ,1,0,9,4,2,3,1,2,1,0,0,4,8,5,8,14,14,18,18,35
C95          ,2,1,5,2,2,0,3,1,3,2,2,4,3,5,7,6,5,9,21,38
C96          ,1,1,3,1,2,0,0,0,1,4,4,1,0,1,2,3,3,2,2,4
C96          ,2,1,3,1,0,2,1,1,2,0,2,6,0,3,3,2,5,1,1, 
C97          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
C97          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
D00          ,1,0,0,0,0,0,0,0,1,4,8,22,31,38,55,76,56,58,34,45
D00          ,2,0,0,0,0,0,0,2,2,3,4,5,13,16,25,31,27,35,29,35
D01          ,1,0,0,0,1,0,6,2,5,19,20,54,67,111,302,333,271,232,182,123
D01          ,2,0,0,0,1,0,1,6,13,17,26,56,66,97,161,185,155,171,139,103
D02          ,1,0,0,0,0,0,0,1,1,0,5,6,11,18,31,60,48,35,30,13
D02          ,2,0,0,0,0,0,0,0,2,2,1,7,11,6,13,13,13,16,7,4
D03          ,1,0,0,0,2,2,13,19,35,37,87,106,143,168,241,325,318,324,238,203
D03          ,2,0,0,0,1,13,23,47,71,97,157,167,172,191,257,325,257,248,197,173
D04          ,1,0,0,0,0,0,0,2,4,9,15,33,48,61,159,290,311,399,370,369
D04          ,2,0,0,0,0,0,1,4,1,11,17,44,69,94,168,310,407,523,590,740
D05          ,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,7,2,2,0, 
D05          ,2,0,0,0,0,0,2,11,24,81,237,706,1089,733,854,880,426,211,128,118
D06          ,1,,,,,,,,,,,,,,,,,,, 
D06          ,2,0,0,0,0,12,826,11810,5077,2650,1849,1122,447,320,209,71,18,20,11,6
D07          ,1,0,0,0,0,3,13,9,6,5,15,33,75,119,208,306,227,169,51,22
D07          ,2,0,0,0,0,3,9,42,51,68,108,121,95,79,87,62,40,28,23,18
D09          ,1,0,0,0,0,1,2,3,3,12,26,39,89,123,209,346,410,449,377,278
D09          ,2,0,0,0,0,0,0,2,1,4,7,10,26,36,80,90,110,108,111,99
D32          ,1,0,0,0,0,1,2,5,10,7,9,24,22,34,45,59,42,56,49,55
D32          ,2,0,0,1,0,2,6,10,28,46,65,93,103,86,118,147,96,97,113,203
D33          ,1,1,2,4,0,9,13,12,12,18,23,27,26,23,28,17,14,12,2,3
D33          ,2,2,2,5,2,4,11,13,12,14,30,24,27,28,24,17,14,15,9,5
D35.2        ,1,0,0,0,0,3,1,6,8,20,18,25,36,37,25,30,24,32,12,12
