"DisMod II input and output, database England 2006",,,,,,,,,,,
"Males, Disease: Lung cancer (Rates * ), sex: Males",,,,,,,,,,,
"Written 04/06/2016, 14:33:01",,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
57,0.0008157174,0.0559717194,0.00063265,0.0008163654,0.0007938115,0.0559717194,0.7874110312,1.1923259973,0.00063265,116.7535000725,57.5
58,0.0009390958,0.0551080401,0.000728409,0.000939969,0.0009289701,0.0551080401,0.7749809578,1.2023554293,0.000728409,104.950364688,58.5
59,0.0010819291,0.0542620598,0.000841256,0.0010831027,0.0010835512,0.0542620598,0.7676283069,1.2058244559,0.000841256,94.6129022593,59.5
60,0.0012475607,0.0534199482,0.000978225,0.0012491309,0.0012570072,0.0534199482,0.7697744659,1.2073424584,0.000978225,86.1427165295,60.5
61,0.0014190258,0.0525678755,0.00112115,0.0014210831,0.0014476847,0.0525678755,0.7664628926,1.2102346691,0.00112115,77.7937852102,61.5
62,0.0015985841,0.0516920115,0.001275774,0.0016012309,0.0016530191,0.0516920115,0.7643359516,1.2115321689,0.001275774,70.362377528,62.5
63,0.0017823994,0.0507785261,0.001440157,0.0017857353,0.0018680876,0.0507785261,0.7640522496,1.2120469852,0.001440157,63.8535269815,63.5
64,0.0019676095,0.0498135894,0.001611143,0.0019717257,0.0020875794,0.0498135894,0.7654647875,1.2142181493,0.001611143,58.1339398514,64.5
65,0.002115865,0.0487833711,0.001760169,0.0021207468,0.0023019447,0.0487833711,0.75919949,1.2158380491,0.001760169,52.4543609107,65.5
66,0.0022951513,0.0476775634,0.001928872,0.0023009275,0.0025104095,0.0476775634,0.7632291226,1.2164628912,0.001928872,47.9994757713,66.5
67,0.0024703216,0.046499947,0.002091042,0.0024770608,0.0027206425,0.046499947,0.7637255046,1.2230792876,0.002091042,43.7524650875,67.5
68,0.0026398098,0.0452578247,0.002242671,0.0026475852,0.0029367816,0.0452578247,0.7589937875,1.2354393365,0.002242671,39.6322413355,68.5
69,0.00280777,0.0439584994,0.002387918,0.0028166819,0.0031639603,0.0439584994,0.7502300033,1.251974402,0.002387918,35.7038880733,69.5
70,0.0029546799,0.0426092737,0.002500974,0.0029647901,0.003410116,0.0426092737,0.729064922,1.2631156344,0.002500974,31.608132919,70.5
71,0.0031475399,0.0412174507,0.002668264,0.0031591546,0.0036765214,0.0412174507,0.7215658765,1.2601216274,0.002668264,28.4333703307,71.5
72,0.0033687135,0.039790333,0.002866416,0.0033820993,0.0039578497,0.039790333,0.7201474347,1.2462363925,0.002866416,25.7191458652,72.5
73,0.0036276011,0.0383352235,0.003107278,0.0036430868,0.0042506884,0.0383352235,0.7269771409,1.2223306182,0.003107278,23.449478252,73.5
74,0.0039192599,0.0368594251,0.003387816,0.003937173,0.0045497456,0.0368594251,0.7406295239,1.1908080006,0.003387816,21.5231069026,74.5
75,0.0042574267,0.0353702406,0.003735978,0.0042781423,0.004842196,0.0353702406,0.7676513632,1.1593435691,0.003735978,20.0643476462,75.5
76,0.0045584796,0.0338755421,0.004045237,0.0045819387,0.0051198989,0.0338755421,0.7863277995,1.1340916045,0.004045237,18.5030102736,76.5
77,0.0048394919,0.0323854793,0.004338908,0.004865684,0.0053830279,0.0323854793,0.8024197763,1.1116391837,0.004338908,17.0314721588,77.5
78,0.0050586847,0.0309107712,0.004598838,0.0050872598,0.0056169999,0.0309107712,0.8155486117,1.0904073073,0.004598838,15.6558951536,78.5
79,0.0051965505,0.0294621368,0.004821871,0.0052268031,0.0057879741,0.0294621368,0.8307043626,1.070395801,0.004821871,14.4340271725,79.5
80,0.0052751428,0.0280502951,0.004913029,0.005306517,0.0059123839,0.0280502951,0.8287237893,1.0430653914,0.004913029,13.0390503213,80.5
81,0.0053282102,0.0266859651,0.005094485,0.0053602149,0.0059707704,0.0266859651,0.8521466848,0.9990223666,0.005094485,12.0755135413,81.5
82,0.005392772,0.0253798658,0.005275861,0.0054248582,0.0059146577,0.0253798658,0.8920228382,0.9474556747,0.005275861,11.3075609886,82.5
83,0.0054390124,0.0241427161,0.005468609,0.0054704057,0.0057387554,0.0241427161,0.9547732549,0.9024643644,0.005468609,10.7482163686,83.5
84,0.0054322693,0.0229852352,0.005666437,0.0055181029,0.0055113795,0.0229797541,1,0.8799353124,0.0055020071,10.0524211982,84.5
85,0.0054004533,0.0219181419,0.005856709,0.0055751155,0.0053871703,0.0219071954,1,0.8735056842,0.0053925285,9.1510215383,85.5
86,0.0053692169,0.0209521553,0.005997779,0.0055823925,0.0053667633,0.020937254,0.9999999999,0.8702530526,0.0053747025,8.5436124024,86.5
87,0.0053616458,0.0200979945,0.00604178,0.0055845454,0.0053657123,0.0200834752,1,0.8715126425,0.0053742525,8.2623857938,87.5
88,0.0053591151,0.0193663783,0.005876313,0.0055454972,0.0053565527,0.0193553667,1,0.8779526864,0.0053630932,8.360790855,88.5
89,0.0053676985,0.0187680258,0.00553931,0.0054710106,0.0053201704,0.0187632103,1,0.8886408835,0.0053240613,8.9492735138,89.5
90,0.0053676985,0.018313656,0.005171597,0.0053963455,0.0053086037,0.018313656,0.9722963382,0.9211598139,0.005171597,6.8047049496,90.5
91,0.0053676985,0.0180133941,0.004852062,0.005397356,0.0054948344,0.0180133941,0.877752998,0.9787914728,0.004852062,5.8184761532,91.5
