year,site,agegroup,sex,cases
2011,C34,80-84,Men,2790
2011,C34,85+,Men,2214
2011,C34,<1   ,Women,0
2011,C34,01-04,Women,3
2011,C34,05-09,Women,0
2011,C34,10-14,Women,0
2011,C34,15-19,Women,3
2011,C34,20-24,Women,6
2011,C34,25-29,Women,12
2011,C34,30-34,Women,14
2011,C34,35-39,Women,31
2011,C34,40-44,Women,92
2011,C34,45-49,Women,269
2011,C34,50-54,Women,568
2011,C34,55-59,Women,1013
2011,C34,60-64,Women,1834
2011,C34,65-69,Women,2392
2011,C34,70-74,Women,2470
2011,C34,75-79,Women,2408
2011,C34,80-84,Women,2341
2011,C34,85+,Women,2219
2012,C34,<1   ,Men,1
2012,C34,01-04,Men,2
2012,C34,05-09,Men,0
2012,C34,10-14,Men,0
2012,C34,15-19,Men,2
2012,C34,20-24,Men,3
2012,C34,25-29,Men,9
2012,C34,30-34,Men,9
2012,C34,35-39,Men,31
2012,C34,40-44,Men,123
2012,C34,45-49,Men,288
2012,C34,50-54,Men,581
2012,C34,55-59,Men,1205
2012,C34,60-64,Men,2177
2012,C34,65-69,Men,3165
2012,C34,70-74,Men,3507
2012,C34,75-79,Men,3404
2012,C34,80-84,Men,2668
2012,C34,85+,Men,2352
2012,C34,<1   ,Women,1
2012,C34,01-04,Women,0
2012,C34,05-09,Women,0
2012,C34,10-14,Women,0
2012,C34,15-19,Women,1
2012,C34,20-24,Women,8
2012,C34,25-29,Women,9
2012,C34,30-34,Women,31
2012,C34,35-39,Women,33
2012,C34,40-44,Women,117
2012,C34,45-49,Women,299
2012,C34,50-54,Women,573
2012,C34,55-59,Women,1083
2012,C34,60-64,Women,1751
2012,C34,65-69,Women,2556
2012,C34,70-74,Women,2653
2012,C34,75-79,Women,2583
2012,C34,80-84,Women,2348
2012,C34,85+,Women,2293
2013,C34,<1   ,Men,0
2013,C34,01-04,Men,0
2013,C34,05-09,Men,0
2013,C34,10-14,Men,0
2013,C34,15-19,Men,0
2013,C34,20-24,Men,5
2013,C34,25-29,Men,9
2013,C34,30-34,Men,17
2013,C34,35-39,Men,42
2013,C34,40-44,Men,116
2013,C34,45-49,Men,285
2013,C34,50-54,Men,606
2013,C34,55-59,Men,1171
2013,C34,60-64,Men,2106
2013,C34,65-69,Men,3215
2013,C34,70-74,Men,3456
2013,C34,75-79,Men,3588
2013,C34,80-84,Men,2855
2013,C34,85+,Men,2345
2013,C34,<1   ,Women,0
2013,C34,01-04,Women,0
2013,C34,05-09,Women,0
2013,C34,10-14,Women,1
