"agegroup","mean.rr","ci.rr"
"<1   ",1,1
"01-04",1,1
"05-09",1,1
"10-14",1,1
"15-19",1,1
"20-24",0.94,1
"25-29",0.94,1
"30-34",0.94,1
"35-39",0.94,1
"40-44",0.94,1
"45-49",0.94,1
"50-54",0.94,1
"55-59",0.94,1
"60-64",0.94,1
"65-69",0.94,1
"70-74",0.95,1
"75-79",0.95,1
"80-84",0.97,1
"85+",0.97,1
