site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
C00          ,1,,,,,1,1,1,2,1,6,9,6,10,17,18,32,26,17,13
C00          ,2,,,,,,,2,1,,5,3,1,6,14,8,7,16,18,21
C01          ,1,,,,,,,,2,5,12,25,63,65,62,50,38,16,11,3
C01          ,2,,,,,,,,1,2,6,11,7,14,23,14,9,7,5,4
C02          ,1,,,,,,2,10,8,13,26,54,74,103,105,86,66,52,24,23
C02          ,2,,,,,,1,3,11,10,19,24,39,51,50,58,42,40,34,50
C03          ,1,,,,,,,,,2,2,8,13,12,21,20,19,27,13,10
C03          ,2,,,,,1,1,1,,4,3,5,7,9,15,20,11,31,20,30
C04          ,1,,,,,,,,,7,12,16,34,54,53,43,28,18,7,7
C04          ,2,,,,,,,1,,1,1,3,13,14,24,22,9,9,4,10
C05          ,1,,,1,1,2,1,1,2,1,7,10,10,33,31,32,24,14,5,7
C05          ,2,,,,,,,2,4,5,9,10,15,13,17,19,13,8,13,10
C06          ,1,,,,,,,,1,4,11,24,24,31,37,39,31,37,16,17
C06          ,2,,,,,1,1,,3,1,7,5,9,15,21,15,28,25,17,39
C07          ,1,,,,1,2,1,3,3,3,10,11,12,21,33,26,34,35,30,40
C07          ,2,,,,,3,2,5,6,12,11,16,16,15,24,15,17,11,14,23
C08          ,1,,,1,,,1,,2,1,6,7,6,7,8,8,10,7,11,4
C08          ,2,,,,,,3,2,4,1,3,5,7,10,5,5,3,1,3,10
C09          ,1,,,,,1,,1,3,13,40,80,127,130,88,61,36,30,14,2
C09          ,2,,,,,,,,,4,9,25,44,48,35,20,18,12,2,3
C10          ,1,,,,,1,,2,,1,7,9,15,26,35,17,18,9,6,7
C10          ,2,,,,,,,,,,2,4,8,7,12,10,6,9,5,2
C11          ,1,,1,1,3,2,2,1,2,14,10,14,19,10,21,13,16,9,2,5
C11          ,2,,,,,4,1,1,6,3,3,6,5,8,12,4,8,1,4,2
C12          ,1,,,,,,,1,,,4,5,20,21,36,26,24,15,13,3
C12          ,2,,,,,,,,,1,3,4,4,6,7,7,4,3,4,5
C13          ,1,,,,,,,,,,2,2,13,17,26,14,15,10,10,4
C13          ,2,,,,,,,,,,5,3,7,6,6,9,10,3,6,11
C14          ,1,,,,1,,,1,1,1,1,3,14,32,21,25,15,16,12,5
C14          ,2,,,,,,1,,,,4,2,6,8,9,7,8,8,4,2
C15          ,1,,,,,,,5,4,26,62,122,251,423,634,649,669,657,532,436
C15          ,2,,,,,,,1,1,6,14,39,74,134,202,249,312,316,373,496
C16          ,1,,,,,3,3,3,11,21,65,94,156,246,356,517,641,723,644,493
C16          ,2,,,,,1,3,7,13,17,31,44,71,101,144,168,284,352,392,491
C17          ,1,,,,,1,1,4,5,9,7,27,30,54,72,57,91,70,55,31
C17          ,2,,,,,,,2,4,9,5,17,21,26,57,52,64,57,62,47
C18          ,1,,,,4,6,12,28,47,64,113,225,323,619,1389,1676,1783,1926,1659,1267
C18          ,2,,,,1,7,14,25,38,57,128,239,306,454,1032,1216,1341,1703,1632,1891
C19          ,1,,,,,1,,5,6,6,14,26,52,99,211,225,228,233,179,112
C19          ,2,,,,,,,1,6,6,19,21,41,72,118,147,152,143,147,152
C20          ,1,,,,,1,2,11,33,33,66,178,283,470,822,915,934,839,651,451
C20          ,2,,,,,3,3,10,16,30,71,111,195,259,381,420,455,498,438,525
C21          ,1,,,,,,,1,4,5,20,18,35,30,54,34,33,33,26,18
C21          ,2,,,,,,,2,3,11,20,36,48,66,91,68,56,46,41,54
C22          ,1,,6,,,1,2,6,5,15,43,70,109,171,221,267,343,324,253,187
C22          ,2,6,3,,2,1,2,4,6,6,19,30,50,62,101,121,178,215,200,253
C23          ,1,,,,,,,,1,1,3,3,6,13,18,14,24,31,28,31
C23          ,2,,,,,,,,1,3,4,6,15,23,33,48,44,71,68,80
C24          ,1,,,,,,,,1,3,9,9,22,18,49,63,63,45,43,42
C24          ,2,,,,,,,,2,1,5,3,16,23,35,45,61,59,58,71
C25          ,1,,,,,1,,2,5,17,44,102,141,296,410,510,526,581,416,385
C25          ,2,,,,1,2,3,3,4,16,32,58,112,194,311,407,525,585,571,703
C26          ,1,,,,,1,,2,,1,4,7,6,10,22,27,34,40,50,72
C26          ,2,,,,,,1,2,,1,6,8,5,10,15,20,18,51,61,146
C30          ,1,,,,,1,1,3,4,6,11,7,13,16,19,22,23,13,15,7
C30          ,2,,,,,,,1,1,2,3,6,5,7,18,8,14,12,11,16
C31          ,1,,1,,,1,,,3,4,,4,3,8,9,7,7,7,5,7
C31          ,2,,,,,,,1,1,3,1,,5,2,8,2,6,3,5,10
C32          ,1,,,,,,1,,,8,28,54,105,187,271,230,249,174,121,68
C32          ,2,,,,,,,,2,8,7,12,23,29,39,47,50,30,33,21
C33          ,1,,,,,,,,1,,1,,1,1,4,4,5,5,3,
C33          ,2,,,,,,1,,,,,1,,1,1,,,4,1,2
C34          ,1,,,,,3,7,13,24,43,129,265,593,1197,2229,2820,3276,3228,2690,1975
C34          ,2,,,,,4,4,6,13,44,136,323,562,1035,1717,1991,2341,2398,2109,1939
C37          ,1,,,,,,,1,1,1,3,5,5,2,3,5,7,7,1,1
C37          ,2,,,,,,,,,3,5,6,3,3,8,10,5,,7,1
C38          ,1,,1,,1,1,2,5,3,1,4,1,3,7,12,15,10,15,12,13
C38          ,2,,,1,1,,1,,,,,3,2,7,5,7,12,10,5,10
C39          ,1,,,,,,,,,,,,,1,3,2,1,2,2,3
C39          ,2,,,,,,,,,,,,1,1,,,,5,1,2
C40          ,1,,1,3,18,18,14,5,6,5,7,3,9,11,10,7,6,7,3,1
C40          ,2,,5,5,14,12,4,8,3,2,2,6,6,7,6,5,2,5,1,10
C41          ,1,,1,1,5,10,9,8,4,7,14,13,10,10,19,18,20,10,9,10
C41          ,2,2,,1,5,4,4,2,8,6,7,10,7,5,10,7,8,6,9,10
C43          ,1,,,,4,16,47,81,126,188,290,311,323,397,637,580,562,499,340,306
C43          ,2,,,,3,24,80,162,229,305,445,424,385,413,592,460,429,397,344,372
C44          ,1,,2,1,6,14,30,96,205,387,785,1181,1623,2414,4196,5182,6497,6822,6019,5416
C44          ,2,1,,,3,14,33,133,249,512,986,1344,1615,2057,3117,3585,4054,4599,4631,6110
C45          ,1,,,,,,,,,3,1,16,33,100,169,314,358,366,285,178
C45          ,2,,,,,,,,,,5,12,10,20,44,57,69,68,43,42
C46          ,1,,,,,,,5,12,8,17,14,8,5,4,6,4,3,2,2
C46          ,2,,,,1,,1,2,3,2,4,2,,1,1,,2,1,1,1
C47          ,1,3,5,,2,,3,3,3,2,3,3,2,,4,4,2,,4,
C47          ,2,2,2,1,,,,3,1,3,5,3,3,1,5,,2,1,,
C48          ,1,2,2,1,,1,3,,1,,7,4,2,9,22,18,18,16,11,8
C48          ,2,2,3,,1,,1,,5,5,8,18,27,42,62,62,75,67,38,30
C49          ,1,2,6,6,5,15,14,18,19,34,36,35,51,67,85,85,80,71,62,62
C49          ,2,3,10,4,10,12,11,9,22,28,31,32,48,46,54,68,61,57,49,62
C50          ,1,,,,1,,,,1,3,9,18,26,19,45,46,47,39,37,34
C50          ,2,,,,,7,34,174,439,1127,2422,3816,4468,4150,5689,4773,3249,3462,2995,3455
C51          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C51          ,2,,,,,,3,5,12,22,36,54,59,55,76,75,96,122,141,187
C52          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C52          ,2,,1,1,,,,1,1,3,15,9,15,15,27,26,27,19,19,42
C53          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C53          ,2,,,,,1,63,383,389,394,302,231,163,159,123,105,115,108,96,115
C54          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C54          ,2,,,,,2,3,9,22,47,111,217,447,845,1068,933,964,704,442,384
C55          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C55          ,2,,,,,,,3,2,5,9,21,13,31,30,37,28,36,25,40
C56          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C56          ,2,1,2,4,6,24,57,78,76,144,232,305,411,523,717,661,698,586,449,540
C57          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C57          ,2,,,,,,,2,2,2,7,8,17,30,26,37,36,20,30,17
C58          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C58          ,2,,,,,,2,3,1,2,1,,1,,,,,,,
C60          ,1,,,,,,,1,2,6,14,15,28,46,58,46,65,48,43,38
C60          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C61          ,1,,,,,1,,2,3,8,67,315,974,2506,5004,6422,6831,5948,3676,2836
C61          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C62          ,1,,4,1,,58,161,309,319,278,236,172,107,61,46,25,19,15,6,13
C62          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63          ,1,,,1,,,3,,,2,3,1,5,4,13,5,11,7,6,5
C63          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C64          ,1,3,26,4,2,6,5,6,16,64,119,183,295,408,555,555,607,512,357,270
C64          ,2,5,23,6,3,3,5,7,18,26,76,102,169,221,314,287,303,357,276,295
C65          ,1,,,,,,,,2,4,3,7,10,23,39,37,67,63,41,28
C65          ,2,,,,,,,1,,2,1,5,7,6,19,22,39,42,32,26
C66          ,1,,,,,,,,,,3,2,4,12,29,41,44,65,53,26
C66          ,2,,,,,,,,,,,2,3,7,12,15,22,37,29,22
C67          ,1,1,2,1,,,1,2,8,16,40,99,160,335,595,866,1069,1209,1126,1011
C67          ,2,,2,,,,1,6,4,14,20,24,48,110,180,224,338,382,447,605
C68          ,1,,,,,1,,,,,1,7,6,5,8,12,19,25,24,17
C68          ,2,,,,,,,,,,1,1,2,2,4,5,9,3,5,7
C69          ,1,10,12,2,,1,,,1,2,6,12,11,23,31,18,15,16,16,7
C69          ,2,10,11,1,2,,1,2,4,6,4,10,8,18,15,16,16,14,12,11
C70          ,1,,,,2,1,,,1,5,2,3,1,4,5,3,3,5,2,1
C70          ,2,,2,,,,,2,1,2,4,4,5,6,9,4,4,10,4,9
C71          ,1,4,29,46,44,29,28,62,58,75,98,138,197,220,318,268,228,228,139,81
C71          ,2,7,35,26,32,23,26,34,32,46,64,85,84,159,193,194,177,177,146,129
C72          ,1,1,11,7,2,4,1,,2,3,5,8,10,4,3,4,3,3,3,
C72          ,2,3,7,4,7,2,4,4,3,2,1,2,1,4,6,3,2,5,3,1
C73          ,1,,,,1,10,14,20,35,43,55,42,39,62,46,45,44,32,29,21
C73          ,2,,,2,6,23,55,79,142,143,144,141,129,127,121,79,81,72,46,59
C74          ,1,8,7,3,1,,2,1,2,,4,3,6,4,5,3,7,8,6,5
C74          ,2,8,14,2,2,1,4,2,2,3,5,4,4,4,7,5,12,9,2,4
