site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
C75          ,1,,,1,2,10,4,2,4,2,,2,6,2,8,7,6,2,3,1
C75          ,2,,1,2,1,3,,,3,2,1,3,6,4,8,3,8,2,5,4
C76          ,1,2,6,2,,,1,2,1,6,5,6,6,6,16,24,18,29,18,23
C76          ,2,4,3,2,1,,2,3,1,3,5,3,8,9,16,18,24,31,29,69
C77          ,1,,,,,,4,2,4,5,16,26,48,55,69,51,56,43,28,31
C77          ,2,,,1,,,2,4,1,4,13,19,28,39,36,52,54,45,31,28
C78          ,1,,,,,,1,1,2,7,13,27,31,60,118,126,157,186,182,209
C78          ,2,,,,,,,2,2,8,11,21,47,66,107,134,178,223,222,350
C79          ,1,,,,,,2,1,1,2,10,8,19,22,46,52,67,90,60,75
C79          ,2,,,,,,,2,4,6,6,14,22,21,35,43,56,68,65,101
C80          ,1,,,1,1,2,,8,11,9,29,33,75,118,185,229,267,334,352,356
C80          ,2,,1,1,,3,3,8,6,15,40,53,51,118,172,198,269,362,473,725
C81          ,1,,5,10,37,70,72,78,59,66,55,68,50,44,62,57,36,49,32,19
C81          ,2,,1,4,12,60,75,74,41,59,41,33,38,40,51,34,41,33,18,19
C82          ,1,,,,,1,3,6,11,25,43,62,68,91,120,101,127,100,70,35
C82          ,2,,,,,4,3,9,7,22,44,54,69,114,143,133,136,112,71,51
C83          ,1,,9,14,13,11,26,30,39,62,91,126,167,214,346,353,405,419,329,185
C83          ,2,,4,4,3,7,14,18,24,25,51,78,99,161,252,269,322,350,264,235
C84          ,1,,,,1,4,4,10,7,16,16,26,26,27,55,53,50,40,34,29
C84          ,2,,,,1,2,4,4,7,8,15,11,26,20,32,26,37,34,27,19
C85          ,1,,3,4,7,6,13,7,12,30,38,63,75,87,165,170,180,199,179,169
C85          ,2,,1,2,6,3,9,8,12,21,25,32,39,68,106,141,161,178,179,187
C88          ,1,,,,,,,,,1,1,1,3,9,15,14,21,22,19,19
C88          ,2,,,,,,,,1,,1,2,2,5,6,8,10,17,16,16
C90          ,1,,,1,,1,1,2,3,13,51,74,128,158,304,264,374,353,294,246
C90          ,2,,,,,,1,2,5,11,19,46,72,107,194,190,258,315,263,276
C91          ,1,4,88,44,28,30,23,11,11,19,35,71,102,164,239,264,296,289,239,226
C91          ,2,7,80,34,29,16,7,8,6,9,14,35,50,83,122,146,174,179,184,238
C92          ,1,4,9,14,14,12,25,25,30,49,60,60,80,113,158,188,227,258,247,176
C92          ,2,3,14,10,15,18,27,20,30,35,57,39,64,84,102,113,151,201,186,225
C93          ,1,,1,,,,,,,1,,3,2,1,,4,2,5,5,2
C93          ,2,,,,,1,2,,3,,,1,,1,1,,2,2,,
C94          ,1,,,1,,,,,,,,1,,3,4,2,3,4,1,1
C94          ,2,,,,,,,,,1,,1,,2,,2,3,2,1,
C95          ,1,1,2,1,2,6,2,1,1,2,3,,3,6,7,8,18,6,15,22
C95          ,2,2,4,1,,1,1,1,1,,1,2,2,3,4,3,8,9,16,34
C96          ,1,,1,2,1,1,1,1,2,2,1,2,1,6,4,2,6,5,5,5
C96          ,2,2,3,,1,,,,2,4,4,2,3,2,1,7,5,9,6,8
C97          ,1,,,,,1,,1,1,,,,,2,5,9,3,2,6,3
C97          ,2,,,,,1,2,,6,,5,6,4,5,6,4,3,6,7,5
D00          ,1,,,,,,2,,2,,5,6,21,27,44,47,40,38,51,31
D00          ,2,,,,,,,,,2,3,,8,14,22,24,20,21,21,28
D01          ,1,,,,,1,1,4,6,13,23,29,60,87,233,242,196,152,118,85
D01,2,,,,,,3,4,8,17,18,42,55,61,126,161,129,116,107,83
D02          ,1,,,,1,1,1,1,,4,2,10,12,22,36,35,42,33,21,11
D02          ,2,,,,1,1,,1,,2,5,6,2,7,11,13,15,15,13,5
D03          ,1,,,,1,1,15,16,38,34,49,74,92,125,203,203,217,208,149,142
D03          ,2,,1,,,4,27,46,60,92,135,107,138,151,198,183,189,143,138,122
D04          ,1,,,1,2,,4,8,10,22,52,84,133,205,372,577,709,846,856,718
D04          ,2,,,,,,1,12,15,20,49,78,138,231,443,662,939,1203,1344,1539
D05          ,1,,,,,,,,1,,,2,3,1,6,6,1,3,1,2
D05          ,2,,,,1,1,1,16,20,85,249,406,955,641,888,711,318,200,123,94
D06          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D06          ,2,,,,,60,1833,10960,6179,3974,2262,1161,514,220,170,52,26,18,7,2
D07          ,1,,,,,1,6,8,10,15,12,19,39,105,199,228,183,125,37,20
D07          ,2,,,,,4,12,30,56,79,122,112,81,63,78,47,35,30,22,25
D09          ,1,,,,,,1,5,5,13,29,48,89,132,237,278,393,418,331,231
D09          ,2,,,,,,3,2,5,2,11,9,20,40,64,85,102,113,89,98
D32          ,1,,,,,3,7,6,7,14,18,25,29,35,46,44,34,37,38,41
D32          ,2,,,,,2,2,11,22,26,65,72,83,78,121,100,83,69,86,120
D33          ,1,1,3,,5,2,6,4,20,16,21,23,23,21,35,21,12,9,5,3
D33          ,2,,7,3,3,3,6,12,15,15,18,26,24,25,22,24,13,8,6,8
D35.2        ,1,,,,1,5,5,5,10,18,12,25,25,32,37,39,34,31,13,11
D35.2        ,2,,,,2,7,11,17,17,18,24,26,18,25,26,26,13,7,13,6
D35.3        ,1,,,,,,,,,,,,,,,,,,,
D35.3        ,2,,,,,,,,,,,,,,,,,,,
D35.4        ,1,,1,,1,,,1,,,,,,,,,,,,
D35.4        ,2,,,,,,,,,,,,,,,,,,,
D37          ,1,4,,,5,12,9,20,6,23,28,34,41,60,89,122,89,91,76,49
D37          ,2,,1,,9,19,17,15,24,22,27,43,44,53,80,67,73,115,70,84
D38          ,1,,,,1,1,,1,1,1,2,2,4,8,7,17,18,12,14,8
D38          ,2,,1,,,,1,2,1,4,4,6,6,5,10,5,6,6,14,11
D39          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D39          ,2,,,1,4,9,17,28,35,30,57,47,48,39,49,39,25,28,13,18
D40          ,1,1,1,,,2,1,11,3,7,16,8,4,3,6,6,8,6,5,5
D40          ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D41          ,1,1,,,2,3,1,6,19,36,55,93,152,276,454,578,702,729,580,365
D41          ,2,2,,1,,2,1,4,7,10,20,37,77,101,166,204,246,232,199,174
D42          ,1,,,,2,1,1,2,1,3,2,4,5,4,8,11,5,4,2,2
D42          ,2,,,1,,1,,2,3,4,1,8,6,4,14,11,6,7,5,3
D43          ,1,1,5,7,6,11,7,10,11,10,9,13,10,8,21,13,25,31,24,27
D43          ,2,1,4,10,9,4,5,6,10,5,9,7,11,8,12,9,15,25,32,43
D44          ,1,,,,6,3,5,6,3,7,9,8,11,6,5,8,12,5,2,2
D44          ,2,,1,2,3,6,5,9,10,4,13,12,10,17,22,19,11,5,6,9
D45          ,1,,,,1,2,3,3,7,19,45,58,53,84,76,87,71,62,43,25
D45          ,2,,,,,1,1,2,3,9,13,15,26,31,32,52,47,53,46,46
D46          ,1,,3,,,2,5,2,3,10,5,13,17,29,73,102,180,247,263,313
D46          ,2,,1,,1,4,3,2,3,4,16,7,17,28,43,71,106,151,154,326
D47          ,1,1,3,2,,5,3,5,10,19,34,36,50,73,135,112,171,168,137,140
D47          ,2,1,2,1,,5,6,16,12,25,29,32,40,54,75,89,119,163,147,190
D48          ,1,2,5,5,7,6,7,16,14,22,29,27,23,37,46,34,41,59,55,57
D48          ,2,2,4,8,10,12,34,30,22,41,50,69,57,50,35,56,40,26,30,46
