"agegroup","sex","cholval1.usual","Pe","se"
"30-34","1","4.6",0.0548038112910561,0.0170555726291039
"30-34","1","4.7",0.0770759704157001,0.0213474039951993
"30-34","1","4.8",0.0354711435475738,0.0135745570755625
"30-34","1","4.9",0.0567209339122484,0.0228820890957784
"30-34","1","5",0.0227493140943587,0.0104905116572831
"30-34","1","5.1",0.0500025551125575,0.0160026107947913
"30-34","1","5.2",0.0155074520642397,0.00789091049749096
"30-34","1","5.3",0.0450163893308047,0.0141174518773673
"30-34","1","5.4",0.0315109710906434,0.0137651670296041
"30-34","1","5.5",0.0309883351509529,0.0164932307873536
"30-34","1","5.6",0.00431085061492579,0.00430592608387322
"30-34","1","5.7",0.00363292443257058,0.00363123916949727
"30-34","1","5.8",0.0266007843849087,0.0109613126299461
"30-34","1","5.9",0.0366594305450709,0.0128490200031991
"30-34","1","6",0.0126861029788083,0.00737118305772068
"30-34","1","6.1",0.022474749352266,0.0130003061353762
"30-34","1","6.2",0.0228636050902535,0.0103366147399946
"30-34","1","6.3",0.00572271951919997,0.00572843542275051
"30-34","1","6.4",0.0102013033903972,0.00758303873070187
"30-34","1","6.5",0.00466966411536753,0.00468055616805929
"30-34","1","6.6",0.00452754305632939,0.00450217730208334
"30-34","1","6.7",0.0147669240021289,0.00901890282664253
"30-34","1","6.8",0.0159715899839435,0.00945900987914981
"30-34","1","6.9",0.00619456436696817,0.00613730985670428
"30-34","1","7",0.00335951263064678,0.00335887303048656
"30-34","1","7.1",0.0114391134553963,0.0113441179159781
"30-34","1","7.2",0.0161128164862897,0.0119742845638576
"30-34","1","7.5",0.00400825330277865,0.00399066652537241
"30-34","1","7.8",0.00651611949579947,0.00652180992856378
"30-34","1","7.9",0.00289220438675635,0.0028930052474739
"30-34","2","3.1",0.00970930254869721,0.00710969522284103
"30-34","2","3.3",0.00733722663099196,0.00730665708983468
"30-34","2","3.4",0.00790442834269766,0.00564518160706542
"30-34","2","3.5",0.0103175108940644,0.00754143280326563
"30-34","2","3.6",0.011412810929061,0.00665349042108306
"30-34","2","3.7",0.040910256131897,0.0125204459703145
"30-34","2","3.8",0.0242729100780589,0.0113604934615113
"30-34","2","3.9",0.0304710372437021,0.0147061693445596
"30-34","2","4",0.0323399825978127,0.0122738790370091
"30-34","2","4.1",0.0351104779556984,0.0140280816895396
"30-34","2","4.2",0.0541440730226731,0.0149876415999733
"30-34","2","4.3",0.040924247371837,0.014648545135549
"30-34","2","4.4",0.0456618505043425,0.0149667845526168
"30-34","2","4.5",0.0398936350523718,0.0134979307850503
"30-34","2","4.6",0.0258338003687285,0.0105480191548504
"30-34","2","4.7",0.0548868398177353,0.0195569770639031
"30-34","2","4.8",0.0288677160255609,0.010910446149803
"30-34","2","4.9",0.0645064169163544,0.0177874913294369
"30-34","2","5",0.0408272979456794,0.0128630440322384
"30-34","2","5.1",0.0239840943425164,0.00970777599416787
"30-34","2","5.2",0.0534838715315027,0.0153748414513524
"30-34","2","5.3",0.047896261693571,0.0158839028420099
"30-34","2","5.4",0.0124953886979705,0.00726523423943808
"30-34","2","5.5",0.0124995859084314,0.00739437046850269
"30-34","2","5.6",0.0285827321257336,0.0116086316123476
"30-34","2","5.7",0.0329240603343856,0.0116586610169566
"30-34","2","5.8",0.0151546928684359,0.00895887734315476
"30-34","2","5.9",0.0156469551367908,0.0078846455606223
"30-34","2","6",0.00536460018263042,0.00535286539554216
"30-34","2","6.1",0.0109447228821349,0.00818382198738521
"30-34","2","6.2",0.0115640279518755,0.00678910504421259
"30-34","2","6.3",0.00907894621550765,0.00643867490230852
"30-34","2","6.4",0.0130774166157356,0.00767153685585687
"30-34","2","6.5",0.0121223461378817,0.00692757754620498
"30-34","2","6.6",0.00871995737669039,0.00625989506285238
"30-34","2","6.7",0.0100676839744334,0.00716163968638226
"30-34","2","6.8",0.00468707934566881,0.00468000807405601
"30-34","2","6.9",0.0027246657588011,0.00274680062088711
"30-34","2","7",0.0121826645502534,0.00703615747583479
"30-34","2","7.3",0.00949970158749487,0.00943947103843304
"30-34","2","7.4",0.00367534037791499,0.00367351770574486
"30-34","2","8",0.00305116606694264,0.00303821239054666
"30-34","2","8.9",0.00486485421565737,0.00485664850703068
"35-39","1","3.2",0.00665638943645666,0.00471707325556723
"35-39","1","3.4",0.00532260173378665,0.00530709026583542
"35-39","1","3.5",0.0113291828550969,0.0084123133363173
"35-39","1","3.6",0.0113134751908559,0.00813487390380256
"35-39","1","3.7",0.0156959549305317,0.00816102797381211
"35-39","1","3.8",0.00469982643335266,0.00472578993909195
"35-39","1","3.9",0.00354443378823519,0.00354041974849876
"35-39","1","4",0.0300626009206406,0.0121931905228769
"35-39","1","4.1",0.00846019304037178,0.00606015731538751
"35-39","1","4.2",0.00890441261456941,0.00627096278835024
"35-39","1","4.3",0.0313035789064563,0.0115299730061565
"35-39","1","4.4",0.0256031495822673,0.00964386160097709
"35-39","1","4.5",0.00889651569940359,0.0051306327719913
"35-39","1","4.6",0.0453632222581733,0.0143461523770188
"35-39","1","4.7",0.0563244957211473,0.0162780591149328
"35-39","1","4.8",0.0364721423528804,0.0149431844469074
"35-39","1","4.9",0.0339898909773685,0.0115876416620429
"35-39","1","5",0.0400846326528022,0.0151414007321557
"35-39","1","5.1",0.0333788287342599,0.0110099401565057
"35-39","1","5.2",0.0476704714393593,0.0144874963444771
"35-39","1","5.3",0.0478236581788282,0.0133808328923511
"35-39","1","5.4",0.0499746464657218,0.0142462527644974
"35-39","1","5.5",0.0344630790640976,0.0118910420715593
"35-39","1","5.6",0.0336950632157193,0.0123120695151383
"35-39","1","5.7",0.0351017516760879,0.0120403675255266
"35-39","1","5.8",0.0244065175397896,0.00923310051500459
"35-39","1","5.9",0.0188207039874555,0.00866970773743555
"35-39","1","6",0.0263079062826333,0.0109087210945474
"35-39","1","6.1",0.0271151678039012,0.0106781617082991
"35-39","1","6.2",0.0303709005758101,0.0120012867393972
"35-39","1","6.3",0.0174505963573542,0.00915650154097669
"35-39","1","6.4",0.0177025927982431,0.00789081789080648
"35-39","1","6.5",0.0141243802851989,0.00706860892145953
"35-39","1","6.6",0.00638063351616477,0.00468277773842979
"35-39","1","6.7",0.0195803466569039,0.0140108594152552
"35-39","1","6.8",0.0161290587329618,0.00806258442931512
"35-39","1","6.9",0.0101047722302532,0.00716790215676505
"35-39","1","7",0.00643143200673269,0.00640553291145883
"35-39","1","7.1",0.0105230139048708,0.00605447226099359
"35-39","1","7.2",0.00755919152191642,0.00546346139666575
"35-39","1","7.3",0.00373232328690572,0.00372739433843918
"35-39","1","7.4",0.00389772828927407,0.00389193529526014
"35-39","1","7.5",0.00828366411213948,0.00583717844396327
"35-39","1","7.6",0.00310335003043025,0.00310120560059273
"35-39","1","7.8",0.00346320597853542,0.00344667554123826
"35-39","1","8.1",0.00363737846424888,0.00364766616729358
"35-39","1","8.2",0.00287024844952528,0.00286017732921709
"35-39","1","8.3",0.00857889316268418,0.0060500949610438
"35-39","1","8.5",0.00448288063760092,0.00447359011763092
"35-39","1","8.6",0.00394413321301171,0.00393808794583961
"35-39","1","8.7",0.00368791416197077,0.00368320785066004
"35-39","1","9.4",0.00359641323719261,0.00359215317479158
"35-39","2","2.8",0.00619649330419926,0.00444172373011071
"35-39","2","3.2",0.00292870659075495,0.00291793921982288
"35-39","2","3.3",0.00731530142229951,0.00430262477974725
"35-39","2","3.6",0.0108691449673878,0.00540140772923201
"35-39","2","3.7",0.0113203050592984,0.00569388305320428
"35-39","2","3.8",0.0212180542570657,0.00883304341547368
"35-39","2","3.9",0.0207056999854835,0.00958337486933628
"35-39","2","4",0.0233212680664213,0.00842316015849249
"35-39","2","4.1",0.0307278419848431,0.0101351479533425
"35-39","2","4.2",0.0538771553025533,0.0135170940317507
"35-39","2","4.3",0.0311658336457092,0.00956364568696407
"35-39","2","4.4",0.0409867176874779,0.0124313771363862
"35-39","2","4.5",0.0482305226721772,0.0133120178985915
"35-39","2","4.6",0.0612519006257383,0.015700753748122
"35-39","2","4.7",0.0404299214043334,0.0116142114015901
"35-39","2","4.8",0.0461431591420228,0.0122430431829122
"35-39","2","4.9",0.0293728918715244,0.00882823889355794
"35-39","2","5",0.0534105983062527,0.0141869607774643
"35-39","2","5.1",0.0317962116244409,0.00941795918654089
"35-39","2","5.2",0.063745410191296,0.0160492257667028
"35-39","2","5.3",0.0354327701073861,0.0102338124458423
"35-39","2","5.4",0.0454588236560759,0.0136904858012116
"35-39","2","5.5",0.0332206736472608,0.0103866790850987
"35-39","2","5.6",0.0271583596174312,0.0102930130521322
"35-39","2","5.7",0.0211455231775625,0.0081734852188487
"35-39","2","5.8",0.00558807870469888,0.00405011584592963
"35-39","2","5.9",0.0195659847381416,0.00747421834687643
"35-39","2","6",0.0248817514198952,0.00975815174929029
"35-39","2","6.1",0.0144125298824534,0.00650509138643818
"35-39","2","6.2",0.0110762082346742,0.00711398199786174
"35-39","2","6.3",0.0168537316300481,0.00751384076232462
"35-39","2","6.4",0.00763349076947934,0.00536010262373516
"35-39","2","6.5",0.0154892408719839,0.00708586628179255
"35-39","2","6.6",0.00612880551494332,0.00436929024170371
"35-39","2","6.7",0.0152282093675931,0.00726566592726636
"35-39","2","6.8",0.0150634034693071,0.00769108263365954
"35-39","2","7.1",0.0121888354595987,0.00634005142360452
"35-39","2","7.2",0.00594257251730184,0.00429606346547471
"35-39","2","7.3",0.00287356942318576,0.00286242390746715
"35-39","2","7.4",0.00496035701800466,0.00492224323933065
"35-39","2","7.5",0.00256877871593261,0.00256056159809335
"35-39","2","7.6",0.00356904662987999,0.00356341754874195
"35-39","2","8.2",0.0018998673845063,0.00190004449784383
"40-44","1","3.3",0.00609135740319317,0.00431667460071483
"40-44","1","3.4",0.00865605316180285,0.0050533042293566
"40-44","1","3.5",0.00423851914852761,0.00423770031904308
"40-44","1","3.7",0.00658782114405527,0.00467564869139254
"40-44","1","3.8",0.0107534075090639,0.00540469269316664
"40-44","1","3.9",0.00210861578607522,0.00210803572212402
"40-44","1","4",0.0184988572265278,0.00700149656867544
"40-44","1","4.1",0.0124921202320947,0.00627173414842241
"40-44","1","4.2",0.0175254721505087,0.00719285427392642
"40-44","1","4.3",0.0286331358483645,0.00971257332128859
"40-44","1","4.4",0.0189943241185821,0.00782248260303474
"40-44","1","4.5",0.0392354439879188,0.0138688650680074
"40-44","1","4.6",0.0420539844794956,0.0116171819763033
"40-44","1","4.7",0.0198462291272105,0.00750446923431934
"40-44","1","4.8",0.0355034045116252,0.0127903923442712
"40-44","1","4.9",0.0359643704130078,0.0116941548758913
"40-44","1","5",0.039142852969492,0.0131242475059062
"40-44","1","5.1",0.03890963878487,0.012016606843233
"40-44","1","5.2",0.0213480211265733,0.00948780524930404
"40-44","1","5.3",0.0355955772720675,0.011773242539539
"40-44","1","5.4",0.0557665133711822,0.012821075380694
"40-44","1","5.5",0.0441357223581714,0.01219002463716
"40-44","1","5.6",0.036391662646286,0.0108513464091673
"40-44","1","5.7",0.0453961318481838,0.014127147446033
"40-44","1","5.8",0.0302009095649051,0.0100111966106268
"40-44","1","5.9",0.028171633333029,0.00980665617963492
"40-44","1","6",0.0281401796426488,0.00902598191476755
"40-44","1","6.1",0.033678399410127,0.00913838388866651
"40-44","1","6.2",0.033751298522658,0.0105040569378487
"40-44","1","6.3",0.0188570563754924,0.00647577463138117
"40-44","1","6.4",0.030118020722956,0.011183212029817
"40-44","1","6.5",0.0166383099793202,0.00677546422023537
"40-44","1","6.6",0.0109248433736547,0.00661899420207653
"40-44","1","6.7",0.0211518086026766,0.00647716964264952
"40-44","1","6.8",0.0124985857928212,0.00561713664837591
"40-44","1","6.9",0.0111380063971576,0.0055048305609362
"40-44","1","7",0.00703531019775128,0.00503783113023752
"40-44","1","7.1",0.00221447605483601,0.00221363236758446
"40-44","1","7.2",0.0116998670432696,0.00611516587182585
"40-44","1","7.3",0.0117862569988599,0.00717744582854671
"40-44","1","7.4",0.00458822631850616,0.00457556983585151
"40-44","1","7.5",0.0104184771211807,0.00518814617271612
"40-44","1","7.6",0.00267071544551237,0.0026684787084499
"40-44","1","7.7",0.00299646709678762,0.00298608002262938
"40-44","1","8",0.0024951519693119,0.00248714347113968
"40-44","1","8.2",0.00926058778315308,0.00545199958584255
"40-44","1","8.3",0.00297488289013928,0.00296281292284656
"40-44","1","8.4",0.00401532334211608,0.0040428208653092
"40-44","1","8.9",0.00253599620648947,0.00254114700500901
"40-44","1","9",0.00355435119215724,0.00354822962916215
"40-44","1","9.3",0.00239824517997223,0.00239157058001151
"40-44","2","2.8",0.00193497909562415,0.00193869711236704
"40-44","2","3.3",0.0065386359256928,0.00495680879138646
"40-44","2","3.4",0.00180406239172095,0.00180314050696144
"40-44","2","3.5",0.00246776605244046,0.00247859321940627
"40-44","2","3.7",0.00584941435440307,0.00348976140997404
"40-44","2","3.8",0.00410131505501743,0.00290257666480739
"40-44","2","3.9",0.0175952406105806,0.00701743464707981
"40-44","2","4",0.0202658549154519,0.00691810317553632
"40-44","2","4.1",0.0226273693978226,0.00679892797352765
"40-44","2","4.2",0.0241896686931014,0.00722599641950264
"40-44","2","4.3",0.0217431885175285,0.0072855697317018
"40-44","2","4.4",0.0238752310672054,0.00805826345423562
"40-44","2","4.5",0.0251160586942959,0.00757631921660712
"40-44","2","4.6",0.0472617271799124,0.0105963447645871
"40-44","2","4.7",0.0435416001343439,0.00993697719808509
"40-44","2","4.8",0.0449754455511315,0.0126780099798401
"40-44","2","4.9",0.0591054224654553,0.00948234892166864
"40-44","2","5",0.0488914397160749,0.0105789056594174
"40-44","2","5.1",0.0626216931603071,0.0129114072028538
"40-44","2","5.2",0.0584513993045316,0.0119248012071946
"40-44","2","5.3",0.0381767514183497,0.0101491000817195
"40-44","2","5.4",0.0249641739332998,0.00793450338122313
"40-44","2","5.5",0.0409617467088031,0.00988756741753142
"40-44","2","5.6",0.047560424824008,0.0116684975383356
"40-44","2","5.7",0.0422392784670273,0.0101435690398858
"40-44","2","5.8",0.0170921527923388,0.00660527161692638
"40-44","2","5.9",0.0307235365290367,0.00808313275178521
"40-44","2","6",0.026693265412808,0.00762856368962192
"40-44","2","6.1",0.0313503437222214,0.00944955533233662
"40-44","2","6.2",0.0146734560704916,0.00617351507481767
"40-44","2","6.3",0.0208362469011182,0.00706306550922559
"40-44","2","6.4",0.00793639869277593,0.00476951273636546
"40-44","2","6.5",0.00208087573756538,0.00207827166962245
"40-44","2","6.6",0.00817031458507901,0.00412783808215171
"40-44","2","6.7",0.0069840298967065,0.00406266514517356
"40-44","2","6.8",0.009163306619674,0.00457605316620026
"40-44","2","6.9",0.00796947861711379,0.00465690441260495
"40-44","2","7.2",0.00522166980444313,0.00365232934294389
"40-44","2","7.3",0.0100290585180052,0.0051157248522273
"40-44","2","7.7",0.00274199999134357,0.00274403836066847
"40-44","2","7.8",0.00288643797555424,0.00287559064879342
"40-44","2","8.3",0.00406911810163472,0.00287090634639145
"40-44","2","8.5",0.00163588778522232,0.00162790136853669
"40-44","2","8.6",0.00625010296228828,0.00455565774432335
"45-49","1","3.7",0.00245684491699834,0.00245944139465529
"45-49","1","3.8",0.00869593630476942,0.00507767422171411
"45-49","1","3.9",0.00861597403847173,0.00430005665851424
"45-49","1","4",0.00720135851894396,0.00556943248990573
"45-49","1","4.1",0.0134180188849844,0.00701418432158097
"45-49","1","4.2",0.00864892022775785,0.00430732244878042
"45-49","1","4.3",0.0157847167005717,0.00759073224642746
"45-49","1","4.4",0.0323461535960336,0.0101840347862322
"45-49","1","4.5",0.0243100042991119,0.00831571507801149
"45-49","1","4.6",0.0213880138016404,0.00772616381777371
"45-49","1","4.7",0.0273057409338213,0.00858605984410306
"45-49","1","4.8",0.0386319095069282,0.0111409716173227
"45-49","1","4.9",0.0343857273365533,0.0105400095812239
"45-49","1","5",0.0400899447668909,0.0108898401831253
"45-49","1","5.1",0.0224291906883201,0.00713914119361466
"45-49","1","5.2",0.0376180262922711,0.0101916533070361
"45-49","1","5.3",0.0536193306192117,0.0111328985794519
"45-49","1","5.4",0.0165598522370963,0.00577914130246774
"45-49","1","5.5",0.0317451435673818,0.0107934688669803
"45-49","1","5.6",0.0253851166579033,0.00836684615753245
"45-49","1","5.7",0.0445095575160762,0.0111991953381407
"45-49","1","5.8",0.0398883601612041,0.0106584013793838
"45-49","1","5.9",0.018783196868974,0.00733118016230577
"45-49","1","6",0.0307379587391591,0.0103430134056461
"45-49","1","6.1",0.0173119122251993,0.00608461376021895
"45-49","1","6.2",0.0293635516064038,0.00842209753393628
"45-49","1","6.3",0.0354022816036166,0.0104270091089982
"45-49","1","6.4",0.0323703881391652,0.00952619653666162
"45-49","1","6.5",0.0305554786229018,0.0103380680475351
"45-49","1","6.6",0.0273348895067621,0.00979224556491696
"45-49","1","6.7",0.0266367638492981,0.00904743453875014
"45-49","1","6.8",0.0181733173070054,0.0070245267601085
"45-49","1","6.9",0.0190730277297982,0.00677443828856845
"45-49","1","7",0.0139106324690782,0.00709731653547042
"45-49","1","7.1",0.00723392476194616,0.00421322865996494
"45-49","1","7.2",0.0131379423841081,0.00600389820112209
"45-49","1","7.3",0.0211678038849824,0.00782419702859885
"45-49","1","7.4",0.00303698847916155,0.00302716553692548
"45-49","1","7.5",0.0221734798308977,0.0076534953699102
"45-49","1","7.6",0.00727342348971779,0.00435100136516146
"45-49","1","7.7",0.00449206861320907,0.00317894368362973
"45-49","1","7.8",0.00816659409166197,0.00485718511138671
"45-49","1","7.9",0.00184753876734743,0.0018507648887976
"45-49","1","8",0.00977283258118367,0.00583684692603467
"45-49","1","8.1",0.0106119832703423,0.00532277524759158
"45-49","1","8.6",0.00450165433125909,0.00325375956900056
"45-49","1","9.1",0.00330465055977724,0.00329086161297565
"45-49","1","9.2",0.00318311698445911,0.00319288921587024
"45-49","1","9.4",0.00234040325932225,0.00234288897057352
"45-49","2","3.3",0.00169101125037839,0.00168686114602595
"45-49","2","3.4",0.00536169887987861,0.00390303722537475
"45-49","2","3.5",0.00207060105833197,0.00206166770571581
"45-49","2","3.6",0.0072401088272039,0.00362063920306977
"45-49","2","3.7",0.014495413661806,0.00613348729899559
"45-49","2","3.8",0.00869398477407253,0.00394821343651634
"45-49","2","3.9",0.00774191660619692,0.00453790498069156
"45-49","2","4",0.00872275609764611,0.00437526000053873
"45-49","2","4.1",0.0101574470763645,0.00505632362558077
"45-49","2","4.2",0.0303885933800949,0.00899362349266389
"45-49","2","4.3",0.0280536159250486,0.00840123130399455
"45-49","2","4.4",0.0195286187323627,0.00710443324317325
"45-49","2","4.5",0.0336671510143478,0.00880135795039764
"45-49","2","4.6",0.0643926647435407,0.0117070439116092
"45-49","2","4.7",0.036428123823209,0.00920465903054148
"45-49","2","4.8",0.0516323578229868,0.00955296238238456
"45-49","2","4.9",0.0238622328415474,0.00632836190173013
"45-49","2","5",0.035575209099383,0.00897533373594878
"45-49","2","5.1",0.033902926372304,0.00936046304073937
"45-49","2","5.2",0.0492442891476357,0.0116386780701281
