"agegroup","sex","salt","Pe","se"
"20-24","1","6.8",0.00634920634920635,0.00387014467260284
"20-24","1","6.9",0.00793650793650794,0.00354049159450038
"20-24","1","7",0.00476190476190476,0.00273806857651297
"20-24","1","7.1",0.00634920634920635,0.00315657844739919
"20-24","1","7.2",0.0126984126984127,0.00443527525968577
"20-24","1","7.3",0.0126984126984127,0.00443527525968577
"20-24","1","7.4",0.019047619047619,0.00584543482053105
"20-24","1","7.5",0.019047619047619,0.00542322637447258
"20-24","1","7.6",0.0126984126984127,0.00445689330130001
"20-24","1","7.7",0.0126984126984127,0.00445689330129999
"20-24","1","7.8",0.0174603174603175,0.00513261080008534
"20-24","1","7.9",0.0111111111111111,0.00416231224297606
"20-24","1","8",0.0174603174603175,0.00516682858435792
"20-24","1","8.1",0.0142857142857143,0.00465037825064792
"20-24","1","8.2",0.00634920634920635,0.00316164925941885
"20-24","1","8.3",0.0111111111111111,0.00414205756198359
"20-24","1","8.4",0.00952380952380952,0.00382852900431609
"20-24","1","8.5",0.00952380952380952,0.00386600326459737
"20-24","1","8.6",0.00793650793650794,0.00350639296760045
"20-24","1","8.7",0.0158730158730159,0.00495070569959265
"20-24","1","8.8",0.00952380952380952,0.00387841422193059
"20-24","1","8.9",0.0111111111111111,0.00416231224297606
"20-24","1","9",0.00634920634920635,0.00315149947637412
"20-24","1","9.1",0.0158730158730159,0.00495070569959265
"20-24","1","9.2",0.0111111111111111,0.00416904193571809
"20-24","1","9.3",0.00952380952380952,0.00385978282088248
"20-24","1","9.4",0.0111111111111111,0.00415557165192477
"20-24","1","9.5",0.0206349206349206,0.00561693485696924
"20-24","1","9.6",0.00634920634920635,0.00316164925941885
"20-24","1","9.7",0.0158730158730159,0.00538468970543265
"20-24","1","9.8",0.019047619047619,0.00526130239378493
"20-24","1","9.9",0.0158730158730159,0.00495878848979021
"20-24","1","10",0.00634920634920635,0.00315657844739918
"20-24","1","10.1",0.0126984126984127,0.00444969895714029
"20-24","1","10.2",0.00952380952380952,0.00385355233607661
"20-24","1","10.3",0.00476190476190476,0.00274245299657748
"20-24","1","10.4",0.00476190476190476,0.00274683041835236
"20-24","1","10.5",0.00634920634920635,0.00314131689894366
"20-24","1","10.6",0.0142857142857143,0.0047196184602489
"20-24","1","10.7",0.00793650793650794,0.00353483133253619
"20-24","1","10.8",0.00952380952380952,0.00387221371561224
"20-24","1","10.9",0.0111111111111111,0.00416231224297606
"20-24","1","11",0.00634920634920635,0.00316164925941884
"20-24","1","11.1",0.0142857142857143,0.00472724921456117
"20-24","1","11.2",0.0126984126984127,0.00444249296219793
"20-24","1","11.3",0.00952380952380952,0.0038348001452993
"20-24","1","11.4",0.0111111111111111,0.00414882010944474
"20-24","1","11.5",0.0142857142857143,0.00468127811383677
"20-24","1","11.6",0.00476190476190476,0.00274245299657748
"20-24","1","11.7",0.0142857142857143,0.00469665181076703
"20-24","1","11.8",0.0111111111111111,0.0041690419357181
"20-24","1","11.9",0.0174603174603175,0.00522617064506722
"20-24","1","12",0.0111111111111111,0.00416231224297606
"20-24","1","12.1",0.00476190476190476,0.00273806857651297
"20-24","1","12.2",0.00634920634920635,0.00314131689894367
"20-24","1","12.3",0.00952380952380952,0.00386600326459737
"20-24","1","12.4",0.00158730158730159,0.00158588328145399
"20-24","1","12.5",0.00952380952380952,0.00384731176139698
"20-24","1","12.6",0.00793650793650794,0.00351779590165981
"20-24","1","12.7",0.00952380952380952,0.00388460483117286
"20-24","1","12.8",0.00634920634920635,0.00314131689894367
"20-24","1","12.9",0.00793650793650794,0.00352348353011376
"20-24","1","13",0.00476190476190476,0.00273806857651297
"20-24","1","13.1",0.00634920634920635,0.00317176656290797
"20-24","1","13.2",0.00793650793650794,0.00352348353011375
"20-24","1","13.3",0.00476190476190476,0.00272927860655334
"20-24","1","13.4",0.00476190476190476,0.00274683041835236
"20-24","1","13.5",0.00317460317460317,0.00224277764497297
"20-24","1","13.6",0.00634920634920635,0.00315657844739919
"20-24","1","13.7",0.00476190476190476,0.00274245299657747
"20-24","1","13.8",0.00793650793650794,0.00353483133253619
"20-24","1","13.9",0.00634920634920635,0.00316164925941885
"20-24","1","14",0.00476190476190476,0.00272487298849703
"20-24","1","14.1",0.0158730158730159,0.00491824170552775
"20-24","1","14.2",0.00634920634920635,0.00316164925941885
"20-24","1","14.3",0.00317460317460317,0.00224634610808082
"20-24","1","14.4",0.00476190476190476,0.00273806857651297
"20-24","1","14.5",0.00476190476190476,0.00272927860655335
"20-24","1","14.6",0.00158730158730159,0.00158840656591596
"20-24","1","14.7",0.00952380952380952,0.00387221371561224
"20-24","1","14.8",0.00317460317460317,0.00224634610808082
"20-24","1","14.9",0.00158730158730159,0.00158588328145398
"20-24","1","15.1",0.00317460317460317,0.00223203802550326
"20-24","1","15.2",0.00634920634920635,0.00316164925941884
"20-24","1","15.3",0.00476190476190476,0.00274245299657747
"20-24","1","15.4",0.00476190476190476,0.00272927860655335
"20-24","1","15.5",0.00476190476190476,0.00272487298849703
"20-24","1","15.6",0.00158730158730159,0.0015833559758139
"20-24","1","15.7",0.00793650793650794,0.00352916199234765
"20-24","1","15.8",0.00476190476190476,0.00274245299657748
"20-24","1","15.9",0.00634920634920635,0.00315149947637413
"20-24","1","16",0.00952380952380952,0.00442804579235393
"20-24","1","16.1",0.00476190476190476,0.00272927860655335
"20-24","1","16.2",0.00476190476190476,0.00274245299657747
"20-24","1","16.3",0.00476190476190476,0.00274245299657748
"20-24","1","16.4",0.00317460317460317,0.00224277764497297
"20-24","1","16.5",0.00476190476190476,0.00274683041835236
"20-24","1","16.6",0.00317460317460317,0.0022392034950605
"20-24","1","16.7",0.00317460317460317,0.00224277764497297
"20-24","1","16.8",0.00634920634920635,0.00316164925941884
"20-24","1","16.9",0.00634920634920635,0.00315657844739918
"20-24","1","17",0.00476190476190476,0.00273806857651297
"20-24","1","17.2",0.00158730158730159,0.0015833559758139
"20-24","1","17.3",0.00317460317460317,0.00223562363106849
"20-24","1","17.4",0.00158730158730159,0.00158588328145399
"20-24","1","17.5",0.00476190476190476,0.00273806857651297
"20-24","1","17.7",0.00317460317460317,0.00223562363106849
"20-24","1","17.8",0.00317460317460317,0.0022392034950605
"20-24","1","17.9",0.00476190476190476,0.00271604031375508
"20-24","1","18",0.00158730158730159,0.00158840656591596
"20-24","1","18.1",0.00952380952380952,0.00386600326459737
"20-24","1","18.2",0.00317460317460317,0.00223562363106849
"20-24","1","18.3",0.00158730158730159,0.00158840656591596
"20-24","1","18.4",0.00158730158730159,0.00157828922369959
"20-24","1","18.5",0.00476190476190476,0.00272927860655335
"20-24","1","18.6",0.00317460317460317,0.00224634610808082
"20-24","1","18.7",0.00158730158730159,0.00158588328145399
"20-24","1","18.8",0.00158730158730159,0.0015833559758139
"20-24","1","19",0.00158730158730159,0.00158588328145399
"20-24","1","19.1",0.00317460317460317,0.0022392034950605
"20-24","1","19.2",0.00158730158730159,0.00158840656591596
"20-24","1","19.3",0.00158730158730159,0.00158588328145399
"20-24","1","19.4",0.00158730158730159,0.00158588328145398
"20-24","1","19.5",0.00158730158730159,0.00158588328145399
"20-24","1","19.7",0.00158730158730159,0.00158588328145399
"20-24","1","19.8",0.00158730158730159,0.00158588328145398
"20-24","2","1.8",0.00156985871271586,0.00157088379526966
"20-24","2","1.9",0.00156985871271586,0.00157088379526966
"20-24","2","2",0.00156985871271586,0.00156841557785896
"20-24","2","2.5",0.00156985871271586,0.00156346745349252
"20-24","2","2.7",0.00156985871271586,0.00156594347008458
"20-24","2","2.9",0.00156985871271586,0.00157088379526965
"20-24","2","3",0.00313971742543171,0.00221797860887932
"20-24","2","3.1",0.00313971742543171,0.00220747327712601
"20-24","2","3.2",0.00156985871271586,0.00156841557785896
"20-24","2","3.3",0.00156985871271586,0.00157088379526966
"20-24","2","3.4",0.00941915227629513,0.00381060680780555
"20-24","2","3.5",0.00941915227629513,0.00384098664991147
"20-24","2","3.6",0.00470957613814757,0.00271205819141411
"20-24","2","3.7",0.00941915227629513,0.00381060680780556
"20-24","2","3.8",0.00313971742543171,0.00220747327712601
"20-24","2","3.9",0.00627943485086342,0.00313147910167572
"20-24","2","4",0.00470957613814757,0.00271205819141411
"20-24","2","4.1",0.0188383045525903,0.00535296134069724
"20-24","2","4.2",0.00784929356357928,0.00347874515984562
"20-24","2","4.3",0.00470957613814757,0.00271634037884187
"20-24","2","4.4",0.010989010989011,0.00413546524598095
"20-24","2","4.5",0.00784929356357928,0.00347317225606485
"20-24","2","4.6",0.00627943485086342,0.0031116210872003
"20-24","2","4.7",0.00784929356357928,0.00348430915017597
"20-24","2","4.8",0.00627943485086342,0.0031116210872003
"20-24","2","4.9",0.00313971742543171,0.00221797860887932
"20-24","2","5",0.00784929356357928,0.00348986426968882
"20-24","2","5.1",0.010989010989011,0.0041157447515539
"20-24","2","5.2",0.010989010989011,0.00411574475155391
"20-24","2","5.3",0.0125588697017268,0.00439972268852234
"20-24","2","5.4",0.0172684458398744,0.0051169770261976
"20-24","2","5.5",0.010989010989011,0.00412890221331597
"20-24","2","5.6",0.010989010989011,0.00410915022192576
"20-24","2","5.7",0.0204081632653061,0.00555318080818321
"20-24","2","5.8",0.010989010989011,0.00412890221331597
"20-24","2","5.9",0.00470957613814757,0.00271205819141411
"20-24","2","6",0.00627943485086342,0.00310663675006092
"20-24","2","6.1",0.0141287284144427,0.00460624020095652
"20-24","2","6.2",0.0125588697017268,0.00438561103632961
"20-24","2","6.3",0.0156985871271586,0.00531753116897153
"20-24","2","6.4",0.0125588697017268,0.00439267252921694
"20-24","2","6.5",0.0156985871271586,0.00487111731173802
"20-24","2","6.6",0.00784929356357928,0.00348986426968881
"20-24","2","6.7",0.0204081632653061,0.00549849399067634
"20-24","2","6.8",0.0204081632653061,0.00554410379904296
"20-24","2","6.9",0.00784929356357928,0.00346759039585819
"20-24","2","7",0.010989010989011,0.00407601753901989
"20-24","2","7.1",0.00627943485086342,0.00313147910167572
"20-24","2","7.2",0.00941915227629513,0.00380450172867266
"20-24","2","7.3",0.00941915227629513,0.00381670212145444
"20-24","2","7.4",0.010989010989011,0.00410915022192577
"20-24","2","7.5",0.00784929356357928,0.00348986426968882
"20-24","2","7.6",0.010989010989011,0.0041157447515539
"20-24","2","7.7",0.0156985871271586,0.00491072372804871
"20-24","2","7.8",0.00627943485086342,0.00312156588546049
"20-24","2","7.9",0.00784929356357928,0.00349541056067829
"20-24","2","8",0.00627943485086342,0.00312652642252568
"20-24","2","8.1",0.0156985871271586,0.00488699839698322
"20-24","2","8.2",0.00627943485086342,0.00311659745295894
"20-24","2","8.3",0.0156985871271586,0.00488699839698322
"20-24","2","8.4",0.0172684458398744,0.00514190174039222
"20-24","2","8.5",0.0141287284144427,0.00465892719531293
"20-24","2","8.6",0.00784929356357928,0.00348986426968882
"20-24","2","8.7",0.0141287284144427,0.00463642036815396
"20-24","2","8.8",0.0141287284144427,0.00463642036815395
"20-24","2","8.9",0.0141287284144427,0.00466640534796943
"20-24","2","9",0.00627943485086342,0.00313147910167572
"20-24","2","9.1",0.00941915227629513,0.00379838683696809
"20-24","2","9.2",0.010989010989011,0.00410915022192578
"20-24","2","9.3",0.0125588697017268,0.0043785381550256
"20-24","2","9.4",0.00627943485086342,0.00311162108720031
"20-24","2","9.5",0.00941915227629513,0.00379226208522454
"20-24","2","9.6",0.00941915227629513,0.00381060680780555
"20-24","2","9.7",0.00784929356357928,0.00349541056067829
"20-24","2","9.8",0.00627943485086342,0.0031016444031108
"20-24","2","9.9",0.00941915227629513,0.00381060680780555
"20-24","2","10",0.00941915227629513,0.00381670212145445
"20-24","2","10.1",0.010989010989011,0.00409592931081222
"20-24","2","10.2",0.00784929356357928,0.00350094806510351
"20-24","2","10.3",0.0125588697017268,0.00439972268852233
"20-24","2","10.4",0.00627943485086342,0.00313642396013555
"20-24","2","10.5",0.00470957613814757,0.00271634037884187
"20-24","2","10.6",0.00156985871271586,0.00157088379526965
"20-24","2","10.7",0.00313971742543171,0.00221448236902126
"20-24","2","10.8",0.00941915227629513,0.00440039999318573
"20-24","2","10.9",0.00470957613814757,0.00271205819141411
"20-24","2","11",0.00784929356357928,0.00349541056067829
"20-24","2","11.1",0.00470957613814757,0.00272061582621236
"20-24","2","11.2",0.00627943485086342,0.00314136103483711
"20-24","2","11.3",0.00156985871271586,0.00157088379526966
"20-24","2","11.4",0.00941915227629513,0.00383492993476769
"20-24","2","11.5",0.00941915227629513,0.00381060680780556
"20-24","2","11.6",0.00470957613814757,0.002707769231952
"20-24","2","11.7",0.00313971742543171,0.00221098060054034
"20-24","2","11.8",0.0125588697017268,0.0044067615686419
"20-24","2","11.9",0.00313971742543171,0.00221448236902125
"20-24","2","12",0.00156985871271586,0.00157088379526966
"20-24","2","12.1",0.00627943485086342,0.00312652642252568
"20-24","2","12.2",0.00784929356357928,0.00347874515984561
"20-24","2","12.3",0.00313971742543171,0.00220747327712601
"20-24","2","12.4",0.00313971742543171,0.00221098060054034
"20-24","2","12.5",0.00156985871271586,0.00156594347008458
"20-24","2","12.6",0.00313971742543171,0.00222146934621807
"20-24","2","12.7",0.00156985871271586,0.00156841557785896
"20-24","2","12.8",0.00313971742543171,0.00221448236902125
"20-24","2","12.9",0.00156985871271586,0.00156841557785896
"20-24","2","13",0.00156985871271586,0.00157088379526966
"20-24","2","13.1",0.00470957613814757,0.00271205819141411
"20-24","2","13.2",0.00470957613814757,0.00271634037884188
"20-24","2","13.3",0.00470957613814757,0.00269486139776701
"20-24","2","13.4",0.00470957613814757,0.002707769231952
"20-24","2","13.5",0.00313971742543171,0.00221797860887932
"20-24","2","13.6",0.00470957613814757,0.00270776923195201
"20-24","2","13.7",0.00313971742543171,0.00220747327712601
"20-24","2","13.8",0.00627943485086342,0.00313147910167572
"20-24","2","13.9",0.00156985871271586,0.00156594347008457
"20-24","2","14",0.00156985871271586,0.00156841557785896
"20-24","2","14.1",0.00156985871271586,0.00156594347008458
"20-24","2","14.3",0.00156985871271586,0.00156594347008457
"20-24","2","14.4",0.00313971742543171,0.00221797860887933
"20-24","2","14.6",0.00313971742543171,0.00221448236902126
"20-24","2","14.7",0.00156985871271586,0.00156841557785896
"20-24","2","14.8",0.00313971742543171,0.00222146934621807
"20-24","2","15",0.00313971742543171,0.00221448236902125
"20-24","2","15.1",0.00156985871271586,0.00156841557785896
"20-24","2","15.2",0.00313971742543171,0.00222146934621807
"20-24","2","15.3",0.00156985871271586,0.00156841557785896
"20-24","2","15.4",0.00470957613814757,0.00272061582621236
"20-24","2","15.5",0.00156985871271586,0.00157088379526965
"20-24","2","15.7",0.00313971742543171,0.00221448236902126
"20-24","2","15.8",0.00156985871271586,0.00157088379526966
"20-24","2","15.9",0.00470957613814757,0.00270347346822482
"20-24","2","16",0.00156985871271586,0.00157088379526966
"20-24","2","16.2",0.00156985871271586,0.00157088379526966
"20-24","2","16.5",0.00313971742543171,0.00221797860887932
"20-24","2","16.7",0.00313971742543171,0.00221448236902126
"20-24","2","16.9",0.00470957613814757,0.00271205819141411
"20-24","2","17",0.00313971742543171,0.00220396037225835
"20-24","2","17.7",0.00156985871271586,0.00156594347008457
"20-24","2","17.9",0.00156985871271586,0.00157088379526966
"20-24","2","18",0.00156985871271586,0.00156594347008457
"20-24","2","18.2",0.00156985871271586,0.00156841557785896
"20-24","2","18.9",0.00313971742543171,0.00220396037225835
"20-24","2","19.1",0.00156985871271586,0.00156841557785896
"20-24","2","19.4",0.00313971742543171,0.00222146934621807
"20-24","2","19.6",0.00313971742543171,0.00221448236902125
"20-24","2","19.9",0.00313971742543171,0.00221098060054034
"20-24","2","20",0.00156985871271586,0.00156594347008458
"20-24","2","21.6",0.00156985871271586,0.00156841557785896
"20-24","2","22.3",0.00156985871271586,0.00157088379526966
"20-24","2","22.7",0.00156985871271586,0.00157088379526966
"20-24","2","22.9",0.00156985871271586,0.00156594347008457
"20-24","2","23",0.00156985871271586,0.00156841557785896
"20-24","2","23.5",0.00156985871271586,0.00157088379526965
"20-24","2","25",0.00156985871271586,0.00156841557785896
"20-24","2","30.3",0.00156985871271586,0.00157088379526965
"20-24","2","31.1",0.00156985871271586,0.00157088379526966
"25-29","1","1",0.00601202404809619,0.0034578922759534
"25-29","1","1.1",0.00200400801603206,0.00199703787336855
"25-29","1","1.5",0.00200400801603206,0.00200106948188116
"25-29","1","1.6",0.00200400801603206,0.00199703787336855
"25-29","1","1.7",0.00200400801603206,0.00200106948188116
"25-29","1","1.8",0.00400801603206413,0.00282950010997171
"25-29","1","1.9",0.00200400801603206,0.00200106948188116
"25-29","1","2",0.00601202404809619,0.00345089301212815
"25-29","1","2.1",0.0100200400801603,0.00438989481530118
"25-29","1","2.3",0.00200400801603206,0.00200509298411917
"25-29","1","2.4",0.00200400801603206,0.00200509298411917
"25-29","1","2.5",0.00200400801603206,0.00200106948188116
"25-29","1","2.6",0.00200400801603206,0.00200509298411917
"25-29","1","2.8",0.00200400801603206,0.00200106948188116
"25-29","1","3.1",0.00200400801603206,0.00200509298411917
"25-29","1","3.2",0.00200400801603206,0.00200509298411917
"25-29","1","3.3",0.00400801603206413,0.00282379766715578
"25-29","1","3.4",0.00200400801603206,0.00200509298411917
"25-29","1","3.5",0.00400801603206413,0.00282379766715578
"25-29","1","3.6",0.00400801603206413,0.00282379766715578
"25-29","1","3.7",0.0120240480961924,0.004887908811698
"25-29","1","3.8",0.00200400801603206,0.00200106948188116
"25-29","1","3.9",0.00400801603206413,0.00281808368536829
"25-29","1","4",0.00200400801603206,0.00200509298411916
"25-29","1","4.2",0.00400801603206413,0.00282379766715578
"25-29","1","4.3",0.00400801603206413,0.00282950010997171
