"agegroup","sex","cigst1","Pe","se"
"20-24","1","1",0.561516966194685,0.0260691055683891
"20-24","1","2",0.0335444850043592,0.00914990584325712
"20-24","1","3",0.0247763715598815,0.00773148627041929
"20-24","1","4",0.128389593910318,0.0168089599991316
"20-24","2","1",0.513691425023899,0.0249350997136691
"20-24","2","2",0.0342295001869087,0.00825531248212933
"20-24","2","3",0.0182179711784374,0.00692535940574821
"20-24","2","4",0.190036223496569,0.020139246640062
"25-29","1","1",0.509636477111391,0.0328330029637522
"25-29","1","2",0.0503280889945717,0.0120827129983574
"25-29","1","3",0.0662792893975361,0.0136509753545119
"25-29","1","4",0.360887357465678,0.02950551829549
"25-29","2","1",0.560621699129117,0.025928561237389
"25-29","2","2",0.0530530628948061,0.0107303777530062
"25-29","2","3",0.0841393349940422,0.0143053054190057
"25-29","2","4",0.297213723709702,0.0259422255325371
"30-34","1","1",0.429410682347502,0.0260027518048419
"30-34","1","2",0.0617672288010127,0.0112001384083822
"30-34","1","3",0.126576716599225,0.0168036984864782
"30-34","1","4",0.37850392299926,0.0264307429114069
"30-34","2","1",0.500443903897458,0.023734451406765
"30-34","2","2",0.060048479918591,0.00978004527613771
"30-34","2","3",0.178128648689614,0.0178562265660317
"30-34","2","4",0.259300990577242,0.0209617919476487
"35-39","1","1",0.4387120046082,0.0247080607514218
"35-39","1","2",0.0769210492528351,0.0124033536602282
"35-39","1","3",0.174957305925897,0.0183372651585891
"35-39","1","4",0.306993246684714,0.0222254379431051
"35-39","2","1",0.493430936709378,0.020522470705405
"35-39","2","2",0.0595274899286138,0.00974048280776553
"35-39","2","3",0.202786405392122,0.0162419548594301
"35-39","2","4",0.244255167969887,0.0176177329590106
"40-44","1","1",0.444739908124354,0.021401994579119
"40-44","1","2",0.0527797762513909,0.00951576657102368
"40-44","1","3",0.191843549554686,0.0174647857951721
"40-44","1","4",0.307931778401367,0.0204884804269208
"40-44","2","1",0.508016662937736,0.0175459592579694
"40-44","2","2",0.0545018254261248,0.00879563714662949
"40-44","2","3",0.181699632078051,0.0144935463723436
"40-44","2","4",0.252220155898544,0.0167028677970493
"45-49","1","1",0.505544205429531,0.0211012673059138
"45-49","1","2",0.0299197998102461,0.00634451219328525
"45-49","1","3",0.201689720504123,0.0168063296421202
"45-49","1","4",0.258526451682905,0.017817172526585
"45-49","2","1",0.536393314123935,0.0182043745180277
"45-49","2","2",0.0559233903559951,0.0079273201218762
"45-49","2","3",0.192561810030223,0.0141014182899737
"45-49","2","4",0.212665352727099,0.0149888834007072
"50-54","1","1",0.5101242776495,0.0236185783594256
"50-54","1","2",0.0356550144921932,0.00866740897981135
"50-54","1","3",0.210181470837195,0.0185500456046526
"50-54","1","4",0.240066798634707,0.0198285339652539
"50-54","2","1",0.508597718162258,0.0195264015841517
"50-54","2","2",0.0485384439276965,0.00825453874802586
"50-54","2","3",0.17831185485796,0.0152528880938752
"50-54","2","4",0.262360256276434,0.0183296972368897
"55-59","1","1",0.410255650087512,0.0232239788763877
"55-59","1","2",0.03999315619514,0.00971402507510723
"55-59","1","3",0.308182087967954,0.0207803214584596
"55-59","1","4",0.234122120279707,0.0196612151226308
"55-59","2","1",0.46188361637342,0.0205174790298934
"55-59","2","2",0.05494628445292,0.00912064555576997
"55-59","2","3",0.262447684851863,0.0189544683483397
"55-59","2","4",0.220722414321798,0.0165290202962863
"60-64","1","1",0.352351692580916,0.0197252914362787
"60-64","1","2",0.0405284786139232,0.00830430122317404
"60-64","1","3",0.394394771614822,0.018971496666314
"60-64","1","4",0.209515334126369,0.0173591868497341
"60-64","2","1",0.494100299913328,0.0204431119040642
"60-64","2","2",0.0527831581758059,0.00827458368520474
"60-64","2","3",0.251466005048656,0.0168649498468795
"60-64","2","4",0.20165053686221,0.0167886092704041
"65-69","1","1",0.328227997352835,0.0217829241782599
"65-69","1","2",0.053888114550224,0.0107992184277483
"65-69","1","3",0.449696498566426,0.0220604168148418
"65-69","1","4",0.166340945496847,0.0161810179964679
"65-69","2","1",0.410751773697832,0.0210599785087862
"65-69","2","2",0.0728459980041306,0.0110608567717211
"65-69","2","3",0.319174749934184,0.0185929266595198
"65-69","2","4",0.197227478363854,0.0169268122581886
"70-74","1","1",0.329407757423136,0.0228848270061229
"70-74","1","2",0.0412121478499846,0.00867968080052395
"70-74","1","3",0.476512847413958,0.0229462499817371
"70-74","1","4",0.152867247312921,0.0182553019803587
"70-74","2","1",0.522891833944083,0.0225181089782158
"70-74","2","2",0.069883340999512,0.0111322572737193
"70-74","2","3",0.265466581917659,0.0199167598625118
"70-74","2","4",0.141758243138746,0.0133475196792994
"75-79","1","1",0.285667453141714,0.022641746846237
"75-79","1","2",0.0548744725828689,0.0112271278438596
"75-79","1","3",0.541237282908531,0.0247737936084224
"75-79","1","4",0.118220791366886,0.0160717391055665
"75-79","2","1",0.54681430869871,0.0244589936029441
"75-79","2","2",0.0662528264888778,0.011638866705943
"75-79","2","3",0.282310689965303,0.0209024841889414
"75-79","2","4",0.10462217484711,0.0158386507846457
"80-84","1","1",0.31722608138199,0.0285643467640887
"80-84","1","2",0.0364966949782167,0.010702430893802
"80-84","1","3",0.527767304038844,0.0306005672177985
"80-84","1","4",0.118509919600949,0.0202907373155554
"80-84","2","1",0.497968101740671,0.0247737371819599
"80-84","2","2",0.0445289709407981,0.0105108199360068
"80-84","2","3",0.344178111528259,0.0245062276606216
"80-84","2","4",0.105527152113532,0.0168083819846844
"85+","1","1",0.310395678934176,0.0255362686657508
"85+","1","2",0.0388081358041891,0.0110607994131198
"85+","1","3",0.587714764322061,0.0280802643298688
"85+","1","4",0.0600623949348736,0.0137509288522736
"85+","2","1",0.497836626757843,0.0226157626358756
"85+","2","2",0.0770481220043921,0.0121185157624656
"85+","2","3",0.350974483666008,0.0211710731795156
"85+","2","4",0.0685917345209237,0.0117170054611693
