"agegroup","sex","omsysval.usual","Pe","se"
"15-19","1","115",0.00771572857392176,0.00486120708223653
"15-19","1","115.5",0.0250239876938362,0.00970803463942844
"15-19","1","116",0.0182889918458113,0.00653753030999693
"15-19","1","116.5",0.00835577956404886,0.00373498158682568
"15-19","1","117",0.0191073727666875,0.00657637705108378
"15-19","1","117.5",0.0128571639623738,0.00859251206659643
"15-19","1","118",0.0121027561856373,0.00502438382279687
"15-19","1","118.5",0.0156605792610347,0.0066194971934179
"15-19","1","119",0.0089953897769452,0.00465467850068201
"15-19","1","120",0.0101298507022999,0.00523551874552807
"15-19","1","120.5",0.00881866620055309,0.00445629861941732
"15-19","1","121.5",0.0170259866340776,0.00652432846856326
"15-19","1","122",0.00557923227664684,0.00409648572714162
"15-19","1","122.5",0.00927630772191348,0.00487255224875769
"15-19","1","123",0.00246022198924953,0.00244716739778867
"15-19","1","123.5",0.00808127619422456,0.00469672592189581
"15-19","1","124",0.00409368530636842,0.00289204502530623
"15-19","1","125",0.0117963553986185,0.00484459690937985
"15-19","1","125.5",0.00354608443810988,0.00250698070481341
"15-19","1","126",0.00187485508466451,0.00188318106706872
"15-19","1","127.5",0.00207456147735799,0.00207724926215263
"15-19","1","128.5",0.00637668117574073,0.00377762138798798
"15-19","1","129.5",0.00297632566770098,0.00297210101157951
"15-19","1","130",0.00189117169372971,0.0018905413393888
"15-19","1","130.5",0.00161013956742342,0.00160532450809477
"15-19","1","131.5",0.00230446255055749,0.00229239959157602
"15-19","1","132",0.00641089265157513,0.00451138288409869
"15-19","1","132.5",0.00639403402478298,0.00474935089603383
"15-19","1","133.5",0.00218484322561547,0.00218347305186183
"15-19","1","134",0.00221107499823242,0.00220490741949164
"15-19","1","134.5",0.00766080392474969,0.0054708677487508
"15-19","1","135",0.00410026985924576,0.00288917944561896
"15-19","1","138.5",0.00152960409307358,0.00152444726857225
"15-19","1","139.5",0.0089547217859438,0.00888823862395672
"15-19","1","141",0.00480896784365473,0.00338265571011844
"15-19","1","144.5",0.00184280292124285,0.00184227785057675
"15-19","1","156",0.00170597963058221,0.00171034216592027
"15-19","2","86.5",0.00155277296089013,0.0015569699604382
"15-19","2","88",0.00186580890223113,0.00186217902988686
"15-19","2","88.5",0.00191581535365245,0.00192966041391699
"15-19","2","89",0.00491254991682727,0.00347056025936449
"15-19","2","90.5",0.00200534558058131,0.00201016137077492
"15-19","2","91",0.00710715153925402,0.004233518532282
"15-19","2","91.5",0.0167636779858318,0.00923019530462607
"15-19","2","92",0.00225404491591292,0.0022446546190747
"15-19","2","92.5",0.00453287682559481,0.00322093543165278
"15-19","2","93.5",0.00585597748300589,0.00340954284172018
"15-19","2","94",0.00510364707764075,0.00363087778501873
"15-19","2","94.5",0.00448512877398493,0.00447254703080264
"15-19","2","95",0.00490942788876582,0.00479309410505556
"15-19","2","95.5",0.0037309902515627,0.00262919332025957
"15-19","2","96",0.00926315036548505,0.004662597027106
"15-19","2","96.5",0.0072330034628414,0.00437724407946193
"15-19","2","97",0.00974750869692376,0.00596187915755898
"15-19","2","97.5",0.00786320747953248,0.00472249028295742
"15-19","2","98",0.0160762704136046,0.00586837494051906
"15-19","2","98.5",0.0153689858830591,0.0058434832331324
"15-19","2","99",0.0252689121321837,0.00968057089802312
"15-19","2","99.5",0.0134673493356443,0.00537962185269003
"15-19","2","100",0.023198857928036,0.00807477807155106
"15-19","2","100.5",0.0110770795195155,0.00526364578205021
"15-19","2","101",0.0148757804253112,0.00871217859513331
"15-19","2","101.5",0.0148601873619974,0.00753175755144189
"15-19","2","102",0.0141697368855639,0.00562461541101652
"15-19","2","102.5",0.0124458566041058,0.00602405146912364
"15-19","2","103",0.0124087032999944,0.00515748827940887
"15-19","2","103.5",0.0113120702087355,0.00512921290897704
"15-19","2","104",0.0305647680985846,0.00808690945710999
"15-19","2","104.5",0.0298506190651597,0.00883769341732943
"15-19","2","105",0.0256224971244686,0.00836830303112028
"15-19","2","105.5",0.0134518142458848,0.00549605306010598
"15-19","2","106",0.02612258137129,0.00761568000535749
"15-19","2","106.5",0.00539294364949148,0.00312019218345842
"15-19","2","107",0.0157199768706408,0.00564677042011018
"15-19","2","107.5",0.0177385957797076,0.00629263808918035
"15-19","2","108",0.0203884833514261,0.007621092168448
"15-19","2","108.5",0.0276796833205101,0.0082280674177247
"15-19","2","109",0.00785633976359235,0.0039367891597318
"15-19","2","109.5",0.0261534229350612,0.00799257500208419
"15-19","2","110",0.0256994317522779,0.00809150458958538
"15-19","2","110.5",0.0095705752281834,0.00488126106117776
"15-19","2","111",0.0215751503189358,0.00755280682827057
"15-19","2","111.5",0.00229954492697008,0.0022929158521546
"15-19","2","112",0.0109659776723838,0.00495307433476239
"15-19","2","112.5",0.0249105984467932,0.00787191290709445
"15-19","2","113",0.0112232310287922,0.00459830483340879
"15-19","2","113.5",0.00155011189073634,0.00155031918593944
"15-19","2","114",0.00439655819271436,0.00311206122858819
"15-19","2","114.5",0.0150868641894825,0.00547802114882135
"15-19","2","115",0.00216598636599504,0.00215281775350192
"15-19","2","115.5",0.0222554910615622,0.00700125233952022
"15-19","2","116",0.00455977147333592,0.00325709239773341
"15-19","2","116.5",0.00682961848188518,0.00401130956036424
"15-19","2","117",0.00258057690419361,0.00257826179302883
"15-19","2","117.5",0.00995639614746216,0.00454615942369102
"15-19","2","118",0.0128237369024419,0.0059928315330237
"15-19","2","118.5",0.00185501518869974,0.00185148983700553
"15-19","2","119",0.00894174138951619,0.00487845865509676
"15-19","2","119.5",0.0102133288771519,0.00462178726824631
"15-19","2","120",0.00331559936294915,0.00232628404729425
"15-19","2","120.5",0.00200377270248317,0.0020031315475679
"15-19","2","121",0.0111994303697281,0.00524475285278224
"15-19","2","121.5",0.00651700933255369,0.00378832857299207
"15-19","2","122",0.00491795342633853,0.00368637721918822
"15-19","2","122.5",0.00326664130268704,0.0023149671871153
"15-19","2","123.5",0.00256322177230282,0.00256532042029223
"15-19","2","124",0.00275425967889415,0.00274691861238366
"15-19","2","124.5",0.00382819243293883,0.00272103785242847
"15-19","2","126.5",0.00266929251538273,0.00267348960624225
"15-19","2","127.5",0.00226292671303902,0.0022564032003619
"15-19","2","128",0.00192462901387661,0.00192948223757103
"15-19","2","128.5",0.00195435940706598,0.0019538306629751
"15-19","2","129.5",0.00212799863805042,0.00211952422292695
"15-19","2","131",0.00151187159531567,0.00151213158225621
"15-19","2","131.5",0.00256896631582035,0.00256669147467436
"15-19","2","132",0.00168823916899246,0.0016908934482847
"15-19","2","132.5",0.00258836712575619,0.00258602484361729
"15-19","2","135.5",0.00207455162741846,0.00208865337117761
"20-24","1","96.5",0.00351646891145523,0.00351317948399664
"20-24","1","99.5",0.0047098430273315,0.00348625077966654
"20-24","1","100.5",0.00505600445300509,0.00365848922571679
"20-24","1","101",0.00166766936717856,0.00166919259154456
"20-24","1","102",0.0027991839729296,0.00279857448962471
"20-24","1","102.5",0.0112159971758608,0.00720844686224872
"20-24","1","103",0.00344204750053558,0.00246671587907968
"20-24","1","103.5",0.005785184957155,0.00337386784255126
"20-24","1","104",0.00534237575715879,0.00377294964103352
"20-24","1","105",0.00381710898137718,0.00380174845895608
"20-24","1","105.5",0.0153231945940531,0.00691591451155044
"20-24","1","106",0.0136956478926382,0.00720482517259051
"20-24","1","106.5",0.0020490502604514,0.00205845213178451
"20-24","1","107.5",0.00277100404818226,0.00273879546087011
"20-24","1","108",0.00547529550787329,0.00321427806973379
"20-24","1","108.5",0.00459737087051603,0.00338047752373264
"20-24","1","109",0.00288937054822811,0.00288848077710883
"20-24","1","109.5",0.00568471295869776,0.00400485473517461
"20-24","1","110",0.00720121297327506,0.00506601154834382
"20-24","1","110.5",0.0145368502337679,0.00684985276160532
"20-24","1","111",0.0107971245732656,0.00638767621062145
"20-24","1","111.5",0.0109193445052678,0.0082902135354348
"20-24","1","112",0.0170091291145042,0.00790366371297756
"20-24","1","112.5",0.00708503657690811,0.00422199559109973
"20-24","1","113",0.0270212381687644,0.0100762141003041
"20-24","1","113.5",0.00354717453628479,0.00255346394254125
"20-24","1","114",0.00479735083318073,0.00480236252204954
"20-24","1","114.5",0.00466527980065516,0.00330362919205181
"20-24","1","115",0.0126607389463352,0.00647370436091075
"20-24","1","115.5",0.0139322622583416,0.00672937670663108
"20-24","1","116",0.00962133862628516,0.00483226143319937
"20-24","1","116.5",0.0259729472054812,0.0114118003701727
"20-24","1","117",0.0164246586850766,0.00676846316565271
"20-24","1","117.5",0.00981509941962649,0.00571309808412375
"20-24","1","118",0.00314508407536878,0.00314331096697143
"20-24","1","118.5",0.0258389965266444,0.0100937671629093
"20-24","1","119",0.0114172175224921,0.00586512751208399
"20-24","1","119.5",0.00368918616279939,0.00368509733172146
"20-24","1","120",0.0123560208383901,0.006258346668487
"20-24","1","120.5",0.0114225205343637,0.00596132708152315
"20-24","1","121",0.0107676556890664,0.00563561580021285
"20-24","1","121.5",0.0226435507388857,0.0093293521020157
"20-24","1","122",0.0154964172628818,0.00708700594461173
"20-24","1","122.5",0.0158695121955306,0.00707264525112851
"20-24","1","123",0.0205081314110272,0.00888631779180718
"20-24","1","123.5",0.0198531710117286,0.00834538065039497
"20-24","1","124",0.0229403185678541,0.00896697261378856
"20-24","1","124.5",0.0129498862544746,0.00644176844787229
"20-24","1","125",0.0051316708462585,0.00389998684519375
"20-24","1","125.5",0.0307756403265706,0.0117566114773775
"20-24","1","126",0.0189904561079395,0.00894934318439856
"20-24","1","126.5",0.0134167826478727,0.00875994381134124
"20-24","1","127",0.0214553510813323,0.00881882294315091
"20-24","1","127.5",0.00681367360309328,0.00482237053833562
"20-24","1","128",0.0153472022991111,0.00758059021101101
"20-24","1","128.5",0.00288896785686146,0.00288807937347006
"20-24","1","129",0.019770533304756,0.00949473989777097
"20-24","1","129.5",0.00878711638409886,0.00514262461492749
"20-24","1","130",0.00458574398972338,0.00327344276262824
"20-24","1","130.5",0.0179618781753674,0.0079940274967484
"20-24","1","131",0.00406181470636754,0.00406414781549065
"20-24","1","131.5",0.00866919640814336,0.00607543730359603
"20-24","1","132",0.0125831092177398,0.0063035267423859
"20-24","1","132.5",0.00336877467558928,0.00336612138408264
"20-24","1","133",0.00878913098969673,0.00530913856618607
"20-24","1","133.5",0.00698106262415752,0.00494389988351467
"20-24","1","134",0.014506905287196,0.00814442964583999
"20-24","1","134.5",0.00490689763709814,0.00345570258097964
"20-24","1","135",0.00290971097432178,0.00206346117859272
"20-24","1","135.5",0.00145390700521881,0.0014511373592984
"20-24","1","136",0.00411992950285387,0.00411358628165162
"20-24","1","136.5",0.0167239063803947,0.0087475852623467
"20-24","1","137",0.00579459659661358,0.00410496868972145
"20-24","1","137.5",0.00446388393020644,0.00443618671171109
"20-24","1","138",0.00233525869081408,0.00234111189945159
"20-24","1","138.5",0.00494537983928579,0.0048671012096843
"20-24","1","139",0.0114736429233305,0.00653247609259639
"20-24","1","140",0.00334998843886027,0.00331105006372563
"20-24","1","140.5",0.00325137342627873,0.00324919459527528
"20-24","1","141.5",0.0033928937307717,0.00339013954389386
"20-24","1","143",0.00257291693072863,0.00258107740133177
"20-24","1","144",0.00297729849834664,0.00296712464710578
"20-24","1","145.5",0.00280953256033762,0.00279280279986297
"20-24","1","149.5",0.00372540961764837,0.00372114553968284
"20-24","1","187.5",0.00281519186956401,0.00281950430705042
"20-24","2","88.5",0.00653032409713504,0.00508440740027898
"20-24","2","89.5",0.0026334210773927,0.00262672222669487
"20-24","2","92",0.00684273686904957,0.00677240596470218
"20-24","2","92.5",0.00342661040558533,0.00339685722900507
"20-24","2","93",0.00145781299474618,0.00145609467619715
"20-24","2","93.5",0.00298312916766985,0.00298932673846613
"20-24","2","94.5",0.0105779662734554,0.0053903237383506
"20-24","2","95",0.00375082908401476,0.00375317942352026
"20-24","2","95.5",0.0120589088395612,0.00732690277663608
"20-24","2","96.5",0.00324795369974829,0.00324363596748786
"20-24","2","97",0.00550431642233177,0.00401917662868603
"20-24","2","97.5",0.01002533708697,0.00504682057576159
"20-24","2","98",0.00420734452558091,0.00424252067237275
"20-24","2","98.5",0.0201992204326827,0.00956344672485819
"20-24","2","99",0.00934789759912282,0.00542237212342025
"20-24","2","99.5",0.00422714178790798,0.00304872516838881
"20-24","2","100",0.0105126208304652,0.00555953809341132
"20-24","2","100.5",0.0109365224704486,0.00554587809562466
"20-24","2","101.5",0.0127581373688322,0.00672688908977161
"20-24","2","102",0.00901475984320126,0.00641522469320632
"20-24","2","102.5",0.0100232287446858,0.00577673894864959
"20-24","2","103",0.021956974095357,0.00815392641420279
"20-24","2","103.5",0.0018265933975803,0.00182194694109027
"20-24","2","104",0.00827025952193686,0.00515856206201593
"20-24","2","104.5",0.00692751707637266,0.00486413756802824
"20-24","2","105",0.0125492109181208,0.00664124076807377
"20-24","2","105.5",0.0133268428440301,0.00621980317652863
"20-24","2","106",0.0106570867721744,0.00545821979891202
"20-24","2","106.5",0.0164200394523368,0.00676145544489952
"20-24","2","107",0.01479503284942,0.0063321580317038
"20-24","2","107.5",0.0152984481009957,0.00704624416430408
"20-24","2","108",0.0292817918483493,0.00999772974965361
"20-24","2","108.5",0.0146805530633476,0.00669530074258991
"20-24","2","109",0.00683086119146543,0.00482930912441802
"20-24","2","109.5",0.00671709942952654,0.00393320315296785
"20-24","2","110",0.0163297143007824,0.00764642579261268
"20-24","2","110.5",0.00658250001265612,0.00382518501292517
"20-24","2","111",0.0164881454806608,0.0064100890444036
"20-24","2","111.5",0.00550137986223736,0.00389006869395893
"20-24","2","112",0.0137982175052044,0.00568717438527699
"20-24","2","112.5",0.0140091192850175,0.0057909029390977
"20-24","2","113",0.0111128958397506,0.00641714927050335
"20-24","2","113.5",0.0234795794070915,0.00915356545062183
"20-24","2","114",0.0227744861952308,0.00825939009523922
"20-24","2","114.5",0.0191161052603115,0.0084041118397132
"20-24","2","115",0.00609086909459725,0.00440963175535597
"20-24","2","115.5",0.0151311343255767,0.00636449837294727
"20-24","2","116",0.017912876189931,0.00684861456818887
"20-24","2","116.5",0.0243077445977714,0.0100846054447105
"20-24","2","117",0.00317877809360547,0.00316688749210274
"20-24","2","117.5",0.0146933809343698,0.00735365704563481
"20-24","2","118",0.011110075825865,0.00562403226958591
"20-24","2","118.5",0.0279600010933203,0.00907977315990951
"20-24","2","119",0.00507345763207106,0.00361498253890701
"20-24","2","119.5",0.0206885384724267,0.00838375865853354
"20-24","2","120",0.011949102411472,0.00544627272955993
"20-24","2","120.5",0.00925686855332214,0.00550015298339499
"20-24","2","121",0.0241249715634386,0.0103363179550463
"20-24","2","121.5",0.00627121140528256,0.00452440786960383
"20-24","2","122",0.0165541110114094,0.00677798588554941
"20-24","2","122.5",0.00407282727443953,0.00288575627801734
"20-24","2","123",0.0101656731913582,0.00530867091002845
"20-24","2","123.5",0.00280185310382738,0.0028170088221389
"20-24","2","124",0.015110005288014,0.006967663168396
"20-24","2","126",0.00660169947701802,0.00466187621532718
"20-24","2","126.5",0.00339184705419382,0.0033868492852304
"20-24","2","127",0.0043373335640875,0.00314465263838722
"20-24","2","128.5",0.00709748069980812,0.00706063420552646
"20-24","2","129",0.00467704158982177,0.00465514142213009
"20-24","2","130.5",0.0103288229548136,0.00420326640254117
"20-24","2","131",0.00248118130914493,0.00247978720318118
"20-24","2","133",0.0066712076431608,0.00499530158583733
"20-24","2","137",0.0039239148476777,0.00391604166755776
"20-24","2","143",0.00228097337508944,0.00228014864024894
"25-29","1","103",0.00397218427494192,0.00397999382150395
"25-29","1","103.5",0.00247734136685558,0.00247704622857534
"25-29","1","105",0.00455567290735209,0.00456197588781815
"25-29","1","106",0.00468935046829349,0.00467040162646477
"25-29","1","106.5",0.00874557624724762,0.0087210068886909
"25-29","1","108",0.00393212865084869,0.00394001663738858
"25-29","1","108.5",0.00429418780639615,0.00430125017892536
"25-29","1","109.5",0.0067324074602499,0.00668414631056887
"25-29","1","111.5",0.00666552709888564,0.00666069049301655
"25-29","1","112",0.00353972627771059,0.00354821303688179
