"agegroup","sex","porftvg","Pe","se"
"65-69","1","5",0.122275934976748,0.0148656562096459
"65-69","1","6",0.0780490448417388,0.0124442671124342
"65-69","1","7",0.0402095239839628,0.00860448397453254
"65-69","1","8",0.075284133437867,0.0114517823613475
"65-69","2","0",0.0285360757807109,0.00683904041785846
"65-69","2","1",0.100424255845657,0.0128396892614384
"65-69","2","2",0.143842643001771,0.0146727603912456
"65-69","2","3",0.174003280942606,0.0153621233718535
"65-69","2","4",0.145288297329069,0.0146942650938835
"65-69","2","5",0.167939197192576,0.0149621890015749
"65-69","2","6",0.0964177379219633,0.0118584548150758
"65-69","2","7",0.0517231748839815,0.00925816093280819
"65-69","2","8",0.0918253371016666,0.012157055174546
"70-74","1","0",0.0599126777965894,0.0116582930194729
"70-74","1","1",0.112897015969258,0.0152459263219158
"70-74","1","2",0.160055717753331,0.017608234447695
"70-74","1","3",0.189524832881063,0.0183937894234037
"70-74","1","4",0.149212551046494,0.0175077719972573
"70-74","1","5",0.109450576615244,0.0144660640607804
"70-74","1","6",0.0839676657688604,0.0123743642078025
"70-74","1","7",0.0389315953953159,0.0100281141048386
"70-74","1","8",0.0960473667738444,0.0140997817031941
"70-74","2","0",0.0428483373108322,0.00932205265033915
"70-74","2","1",0.109176171509629,0.0137120796707467
"70-74","2","2",0.179120045223917,0.016895624852515
"70-74","2","3",0.186066512594155,0.0165049888127115
"70-74","2","4",0.131203151156181,0.0152725254134955
"70-74","2","5",0.121942338714247,0.0143832460638788
"70-74","2","6",0.108865932074431,0.0138206001366064
"70-74","2","7",0.0454791995356376,0.00930294731429754
"70-74","2","8",0.0752983118809707,0.0115539571338206
"75-79","1","0",0.0612200613670546,0.0116212758594613
"75-79","1","1",0.114876526643473,0.0161332480759951
"75-79","1","2",0.182458895093114,0.0198881528022258
"75-79","1","3",0.224139936383021,0.0207834395232684
"75-79","1","4",0.131524544027224,0.015083716911887
"75-79","1","5",0.121119964554162,0.0155749238672391
"75-79","1","6",0.0677380080964158,0.0124558729935321
"75-79","1","7",0.0400494252544044,0.00953812484120947
"75-79","1","8",0.0568726385811315,0.0118149430656108
"75-79","2","0",0.0514111643440187,0.0107540193274902
"75-79","2","1",0.114209149301713,0.0161011383173817
"75-79","2","2",0.147809469986196,0.0178802153547505
"75-79","2","3",0.219554131305522,0.0207473837739622
"75-79","2","4",0.16125933206982,0.0191722265905248
"75-79","2","5",0.121269341081155,0.016474787491761
"75-79","2","6",0.0875152285968089,0.0136870147252674
"75-79","2","7",0.0355741067443362,0.00853715588308171
"75-79","2","8",0.06139807657043,0.011554490686953
"80-84","1","0",0.0686100600971326,0.0153888130711318
"80-84","1","1",0.107476655124347,0.0192449385774991
"80-84","1","2",0.18017916618472,0.023397562621595
"80-84","1","3",0.139975218555587,0.0207384126664363
"80-84","1","4",0.15915820471497,0.021541148653989
"80-84","1","5",0.127486168610054,0.0195905758757977
"80-84","1","6",0.0926938079760236,0.0164380581753277
"80-84","1","7",0.0438804612205959,0.0118950336647077
"80-84","1","8",0.0805402575165693,0.0161606061365947
"80-84","2","0",0.0667838974369715,0.0127833235211018
"80-84","2","1",0.11263262575529,0.016592812089938
"80-84","2","2",0.164947918583446,0.0190333520398137
"80-84","2","3",0.201186568222867,0.0211136565726673
"80-84","2","4",0.177426746149577,0.0190049547444047
"80-84","2","5",0.118748594124653,0.0167055483570098
"80-84","2","6",0.0869471529517375,0.0148388550637402
"80-84","2","7",0.0344025549999489,0.0093607518016722
"80-84","2","8",0.0369239417755097,0.00898966842630123
"85+","1","0",0.0612818885802463,0.0134216450208687
"85+","1","1",0.166339244123084,0.0218406877173178
"85+","1","2",0.185599615442347,0.0214767216820381
"85+","1","3",0.201066707227536,0.023485821658578
"85+","1","4",0.144487392983843,0.0188269242103368
"85+","1","5",0.12394723584002,0.0194550791448864
"85+","1","6",0.0484219316120518,0.012174518487204
"85+","1","7",0.0194793644304686,0.00904515588701518
"85+","1","8",0.0493766197604044,0.0125060687466202
"85+","2","0",0.0637027165968316,0.0102585186072017
"85+","2","1",0.156395999019297,0.0178405622395706
"85+","2","2",0.197334912814149,0.016248089975791
"85+","2","3",0.190879569036604,0.0169378290306826
"85+","2","4",0.168098911113249,0.0166235456837615
"85+","2","5",0.112432087507321,0.0149034683398645
"85+","2","6",0.0501979447240888,0.00994452356195552
"85+","2","7",0.0284561497140314,0.0072956878198622
"85+","2","8",0.0306611498206544,0.00799580089514567
