"agegroup","sex","porftvg","Pe","se"
"15-19","1","0",0.162251655629139,0.0158052936010422
"15-19","1","1",0.248344370860927,0.0184744326968416
"15-19","1","2",0.213576158940397,0.0172919082287555
"15-19","1","3",0.165562913907285,0.0154984901344704
"15-19","1","4",0.0927152317880795,0.0121129898397897
"15-19","1","5",0.0612582781456954,0.010474387648683
"15-19","1","6",0.021523178807947,0.0058129978652742
"15-19","1","7",0.0182119205298013,0.00541225771457272
"15-19","1","8",0.0165562913907285,0.00516039983475247
"15-19","2","0",0.137658227848101,0.0143438052393871
"15-19","2","1",0.231012658227848,0.0168014908587093
"15-19","2","2",0.224683544303797,0.0165957038031823
"15-19","2","3",0.175632911392405,0.0154603872664228
"15-19","2","4",0.117088607594937,0.012806586390497
"15-19","2","5",0.0585443037974684,0.00992904546482404
"15-19","2","6",0.0300632911392405,0.00668295379768274
"15-19","2","7",0.0142405063291139,0.00472495622390544
"15-19","2","8",0.0110759493670886,0.00470157114133911
"20-24","1","0",0.176190476190476,0.0156693136287865
"20-24","1","1",0.255555555555556,0.0168700443159805
"20-24","1","2",0.223809523809524,0.0162940299732047
"20-24","1","3",0.134920634920635,0.0130262866523497
"20-24","1","4",0.0666666666666667,0.0102284832058885
"20-24","1","5",0.0698412698412698,0.0102018240245637
"20-24","1","6",0.0317460317460317,0.00695544412298633
"20-24","1","7",0.0174603174603175,0.0051497481125435
"20-24","1","8",0.0238095238095238,0.00641010405225911
"20-24","2","0",0.125588697017268,0.0134777158148198
"20-24","2","1",0.210361067503925,0.0160268397765254
"20-24","2","2",0.207221350078493,0.0166112418102208
"20-24","2","3",0.186813186813187,0.0159866029345098
"20-24","2","4",0.133437990580848,0.0146214983467319
"20-24","2","5",0.054945054945055,0.00903101537044567
"20-24","2","6",0.0266875981161695,0.0063283847013178
"20-24","2","7",0.021978021978022,0.00573424282715618
"20-24","2","8",0.032967032967033,0.00735282795157786
"25-29","1","0",0.182364729458918,0.0178126910726102
"25-29","1","1",0.258517034068136,0.02053399465649
"25-29","1","2",0.200400801603206,0.018687893533958
"25-29","1","3",0.12625250501002,0.0146891364971487
"25-29","1","4",0.0901803607214429,0.0132843100658395
"25-29","1","5",0.0561122244488978,0.0110757542778544
"25-29","1","6",0.0280561122244489,0.00731962655401393
"25-29","1","7",0.0180360721442886,0.00598363607500746
"25-29","1","8",0.0400801603206413,0.0087216319153223
"25-29","2","0",0.129824561403509,0.0143555821728027
"25-29","2","1",0.252631578947368,0.0180535308181797
"25-29","2","2",0.205263157894737,0.016511356199015
"25-29","2","3",0.140350877192982,0.0145776062250283
"25-29","2","4",0.107017543859649,0.0127309933429442
"25-29","2","5",0.0649122807017544,0.0102468926860173
"25-29","2","6",0.0350877192982456,0.00762774340751404
"25-29","2","7",0.0157894736842105,0.00510732611081651
"25-29","2","8",0.0491228070175439,0.00979856567285991
"30-34","1","0",0.169724770642202,0.0191468448197553
"30-34","1","1",0.206422018348624,0.0199435526242855
"30-34","1","2",0.204128440366972,0.0207170411029795
"30-34","1","3",0.160550458715596,0.0170482338300942
"30-34","1","4",0.100917431192661,0.0157025001865609
"30-34","1","5",0.0573394495412844,0.0118248522758245
"30-34","1","6",0.0389908256880734,0.00917125497672685
"30-34","1","7",0.018348623853211,0.00633843577318874
"30-34","1","8",0.0435779816513761,0.0102067987737829
"30-34","2","0",0.136105860113422,0.0153202048218485
"30-34","2","1",0.189035916824197,0.0171713911895396
"30-34","2","2",0.192816635160681,0.0179341337600567
"30-34","2","3",0.136105860113422,0.0144597596029385
"30-34","2","4",0.120982986767486,0.0136362103151724
"30-34","2","5",0.0756143667296786,0.0115532835793455
"30-34","2","6",0.0586011342155009,0.0115692693645724
"30-34","2","7",0.0472589792060491,0.00957182730840354
"30-34","2","8",0.0434782608695652,0.00896828998141376
"35-39","1","0",0.125,0.0160731322877145
"35-39","1","1",0.223790322580645,0.0188604591932384
"35-39","1","2",0.191532258064516,0.0183490554890735
"35-39","1","3",0.147177419354839,0.0157930916614782
"35-39","1","4",0.112903225806452,0.014133295805618
