"agegroup","sex","omsysval.usual","Pe"
"05-09","1",81.5786525510204,0.00401399487722138
"05-09","1",87.5689795918367,0.00479665047694169
"05-09","2",88.4809408163265,0.00395950679112484
"75-79","1",88.9359586734694,0.00872924426749963
"05-09","1",89.3903346938776,0.00614583656956421
"05-09","2",89.844068877551,0.00392090587562297
"10-14","1",90.7496117346939,0.00406431288428526
"05-09","2",90.7496117346939,0.0109970398251409
"10-14","2",90.7496117346939,0.00405833114167926
"30-34","2",90.7496117346939,0.00461741460083949
"10-14","2",91.2014204081633,0.0090435021509819
"05-09","2",91.652587244898,0.00452950194188597
"05-09","1",92.5529954081633,0.00571992324681246
"05-09","2",92.5529954081633,0.00404235978808805
"10-14","2",92.5529954081633,0.00437833319631122
"05-09","2",93.0022367346939,0.009138880860838
"20-24","2",93.4508362244898,0.00686765718567865
"80-84","2",93.4508362244898,0.0109117290019552
"05-09","1",93.898793877551,0.00662544483082978
"10-14","1",93.898793877551,0.00319750495103192
"05-09","2",93.898793877551,0.00532909187461754
"15-19","2",93.898793877551,0.00631494428719124
"45-49","2",93.898793877551,0.00435312809638509
"10-14","2",94.3461096938776,0.00661462080982262
"05-09","2",94.7927836734694,0.00401874079499226
"10-14","1",95.2388158163266,0.00801730402256057
"05-09","2",95.2388158163266,0.0133975320973789
"05-09","2",95.684206122449,0.00467622082694407
"05-09","1",96.1289545918367,0.00396893621576836
"10-14","1",96.1289545918367,0.0163415917704032
"20-24","2",96.1289545918367,0.012292271990061
"05-09","1",96.5730612244898,0.0121362088267709
"10-14","1",96.5730612244898,0.0062433568281594
"10-14","2",96.5730612244898,0.0110433036336735
"25-29","2",96.5730612244898,0.00370918284423253
"35-39","2",96.5730612244898,0.00370207012251154
"55-59","2",96.5730612244898,0.00464287788956236
"05-09","2",97.0165260204082,0.0127209134282393
"35-39","2",97.0165260204082,0.00585919629812564
"40-44","2",97.0165260204082,0.0031911446376892
"65-69","2",97.0165260204082,0.00476715527173516
"05-09","1",97.4593489795918,0.00878024684944968
"05-09","2",97.4593489795918,0.00880076948301089
"10-14","2",97.4593489795918,0.00961591159150666
"25-29","2",97.4593489795918,0.00662671364537548
"30-34","2",97.4593489795918,0.00489925487696853
"55-59","2",97.4593489795918,0.00480591295909712
"05-09","1",97.9015301020408,0.00415569311630391
"10-14","1",97.9015301020408,0.00289866697244753
"05-09","2",97.9015301020408,0.00958702140302815
"10-14","2",97.9015301020408,0.00633674836362004
"25-29","2",97.9015301020408,0.00490298994210214
"30-34","2",97.9015301020408,0.00483495442320582
"50-54","2",97.9015301020408,0.00485437224377334
"05-09","1",98.3430693877551,0.0192668351630648
"10-14","1",98.3430693877551,0.00649590845029919
"05-09","2",98.3430693877551,0.0109110772511146
"10-14","2",98.3430693877551,0.00429617790898999
"25-29","2",98.3430693877551,0.00383873124853636
"35-39","2",98.3430693877551,0.00413908309930115
"05-09","1",98.7839668367347,0.00837582503144388
"15-19","1",98.7839668367347,0.00426245396951017
"10-14","2",98.7839668367347,0.00720262574586101
"20-24","2",98.7839668367347,0.00507730145053859
"75-79","2",98.7839668367347,0.00661798983220862
"05-09","1",99.2242224489796,0.0110421094644046
"85+","1",99.2242224489796,0.0227653578820087
"05-09","2",99.2242224489796,0.0141444135758878
"30-34","2",99.2242224489796,0.00600697655476897
"40-44","2",99.2242224489796,0.00502433999001099
"05-09","1",99.6638362244898,0.0053909494891635
"75-79","1",99.6638362244898,0.0081490772732499
"05-09","2",99.6638362244898,0.00283895987390981
"20-24","2",99.6638362244898,0.0194065845943333
"30-34","2",99.6638362244898,0.00424657989005897
"35-39","2",99.6638362244898,0.00870507479898588
"15-19","1",100.102808163265,0.00599260790221695
"60-64","1",100.102808163265,0.0044358369638974
"65-69","1",100.102808163265,0.00598127229004776
"75-79","1",100.102808163265,0.00711155161236033
"05-09","2",100.102808163265,0.00450378335934972
"20-24","2",100.102808163265,0.00324517583492456
"30-34","2",100.102808163265,0.00482491300979414
"40-44","2",100.102808163265,0.00923138137990263
"60-64","2",100.102808163265,0.00419896168854151
"05-09","1",100.541138265306,0.0109005891126637
"10-14","1",100.541138265306,0.0072894885682778
"05-09","2",100.541138265306,0.0300319963519988
"10-14","2",100.541138265306,0.00373016161600854
"15-19","2",100.541138265306,0.00732778437677559
"40-44","2",100.541138265306,0.00599771199515918
"50-54","2",100.541138265306,0.00495641542523418
"10-14","1",100.978826530612,0.0220357415036156
"05-09","2",100.978826530612,0.0140477309828124
"10-14","2",100.978826530612,0.00584122941264922
"15-19","2",100.978826530612,0.00989873484662352
"25-29","2",100.978826530612,0.0102980417593427
"30-34","2",100.978826530612,0.0134578214931486
"35-39","2",100.978826530612,0.00758525191644779
"40-44","2",100.978826530612,0.00448457352973386
"45-49","2",100.978826530612,0.00292317111675159
"55-59","2",100.978826530612,0.00439285978130008
"05-09","1",101.415872959184,0.0171322224635428
"10-14","1",101.415872959184,0.0111550476865655
"20-24","2",101.415872959184,0.012292271990061
"35-39","2",101.415872959184,0.00483894249288121
"05-09","1",101.85227755102,0.0170348517811037
"10-14","1",101.85227755102,0.00574589024146682
"40-44","1",101.85227755102,0.00635569391868452
"05-09","2",101.85227755102,0.0190701938767373
"10-14","2",101.85227755102,0.0112675672354088
"15-19","2",101.85227755102,0.00638432298726903
"35-39","2",101.85227755102,0.00701144497873132
"45-49","2",101.85227755102,0.00426289130823133
"50-54","2",101.85227755102,0.00378161596950344
"05-09","1",102.288040306122,0.0182453021248559
"10-14","1",102.288040306122,0.00821126174804746
"15-19","1",102.288040306122,0.00592578250470215
"55-59","1",102.288040306122,0.00536272396406335
"05-09","2",102.288040306122,0.0250401858131364
"10-14","2",102.288040306122,0.013081088651416
"25-29","2",102.288040306122,0.00470190663203618
"30-34","2",102.288040306122,0.00558418255930237
"40-44","2",102.288040306122,0.00335009278259296
"55-59","2",102.288040306122,0.00354777538112028
"05-09","1",102.72316122449,0.00584460259647709
"05-09","2",102.72316122449,0.0147836577085967
"10-14","2",102.72316122449,0.00906416623049877
"25-29","2",102.72316122449,0.00627588229518278
"30-34","2",102.72316122449,0.0123545137720273
"35-39","2",102.72316122449,0.00424480001305192
"05-09","1",103.157640306122,0.00879400678901758
"75-79","1",103.157640306122,0.00782623192874428
"05-09","2",103.157640306122,0.00915587714602954
"10-14","2",103.157640306122,0.00897447224465774
"15-19","2",103.157640306122,0.00515770158063191
"25-29","2",103.157640306122,0.0133172470742996
"55-59","2",103.157640306122,0.0035056988368446
"05-09","1",103.59147755102,0.0176802662859081
"10-14","1",103.59147755102,0.0246819079452462
"60-64","1",103.59147755102,0.00491438596906229
"05-09","2",103.59147755102,0.00466204990228449
"10-14","2",103.59147755102,0.0155892025825921
"15-19","2",103.59147755102,0.00733296109616479
"25-29","2",103.59147755102,0.00565137047353318
"30-34","2",103.59147755102,0.00358583243937684
"35-39","2",103.59147755102,0.00750994153272705
"40-44","2",103.59147755102,0.00324027159492752
"05-09","1",104.024672959184,0.0127822326169206
"70-74","1",104.024672959184,0.00622240608611193
"05-09","2",104.024672959184,0.0156143568874585
"10-14","2",104.024672959184,0.0296417115302982
"25-29","2",104.024672959184,0.00802694338927277
"30-34","2",104.024672959184,0.00432126179033349
"55-59","2",104.024672959184,0.00497728472963048
"75-79","2",104.024672959184,0.00846215513813568
"05-09","1",104.457226530612,0.0115769114444463
"10-14","1",104.457226530612,0.0105083199178005
"05-09","2",104.457226530612,0.0283286647833073
"10-14","2",104.457226530612,0.0148324275740929
"15-19","2",104.457226530612,0.0139837729733359
"20-24","2",104.457226530612,0.00480088062341179
"25-29","2",104.457226530612,0.00471482506520965
"40-44","2",104.457226530612,0.014041134007466
"45-49","2",104.457226530612,0.00352994176187236
"50-54","2",104.457226530612,0.00930532076687954
"60-64","2",104.457226530612,0.00667857809147257
"65-69","2",104.457226530612,0.00387221078473295
"05-09","1",104.889138265306,0.0060563492178377
"10-14","1",104.889138265306,0.00846900935520765
"15-19","1",104.889138265306,0.00484498619392429
"30-34","1",104.889138265306,0.00724154579533713
"75-79","1",104.889138265306,0.00907551796997755
"05-09","2",104.889138265306,0.0196203902317686
"10-14","2",104.889138265306,0.0049782250812721
"15-19","2",104.889138265306,0.00476350400553056
"20-24","2",104.889138265306,0.020260972564073
"25-29","2",104.889138265306,0.0123796787187444
"30-34","2",104.889138265306,0.0154624153223369
"40-44","2",104.889138265306,0.00303130015740801
"45-49","2",104.889138265306,0.00323280234469582
"05-09","1",105.320408163265,0.0163226003764964
"10-14","1",105.320408163265,0.0110066697758278
"05-09","2",105.320408163265,0.0041362310413634
"10-14","2",105.320408163265,0.0234953076260486
"15-19","2",105.320408163265,0.00734224627742754
"30-34","2",105.320408163265,0.00457389478824977
"35-39","2",105.320408163265,0.0182757445848596
"45-49","2",105.320408163265,0.00737793102953479
"50-54","2",105.320408163265,0.00390419637615547
"55-59","2",105.320408163265,0.011679255597766
"85+","2",105.320408163265,0.0176854346685244
"05-09","1",105.75103622449,0.0162275887966086
"10-14","1",105.75103622449,0.0077910335197842
"35-39","1",105.75103622449,0.00650422094158971
"55-59","1",105.75103622449,0.00548901522955991
"60-64","1",105.75103622449,0.0101253918318726
"70-74","1",105.75103622449,0.00806238242207669
"05-09","2",105.75103622449,0.0186046223869999
"10-14","2",105.75103622449,0.00876694902272381
"15-19","2",105.75103622449,0.0112684454271105
"20-24","2",105.75103622449,0.00563371335709531
"25-29","2",105.75103622449,0.0126997883402526
"30-34","2",105.75103622449,0.0157468901313563
"35-39","2",105.75103622449,0.00912952600320308
"40-44","2",105.75103622449,0.0114368600571456
"50-54","2",105.75103622449,0.0123397360265878
"55-59","2",105.75103622449,0.0044823642377143
"05-09","1",106.18102244898,0.0204054701584077
"10-14","1",106.18102244898,0.00491252395777074
"20-24","1",106.18102244898,0.00580336162698368
"45-49","1",106.18102244898,0.00950924374368678
"50-54","1",106.18102244898,0.00590610878655297
"05-09","2",106.18102244898,0.0195661462018729
"10-14","2",106.18102244898,0.0196527093946863
"20-24","2",106.18102244898,0.00360661889501811
"25-29","2",106.18102244898,0.0108239215701237
"30-34","2",106.18102244898,0.0142804675468211
"35-39","2",106.18102244898,0.00400075296345538
"40-44","2",106.18102244898,0.00294957730616728
"45-49","2",106.18102244898,0.00321272894341314
"50-54","2",106.18102244898,0.00362907488329864
"55-59","2",106.18102244898,0.00635843039636289
"05-09","1",106.610366836735,0.0212079422156902
"10-14","1",106.610366836735,0.020271453219359
"15-19","1",106.610366836735,0.00464968785824659
"45-49","1",106.610366836735,0.00925282660917746
"05-09","2",106.610366836735,0.00947726443342742
"10-14","2",106.610366836735,0.0168339653790606
"15-19","2",106.610366836735,0.0345232674226879
"20-24","2",106.610366836735,0.00632450776974583
"30-34","2",106.610366836735,0.00806494320250819
"35-39","2",106.610366836735,0.00520469684767748
"40-44","2",106.610366836735,0.00358488242815719
"45-49","2",106.610366836735,0.0141679666410686
"05-09","1",107.039069387755,0.0129609695937395
"10-14","1",107.039069387755,0.0154270920459887
"50-54","1",107.039069387755,0.00506093151624334
"60-64","1",107.039069387755,0.0116552570599673
"05-09","2",107.039069387755,0.00500136507225507
"10-14","2",107.039069387755,0.015217766013138
"15-19","2",107.039069387755,0.0132594639136358
"20-24","2",107.039069387755,0.0192916382373942
"30-34","2",107.039069387755,0.00817305188445596
"35-39","2",107.039069387755,0.00613191368543026
"40-44","2",107.039069387755,0.0187989192188389
"45-49","2",107.039069387755,0.00481728948291365
"75-79","2",107.039069387755,0.00810887526040475
"05-09","1",107.467130102041,0.0142576583062002
