"agegroup","sex","bmival","Pe","se"
"05-09","2","16.3",0.0105302821972587,0.0061379339311052
"05-09","2","16.4",0.0234003481317173,0.00816714886754544
"05-09","2","16.5",0.0164819378789098,0.00632440938562975
"05-09","2","16.6",0.0229319830745843,0.0087678647967354
"05-09","2","16.7",0.0151477423752472,0.00621644652460187
"05-09","2","16.8",0.00993189022282728,0.00492842720843979
"05-09","2","16.9",0.0126447728222235,0.00515204650159867
"05-09","2","17",0.0275201957541731,0.0114086097379486
"05-09","2","17.1",0.0138469276623261,0.00646335342288753
"05-09","2","17.2",0.0143788905298374,0.0058975158547994
"05-09","2","17.3",0.00942183827771062,0.00551619954930748
"05-09","2","17.4",0.0179198829320399,0.00676328190703893
"05-09","2","17.5",0.0153948686452252,0.00689444625484112
"05-09","2","17.6",0.0115082454165537,0.00593342173162897
"05-09","2","17.7",0.0070242625759667,0.00419121519933453
"05-09","2","17.8",0.00320297378587409,0.00319422495595883
"05-09","2","17.9",0.00258927727433513,0.00258778285807644
"05-09","2","18",0.00952455337722041,0.00485420828688365
"05-09","2","18.1",0.0145786484662962,0.0067773722514094
"05-09","2","18.2",0.00741388269278638,0.00526764773006859
"05-09","2","18.3",0.00432390125990183,0.00305879246970927
"05-09","2","18.5",0.00433408431654475,0.00314951350290715
"05-09","2","18.6",0.00233436830829354,0.00232746863281455
"05-09","2","18.8",0.00174563194330434,0.00174791941069793
"05-09","2","18.9",0.0039580172257982,0.00393567476940069
"05-09","2","19.1",0.00190605381059349,0.00190625628807689
"05-09","2","19.3",0.00621718586818484,0.00435614447672543
"05-09","2","19.9",0.00313928922369324,0.00313574924524887
"05-09","2","20.3",0.00220193901413533,0.0021799348912302
"05-09","2","20.4",0.00599165699947496,0.00448148170439785
"05-09","2","20.5",0.00269977280871808,0.00268974507719915
"05-09","2","20.7",0.00298741747030577,0.00296873856666654
"05-09","2","21",0.00255346023462476,0.00255387551307224
"10-14","1","13.1",0.00199592899521047,0.00198642833353576
"10-14","1","13.2",0.00525932475105383,0.00373148791491699
"10-14","1","13.3",0.00228909633210799,0.00228738338391005
"10-14","1","13.4",0.00481907488895428,0.00368215520920648
"10-14","1","13.6",0.00802100449970435,0.00473437092415529
"10-14","1","13.8",0.00496272581588839,0.003547793254187
"10-14","1","13.9",0.00560041987704708,0.0039269187697975
"10-14","1","14",0.00463292300547564,0.00327158095764092
"10-14","1","14.1",0.00436752853346415,0.00322635983892854
"10-14","1","14.2",0.00899110825003068,0.00448738482050479
"10-14","1","14.3",0.0126853014390943,0.00755845906703742
"10-14","1","14.4",0.0257624088586461,0.00834635515111322
"10-14","1","14.5",0.00250972976726537,0.00251300041085836
"10-14","1","14.6",0.00249039444905665,0.00248813047465569
"10-14","1","14.7",0.0151712693637638,0.00693171712147848
"10-14","1","14.8",0.0261070555703692,0.0088637558936328
"10-14","1","14.9",0.0180220354154586,0.00686674743258426
"10-14","1","15",0.0211995559663039,0.00867779492067335
"10-14","1","15.1",0.0173302280743431,0.00650441649844146
"10-14","1","15.2",0.0335982988604597,0.00959076244703396
"10-14","1","15.3",0.0263997280600249,0.00945184687840839
"10-14","1","15.4",0.0417916817153427,0.0106786429481353
"10-14","1","15.5",0.0153298305728904,0.00650669541442508
"10-14","1","15.6",0.0250309410815996,0.0080053939337768
"10-14","1","15.7",0.0213355000415869,0.00759643777354149
"10-14","1","15.8",0.031487705102645,0.0094567983381352
"10-14","1","15.9",0.0194838676871302,0.00649786403892144
"10-14","1","16",0.0201312996994237,0.0078520142538789
"10-14","1","16.1",0.0108899560364083,0.00487403234109422
"10-14","1","16.2",0.0184262138770199,0.0064533915090825
"10-14","1","16.3",0.0192535882906948,0.00689965165213991
"10-14","1","16.4",0.0180074388918941,0.00638688291477228
"10-14","1","16.5",0.0231558944334108,0.00775490590882313
"10-14","1","16.6",0.0120711575588839,0.00497203452895698
"10-14","1","16.7",0.0246140534521577,0.00797556730692851
"10-14","1","16.8",0.0134212307085872,0.0054471680855543
"10-14","1","16.9",0.0209071546361425,0.00825417749726433
"10-14","1","17",0.00230300507587672,0.00230167126629472
"10-14","1","17.1",0.0226052243988222,0.00759835588829218
"10-14","1","17.2",0.00521511734041123,0.00381174943563471
"10-14","1","17.3",0.00841421190469259,0.00418263283388409
"10-14","1","17.4",0.0180553626917148,0.00849749263645442
"10-14","1","17.5",0.0067278557345536,0.00394744592909899
"10-14","1","17.6",0.0160149743360879,0.0070798590352103
"10-14","1","17.7",0.00793505501827623,0.00261544627150567
"10-14","1","17.8",0.0106796598403205,0.00629996871104737
"10-14","1","17.9",0.0066004537163834,0.00380873259498704
"10-14","1","18",0.00961528645193657,0.00482890210029274
"10-14","1","18.1",0.00482563589092115,0.00344443260440489
"10-14","1","18.2",0.0175541725952934,0.00719712202060296
"10-14","1","18.3",0.00189428653280513,0.00189361731882544
"10-14","1","18.4",0.0128482812336924,0.0058396991445207
"10-14","1","18.5",0.00986436206529055,0.00501382804613119
"10-14","1","18.6",0.0128243131712243,0.0060934238676609
"10-14","1","18.7",0.00916963844494716,0.00532367212160355
"10-14","1","18.8",0.00313782649354701,0.00313915118527085
"10-14","1","18.9",0.00232382179905338,0.00232758165717092
"10-14","1","19",0.00414104997270611,0.00295213447734644
"10-14","1","19.1",0.0113605352316266,0.00697212883210564
"10-14","1","19.2",0.0068397073442233,0.00421253124656135
"10-14","1","19.3",0.0157057992929083,0.00655676392402325
"10-14","1","19.4",0.00162423892179706,0.00162150935228412
"10-14","1","19.7",0.0021374949405006,0.00213621970203882
"10-14","1","19.8",0.00310074029757572,0.00308555468643234
"10-14","1","19.9",0.00256118216563236,0.00256019865334258
"10-14","1","20",0.00226296795132901,0.0022690150413507
"10-14","1","20.1",0.00436523529422142,0.00311637070813707
"10-14","1","20.3",0.00137952651643487,0.00137974935017387
"10-14","1","20.5",0.00796121378443293,0.00467666964414074
"10-14","1","20.6",0.00737773148485692,0.00435795243433885
"10-14","1","21.1",0.00718153196387317,0.004169184887195
"10-14","1","21.2",0.00213483632826415,0.00212837497421954
"10-14","1","21.4",0.00439489050810077,0.00312924093967653
"10-14","1","21.5",0.0020407538930466,0.00203973390365835
"10-14","1","21.7",0.00284459679840733,0.00283206574737139
"10-14","1","21.8",0.00392057627183624,0.00391123610518948
"10-14","1","21.9",0.00635022694894883,0.00457821301166765
"10-14","1","22",0.00344720553033523,0.00342764647029346
"10-14","1","22.3",0.0024282795046642,0.00242093000747269
"10-14","1","22.4",0.00210855515650266,0.00210248964314912
"10-14","1","23.6",0.00275867726311427,0.00274310543529317
"10-14","1","23.8",0.00449141164723468,0.00318685402707507
"10-14","1","24.1",0.00524409395080066,0.00375357138238078
"10-14","1","24.2",0.00275918681649909,0.00276873383672805
"10-14","1","25.4",0.00188545621385671,0.00188480677444416
"10-14","1","25.6",0.00196420801056554,0.00196337670103974
"10-14","1","26.1",0.00270914054439845,0.00270597422329974
"10-14","1","26.6",0.00266857897684045,0.00266556842846946
"10-14","1","27.5",0.00215843982651762,0.00215710685651086
"10-14","1","27.6",0.00225949018904194,0.0022620444079342
"10-14","2","9.7",0.00183445750092773,0.00183079872751143
"10-14","2","12",0.00338917164862008,0.0033837945518517
"10-14","2","12.1",0.00229705961701452,0.00229592647065211
"10-14","2","12.7",0.00216496907714763,0.00216418718560469
"10-14","2","13",0.00261566883429355,0.00257265217019234
"10-14","2","13.2",0.00394924317102303,0.0039481796346422
"10-14","2","13.5",0.00402242661180668,0.00290171416704822
"10-14","2","13.6",0.00206125896776483,0.00205690259831098
"10-14","2","13.7",0.0146457897702725,0.00617484492209254
"10-14","2","13.8",0.00774408924495305,0.00582898787170645
"10-14","2","13.9",0.00600194662851374,0.00353558764133787
"10-14","2","14.1",0.00660090112528954,0.00381909008102243
"10-14","2","14.2",0.00519229078931831,0.00367165655610295
"10-14","2","14.3",0.0118729079138655,0.00564206401690009
"10-14","2","14.4",0.00606416363080508,0.00432409340664157
"10-14","2","14.5",0.0098939839453204,0.00542645120074007
"10-14","2","14.6",0.0167628499313433,0.00646234484527216
"10-14","2","14.7",0.0098496238471932,0.00494670111840129
"10-14","2","14.8",0.00717572019541526,0.00442730979175352
"10-14","2","14.9",0.0285440474601435,0.00975919707737704
"10-14","2","15",0.0208871962169658,0.00715318335662764
"10-14","2","15.1",0.0126553864945282,0.00586929614891054
"10-14","2","15.2",0.0229824189682493,0.00725632923963993
"10-14","2","15.3",0.0147306135379754,0.00458054622053666
"10-14","2","15.4",0.0126721444732263,0.00589370234169695
"10-14","2","15.5",0.0182692172484961,0.00733317064068409
"10-14","2","15.6",0.0146846389737494,0.00560583616900071
"10-14","2","15.7",0.0212441364406009,0.00972737628974716
"10-14","2","15.8",0.0105398337233438,0.00473497569677369
"10-14","2","15.9",0.020485206709592,0.00775849949274417
"10-14","2","16",0.0106923039675713,0.00494546959210299
"10-14","2","16.1",0.0326635681140695,0.0091509896009602
"10-14","2","16.2",0.0209543489888486,0.00678112443595476
"10-14","2","16.3",0.028718853754833,0.00893603983244183
"10-14","2","16.4",0.0175108853936947,0.00586093684723571
"10-14","2","16.5",0.01765911490798,0.0071324723759118
"10-14","2","16.6",0.0126310710463443,0.0057829825119328
"10-14","2","16.7",0.0161646016662799,0.00708227603490776
"10-14","2","16.8",0.0395795003133509,0.0102255642925636
"10-14","2","16.9",0.0137670289996974,0.00527684697925366
"10-14","2","17",0.0160230144836678,0.00620106185981919
"10-14","2","17.1",0.0146882533581211,0.00556877499681431
"10-14","2","17.2",0.0311096540180962,0.00965512666485102
"10-14","2","17.3",0.0100294415510241,0.0045199000918705
"10-14","2","17.4",0.0132233664038068,0.00536637824383903
"10-14","2","17.5",0.0145121869916241,0.00606727421477037
"10-14","2","17.6",0.00359659211319684,0.00255416401185054
"10-14","2","17.7",0.00370459382408317,0.00262352306961172
"10-14","2","17.8",0.02744966983597,0.0114217922492447
"10-14","2","17.9",0.0177203884566192,0.00680167183404345
"10-14","2","18",0.00160973551415226,0.0016125173957851
"10-14","2","18.1",0.00802048916275224,0.00405699099802927
"10-14","2","18.2",0.00963660123201877,0.00507958895338947
"10-14","2","18.3",0.0066946522386017,0.00397425703788662
"10-14","2","18.4",0.00562632712644134,0.00401147693611325
"10-14","2","18.5",0.0100112512766791,0.0052860112626074
"10-14","2","18.6",0.00836506418066104,0.00446897479097091
"10-14","2","18.7",0.00564887826021613,0.0039980522495517
"10-14","2","18.8",0.0016634737165571,0.00166085204261845
"10-14","2","18.9",0.0017728701749888,0.00177292514752966
"10-14","2","19",0.00190477757445562,0.00191077132338694
"10-14","2","19.1",0.00513990489983377,0.00301866347977934
"10-14","2","19.3",0.00296288764775692,0.00210193874353896
"10-14","2","19.4",0.00133173610168955,0.00133236472214592
"10-14","2","19.5",0.00395572056160489,0.00279497734343651
"10-14","2","19.6",0.00323237589652897,0.00231945968261018
"10-14","2","19.7",0.00634852574002226,0.00473493722994262
"10-14","2","19.8",0.00415589954882817,0.00296355654126361
"10-14","2","19.9",0.0108095347356097,0.00582967801140775
"10-14","2","20",0.00911658410294877,0.00545085651758733
"10-14","2","20.1",0.00406776120919608,0.00289179523282812
"10-14","2","20.2",0.00403441042496612,0.00287273079010758
"10-14","2","20.3",0.0031824674460091,0.0023023902566822
"10-14","2","20.4",0.00179834818131374,0.00180076211534913
"10-14","2","20.6",0.00830965855459309,0.0043748873375
"10-14","2","20.8",0.00353600473254857,0.00249986570935996
"10-14","2","20.9",0.00175375377380355,0.00174700026421736
"10-14","2","21",0.00546426533864259,0.00317725388186665
"10-14","2","21.1",0.00312129770177748,0.00311718293142267
"10-14","2","21.2",0.00249702195084344,0.00247924595916439
"10-14","2","21.3",0.00230251571506141,0.00229150534205692
"10-14","2","21.4",0.00189319858516054,0.00188336834138653
"10-14","2","21.8",0.00533762624546813,0.00400030573516675
"10-14","2","21.9",0.00504585298515979,0.00367296792244459
"10-14","2","22.1",0.00237017846257089,0.00236282209322138
"10-14","2","22.2",0.00228205601907095,0.00227195221646425
"10-14","2","22.3",0.00218640415313139,0.00218096676432746
"10-14","2","22.5",0.0114548561493617,0.00717565316171638
"10-14","2","22.6",0.00233826215259705,0.0023382999325402
"10-14","2","23.1",0.00422040090974257,0.00309367151429204
"10-14","2","23.3",0.0116146814682045,0.0089870004797279
"10-14","2","23.4",0.00202682619845592,0.00202400322435207
"10-14","2","23.6",0.00185535516829463,0.0018546370538237
"10-14","2","23.7",0.0019318028273074,0.00193155568654948
"10-14","2","23.9",0.0031612415941326,0.00315694772470141
"10-14","2","24.1",0.00169398334608623,0.00168106952627617
"10-14","2","24.3",0.00179584799688711,0.00178285907862448
"10-14","2","25.1",0.0024941404057137,0.00249241820053201
"10-14","2","25.9",0.0028959306085593,0.002892766372174
"10-14","2","26.1",0.00507546006278807,0.00503881245196336
"10-14","2","28",0.00181006924775196,0.00180635967705846
"10-14","2","31.2",0.00212727700560929,0.00212551706247464
"15-19","1","12.6",0.00169088135050145,0.00168862334821553
"15-19","1","13.1",0.00166121692277422,0.00166433276819349
"15-19","1","13.8",0.00234675159772571,0.00234783998700326
"15-19","1","13.9",0.00172442634903493,0.00172868820055706
"15-19","1","14",0.00141134752861779,0.00141491775023199
"15-19","1","14.2",0.00238889499644924,0.00238390672346734
"15-19","1","14.4",0.00240026141944547,0.00239823871091363
"15-19","1","14.6",0.00520794943973425,0.00371822177958926
"15-19","1","14.8",0.00175474738024023,0.0017509942319914
"15-19","1","14.9",0.00145075949042707,0.00145091493616253
"15-19","1","15",0.0020240581204961,0.00201983166665394
"15-19","1","15.1",0.00419741945933363,0.00295941253013671
"15-19","1","15.2",0.00516512492404157,0.00374810692666846
"15-19","1","15.3",0.0125635077157148,0.00576960716820376
"15-19","1","15.4",0.00411119045496629,0.00286380163584259
"15-19","1","15.5",0.0058570536154615,0.00339112970310607
"15-19","1","15.6",0.0140947665889753,0.00598413915391522
"15-19","1","15.7",0.00991884947476824,0.00451108172855788
"15-19","1","15.8",0.0112345496211586,0.00555306274512222
"15-19","1","15.9",0.00993983787239082,0.00450182869545359
"15-19","1","16",0.00632267471460417,0.0036415959755124
"15-19","1","16.1",0.00850148176132229,0.0042536407275567
"15-19","1","16.2",0.0227042652658806,0.00792242831910745
"15-19","1","16.3",0.015851411319469,0.0094310575345293
"15-19","1","16.4",0.00666010879807437,0.00330155277019179
"15-19","1","16.5",0.0103338760067611,0.00490031039318725
"15-19","1","16.6",0.0128590540814737,0.00638749091924609
"15-19","1","16.7",0.00386549379888277,0.00278029981189458
"15-19","1","16.8",0.00803566891618308,0.00405441788706984
"15-19","1","16.9",0.010120210972132,0.005187739257726
"15-19","1","17",0.0153507675912431,0.0061249856974453
"15-19","1","17.1",0.0153510634500441,0.00561085622670276
"15-19","1","17.2",0.0139571121202626,0.00546753751973526
"15-19","1","17.3",0.00450127694638296,0.00318811874918609
"15-19","1","17.4",0.0180342967931506,0.00639309709003146
"15-19","1","17.5",0.00924455526593883,0.00465943405487947
"15-19","1","17.6",0.0192835703743318,0.00673229548091875
"15-19","1","17.7",0.00647574972019985,0.00374581470678336
"15-19","1","17.8",0.0135688085342317,0.00566907038985333
"15-19","1","17.9",0.00190414296010185,0.00190348357471272
"15-19","1","18",0.00898150353053694,0.00450377372959714
"15-19","1","18.1",0.0170231100801035,0.00660681443072735
"15-19","1","18.2",0.0149186526188473,0.00538538059469644
"15-19","1","18.3",0.0116228591696147,0.00546422778194705
"15-19","1","18.4",0.0100562319052829,0.00523861982740588
"15-19","1","18.5",0.00817627796214895,0.00417574558480225
"15-19","1","18.6",0.0253852835898832,0.00780381622420448
"15-19","1","18.7",0.0142248572302578,0.00604966110703544
"15-19","1","18.8",0.0183352582399536,0.00785689579626913
"15-19","1","18.9",0.00861730781631053,0.00385976595212085
"15-19","1","19",0.0077603171079761,0.00451030033748501
"15-19","1","19.1",0.00956080198869651,0.00430926532006344
"15-19","1","19.2",0.0102039168505038,0.00457820849163188
"15-19","1","19.3",0.00928353966127901,0.00414789554925147
"15-19","1","19.4",0.0109677238174675,0.00492852362608311
"15-19","1","19.5",0.0140016712925145,0.0054574012848838
"15-19","1","19.6",0.00806498823395614,0.00360372663008214
"15-19","1","19.7",0.00653131365251805,0.00395474973706271
"15-19","1","19.8",0.00330470640853306,0.00236683556709154
"15-19","1","19.9",0.0227601038623668,0.00704611897224966
"15-19","1","20",0.00628664062182578,0.00364559132632079
"15-19","1","20.1",0.0117205017001988,0.00542945410730597
"15-19","1","20.2",0.0138788773125848,0.00609008473906606
"15-19","1","20.3",0.00466754726466831,0.00271115710128835
"15-19","1","20.4",0.0156703373333472,0.00659247960901514
"15-19","1","20.5",0.0101754921766027,0.00476076312179809
"15-19","1","20.6",0.0076551330645841,0.00442870556769406
"15-19","1","20.7",0.00202334290363293,0.00201065412664284
"15-19","1","20.8",0.0161192992217172,0.00750345092299583
"15-19","1","20.9",0.0200745420395302,0.00809108353818123
"15-19","1","21",0.00928631376492773,0.004668484301282
"15-19","1","21.1",0.00241800018214427,0.00241477023231991
"15-19","1","21.2",0.0054745918629839,0.00395666900664233
"15-19","1","21.3",0.00166922366897269,0.0016681157091272
"15-19","1","21.4",0.00753085491621615,0.00616740229197079
"15-19","1","21.5",0.00585477973702188,0.00333158927137668
"15-19","1","21.6",0.00149510171906969,0.00150220146219787
"15-19","1","21.7",0.0113941622186455,0.00514963417029877
"15-19","1","21.8",0.00443144590776551,0.00315293869879208
"15-19","1","21.9",0.00722196589282181,0.00365964107472887
"15-19","1","22",0.00679522790878146,0.00405624028826994
"15-19","1","22.1",0.00592681143055288,0.00344164003390262
"15-19","1","22.2",0.00278028235295573,0.00277703809072403
"15-19","1","22.3",0.00219111162224485,0.00218477182106093
"15-19","1","22.4",0.00826426820653738,0.00427903626915109
"15-19","1","22.5",0.0138533651007038,0.00652082816625769
"15-19","1","22.6",0.00303176213592757,0.00302729047841009
"15-19","1","22.7",0.00162173672922235,0.00162163322073646
"15-19","1","22.8",0.00137386378192837,0.00137032841373095
"15-19","1","22.9",0.0055337685410219,0.00549790281489349
"15-19","1","23",0.00396568551067767,0.0028645190031611
"15-19","1","23.1",0.00239148456993797,0.00239313516109726
"15-19","1","23.2",0.00478531800984819,0.00333711354528258
"15-19","1","23.4",0.00391638026662167,0.0027956269951431
"15-19","1","23.5",0.00673388852613426,0.00479626141418938
"15-19","1","23.7",0.0021851804863376,0.00218300266171197
"15-19","1","23.8",0.00375629501563845,0.00265909196851762
"15-19","1","23.9",0.00213235045874908,0.00212640247445737
"15-19","1","24.4",0.00161716663542662,0.00161707080968823
"15-19","1","24.5",0.00481307320332915,0.00340379594854187
"15-19","1","24.6",0.00788111992675333,0.00464743384704178
"15-19","1","24.7",0.00750915847727374,0.00440629930166986
"15-19","1","24.8",0.00145827832010993,0.00145842360805887
"15-19","1","24.9",0.00396043822817015,0.00276636514211087
"15-19","1","25.1",0.00582646117376681,0.00447256412148655
"15-19","1","25.3",0.00481156481328001,0.00485742217332323
"15-19","1","25.4",0.00390556026145405,0.00388627586950441
"15-19","1","25.5",0.0078037457246881,0.0077791302386191
"15-19","1","25.6",0.00176445848394376,0.00176409400548005
"15-19","1","25.7",0.00421078670610065,0.00297002970699606
"15-19","1","25.9",0.00449940019709242,0.00317236265608483
"15-19","1","26.3",0.0114274861582567,0.00919973841020966
"15-19","1","26.4",0.00408767824356141,0.00287066692632847
"15-19","1","27.3",0.00274581250442817,0.00273459381749853
"15-19","1","27.6",0.0020703424027355,0.00208097204422926
"15-19","1","27.7",0.00290293074374028,0.00291878110647705
"15-19","1","27.9",0.0021559715533561,0.00215149928627013
"15-19","1","28",0.0028853655293681,0.00288153279820675
"15-19","1","28.7",0.00489093299772588,0.00281615452169256
"15-19","1","28.8",0.0019640446305031,0.00196324680793658
"15-19","1","28.9",0.00221107499823242,0.00220490741949164
"15-19","1","29.8",0.00176870132772651,0.00176466371344078
"15-19","1","30",0.00189117169372971,0.0018905413393888
"15-19","1","30.3",0.00331581110023791,0.00330997711012024
"15-19","1","30.9",0.00310720813960439,0.00312332925440301
"15-19","1","32.7",0.00427619045458564,0.00426455074120858
"15-19","1","32.9",0.00188016410947669,0.00187557072014958
"15-19","1","33.5",0.00322601574494613,0.00321009245191509
"15-19","1","33.6",0.00285322195315062,0.00285863164356071
"15-19","2","12.5",0.0029867471232849,0.00298285316073759
"15-19","2","13.4",0.00245552518470185,0.00245255984238546
"15-19","2","13.9",0.0020498227015048,0.0020352187881567
"15-19","2","14.2",0.00724945087610389,0.00513825850280544
"15-19","2","14.3",0.00438708184647441,0.00310722845753577
"15-19","2","14.4",0.00163399007978606,0.00163407154840214
"15-19","2","14.5",0.0047403830450227,0.00347951507071037
"15-19","2","14.6",0.00260477184146112,0.00259576226200188
"15-19","2","14.7",0.00623098825787703,0.00369563604726423
"15-19","2","14.8",0.0104623566691418,0.00573341156734486
"15-19","2","14.9",0.00653836691872991,0.00466225957200809
"15-19","2","15.1",0.00131121878108398,0.00130989476172514
"15-19","2","15.2",0.00629305138576452,0.00448344537561809
"15-19","2","15.3",0.00193377310246667,0.00192810955957119
"15-19","2","15.4",0.00841122171942213,0.00538780633009208
"15-19","2","15.5",0.00477404343884973,0.00346485530148639
"15-19","2","15.6",0.00502916945388926,0.00355027529012322
"15-19","2","15.7",0.00704074110411731,0.0044950909621108
"15-19","2","15.8",0.00800091739145937,0.00408985717704849
